gd_file,gd_file_url,basename,PI filename,ERDDAP Dataset ID,vars_erddap
species_landings_2021.csv,https://drive.google.com/file/d/11TDW38l3EuHnu47CfTZ2g5Pto56LlIT0/edit,species_landings_2021.csv,species_landings_2021.csv,cciea_AC,"cps_landings_coastwide, cps_landings_ca, cps_landings_or, cps_landings_wa, crab_landings_coastwide, crab_landings_ca, crab_landings_or, crab_landings_wa, groundfish_landings_coastwide, groundfish_landings_ca, groundfish_landings_or, groundfish_landings_wa, hms_landings_coastwide, hms_landings_ca, hms_landings_or, hms_landings_wa, squid_landings_coastwide, squid_landings_ca, squid_landings_or, other_species_landings_coastwide, other_species_landings_ca, other_species_landings_or, other_species_landings_wa, pacific_hake_landings_coastwide, pacific_hake_landings_ca, pacific_hake_landings_or, pacific_hake_landings_wa, recreational_landings_coastwide, recreational_landings_ca, recreational_landings_or, recreational_landings_wa, salmon_com_landings_coastwide, salmon_com_landings_ca, salmon_com_landings_or, salmon_com_landings_wa, salmon_rec_landings_coastwide, salmon_rec_landings_ca, salmon_rec_landings_or, salmon_rec_landings_wa, shrimp_landings_coastwide, shrimp_landings_ca, shrimp_landings_or, shrimp_landings_wa, total_fisheries_landings_coastwide, total_fisheries_landings_ca, total_fisheries_landings_or, total_fisheries_landings_wa"
revenue_2021.csv,https://drive.google.com/file/d/1x8r-yGERLdWHnqDuZBKo953z59BjeseB/edit,revenue_2021.csv,revenue_2021.csv,cciea_AC,"groundfish_revenue_coastwide, cps_revenue_coastwide, shrimp_revenue_coastwide, salmon_revenue_coastwide, other_species_revenue_coastwide, pacific_hake_revenue_coastwide, squid_revenue_coastwide, crab_revenue_coastwide, hms_revenue_coastwide, total_fisheries_revenue_coastwide, groundfish_revenue_ca, cps_revenue_ca, shrimp_revenue_ca, salmon_revenue_ca, other_species_revenue_ca, pacific_hake_revenue_ca, squid_revenue_ca, crab_revenue_ca, hms_revenue_ca, total_fisheries_revenue_ca, groundfish_revenue_or, cps_revenue_or, shrimp_revenue_or, salmon_revenue_or, other_species_revenue_or, pacific_hake_revenue_or, squid_revenue_or, crab_revenue_or, hms_revenue_or, total_fisheries_revenue_or, groundfish_revenue_wa, cps_revenue_wa, shrimp_revenue_wa, salmon_revenue_wa, other_species_revenue_wa, pacific_hake_revenue_wa, crab_revenue_wa, hms_revenue_wa, total_fisheries_revenue_wa"
Gear contact with seafloor habitat in whole_coast_2021.csv,https://drive.google.com/file/d/1XfmGN99wvC9c4N7nQvB2_qKxEzG0yVFQ/edit,Gear contact with seafloor habitat in whole_coast_2021.csv,Gear contact with seafloor habitat in whole_coast_2021.csv,cciea_AC,habitat_modification
nonfisheries.2020.csv,https://drive.google.com/file/d/15OKGbN4Dky-LUgI2GMPTzInM7S0KVh0J/edit,nonfisheries.2020.csv,nonfisheries.2020.csv,cciea_AC,"shipping_distance_traveled, finfish_production, fertilizer_applications, oil_gas_production, consumption_fish, consumption_per_cap, shellfish_production"
Seabird - Ce CC at-sea densities 12-3-19.csv,https://drive.google.com/file/d/179rcqpm2bVr0EvaCmjJHl14s0hrRqPPg/edit,Seabird - Ce CC at-sea densities 12-3-19.csv,Seabird - Ce CC at-sea densities 12-3-19.csv,cciea_B_AS_DENS,"density_anomaly, density_anomaly, density_anomaly"
Seabird - No CC at-sea densities 12-17-19.csv,https://drive.google.com/file/d/1G08vm7q0k8VSANybIYcB8GER0mZFGOJA/edit,Seabird - No CC at-sea densities 12-17-19.csv,Seabird - No CC at-sea densities 12-17-19.csv,cciea_B_AS_DENS,"density_anomaly, density_anomaly, density_anomaly"
Seabird - So CC at-sea densities 12-3-19.csv,https://drive.google.com/file/d/1dx0GHsRVj0VAfb14KEeNzgVsJbVGRwVe/edit,Seabird - So CC at-sea densities 12-3-19.csv,Seabird - So CC at-sea densities 12-3-19.csv,cciea_B_AS_DENS,"density_anomaly, density_anomaly, density_anomaly"
Seabird - Ano Neuvo RHAU diet.2021.csv,https://drive.google.com/file/d/1iUCjGG9GmEGDVWRWbPaluCNu1vCeBJ2u/edit,Seabird - Ano Neuvo RHAU diet.2021.csv,Seabird - Ano Neuvo RHAU diet.2021.csv,cciea_B_AS_DIET,"percent_diet, percent_diet, percent_diet, percent_diet"
Seabird - Destruction Island RHAU diet 12-3-19.csv,https://drive.google.com/file/d/11APONndiFb2TZI9hgc8KaNQJMYNHm40B/edit,Seabird - Destruction Island RHAU diet 12-3-19.csv,Seabird - Destruction Island RHAU diet 12-3-19.csv,cciea_B_AS_DIET,"percent_diet, percent_diet, percent_diet, percent_diet"
Seabird - SE Farallon diet BRAC.2021.csv,https://drive.google.com/file/d/1Po7WytXPDY8ZSCTavPBBhn94eVfpeioi/edit,Seabird - SE Farallon diet BRAC.2021.csv,Seabird - SE Farallon diet BRAC.2021.csv,cciea_B_AS_DIET,"percent_diet, percent_diet"
Seabird - SE Farallon diet CAAU.2021.csv,https://drive.google.com/file/d/1E9bInBBI4BhPKCJMH44OMQEvCG9fgQeM/edit,Seabird - SE Farallon diet CAAU.2021.csv,Seabird - SE Farallon diet CAAU.2021.csv,cciea_B_AS_DIET,"percent_diet, percent_diet, percent_diet, percent_diet, percent_diet"
Seabird - SE Farallon diet PIGU.2021.csv,https://drive.google.com/file/d/1JIZSkZRe18i_LmiggAz923UAhJyVfGUL/edit,Seabird - SE Farallon diet PIGU.2021.csv,Seabird - SE Farallon diet PIGU.2021.csv,cciea_B_AS_DIET,"percent_diet, percent_diet, percent_diet"
Seabird - SE Farallon diet COMU.2021.csv,https://drive.google.com/file/d/1Vr0DSUBSZF6s711bx32S31GpzlqNNvsY/edit,Seabird - SE Farallon diet COMU.2021.csv,Seabird - SE Farallon diet COMU.2021.csv,cciea_B_AS_DIET,percent_diet
Seabird - SE Farallon diet RHAU.2021.csv,https://drive.google.com/file/d/1XZhHjrnO_s8p4QIbUPbQenqz07f4Iejl/edit,Seabird - SE Farallon diet RHAU.2021.csv,Seabird - SE Farallon diet RHAU.2021.csv,cciea_B_AS_DIET,"percent_diet, percent_diet"
Seabird - Yaquina Head diet COMU.2021.csv,https://drive.google.com/file/d/130TZYB_sc9CewS41zf8YBaDp6Z92jqwL/edit,Seabird - Yaquina Head diet COMU.2021.csv,Seabird - Yaquina Head diet COMU.2021.csv,cciea_B_AS_DIET,"percent_diet, percent_diet, percent_diet, percent_diet, percent_diet"
Seabird - BeachCombers beached birds Central.2021.csv,https://drive.google.com/file/d/15cauf3IHfOzZfBRBRSNwDrmkw7ShTXs9/edit,Seabird - BeachCombers beached birds Central.2021.csv,Seabird - BeachCombers beached birds Central.2021.csv,cciea_B_B_MORT,"encounter_rate, encounter_rate, encounter_rate, encounter_rate, encounter_rate"
Seabird - BeachCombers beached birds North.2021.csv,https://drive.google.com/file/d/1L8j-vKdIMO-ti-WHNRf0wopWusGCsdvM/edit,Seabird - BeachCombers beached birds North.2021.csv,Seabird - BeachCombers beached birds North.2021.csv,cciea_B_B_MORT,"encounter_rate, encounter_rate, encounter_rate, encounter_rate, encounter_rate"
Seabird - BeachCombers beached birds South 5-14-19.csv,https://drive.google.com/file/d/1pKDZFaO_-mXpFWMd8OLFSZO6U8hcjkaO/edit,Seabird - BeachCombers beached birds South 5-14-19.csv,Seabird - BeachCombers beached birds South 5-14-19.csv,cciea_B_B_MORT,"encounter_rate, encounter_rate, encounter_rate, encounter_rate, encounter_rate"
Seabird - BeachWatch beached birds.2021.csv,https://drive.google.com/file/d/1_ckqfhU9gQW0_KheLsFp04HEskjUgBuj/edit,Seabird - BeachWatch beached birds.2021.csv,Seabird - BeachWatch beached birds.2021.csv,cciea_B_B_MORT,"encounter_rate, encounter_rate, encounter_rate, encounter_rate, encounter_rate"
Seabird - COASST beached birds 3-10-21 w-outliers.csv,https://drive.google.com/file/d/1RadJNJuVEoH1QkwY1exHjR7SCDrQSQqi/edit,Seabird - COASST beached birds 3-10-21 w-outliers.csv,Seabird - COASST beached birds 3-10-21 w-outliers.csv,cciea_B_B_MORT,"encounter_rate, encounter_rate, encounter_rate, encounter_rate"
Seabird - Ano Neuvo RHAU anchovy length.2021.csv,https://drive.google.com/file/d/1QovHeKN-u8juj8w1cb_hnw4GVXKc8I57/edit,Seabird - Ano Neuvo RHAU anchovy length.2021.csv,Seabird - Ano Neuvo RHAU anchovy length.2021.csv,cciea_B_LEN,fork_length
Seabird - SE Farallon productivity.2021.csv,https://drive.google.com/file/d/1blE-ywUpH9RT3McwajvsxORqvAmFGHKh/edit,Seabird - SE Farallon productivity.2021.csv,Seabird - SE Farallon productivity.2021.csv,cciea_B_PR_ANOM,"productivity_anomaly, productivity_anomaly, productivity_anomaly, productivity_anomaly, productivity_anomaly"
Seabird - Yaquina Head diet COMU.2021.csv,https://drive.google.com/file/d/130TZYB_sc9CewS41zf8YBaDp6Z92jqwL/edit,Seabird - Yaquina Head diet COMU.2021.csv,Seabird - Yaquina Head diet COMU.2021.csv,cciea_B_PR_ANOM,"productivity_anomaly, productivity_anomaly, productivity_anomaly"
IEA_NoSoCopeAnom_SppRichness.2021.csv,https://drive.google.com/file/d/1XfkLq0Ul7eP7AaXLGhALViO1r74HM5e6/edit,IEA_NoSoCopeAnom_SppRichness.2021.csv,IEA_NoSoCopeAnom_SppRichness.2021.csv,cciea_EI_COP,"copepod_species_richness_anomaly, northern_copepod_biomass_anomaly, southern_copepod_biomass_anomaly"
Crab to Finfish Ratio IEA FY2020.csv,https://drive.google.com/file/d/10P_3Qo4IlPngFJYchJH9SeRWkgaTpho9/edit,Crab to Finfish Ratio IEA FY2020.csv,Crab to Finfish Ratio IEA FY2020.csv,cciea_EI_CRAB_FINF,"biomass_ratio, biomass_ratio, biomass_ratio"
Domoic_Acid_Monthly_Max_by_state.csv,https://drive.google.com/file/d/1ZXP2_3-SEzcxAR0Pr-2F_yiETXa9GLVY/edit,Domoic_Acid_Monthly_Max_by_state.csv,Domoic_Acid_Monthly_Max_by_state.csv,cciea_EI_DOMACID_MON_clam,"domoic_acid_concentration, domoic_acid_concentration, domoic_acid_concentration, domoic_acid_concentration"
Domoic_Acid_Monthly_Max_by_state.csv,https://drive.google.com/file/d/1ZXP2_3-SEzcxAR0Pr-2F_yiETXa9GLVY/edit,Domoic_Acid_Monthly_Max_by_state.csv,Domoic_Acid_Monthly_Max_by_state.csv,cciea_EI_DOMACID_MON_crab,"domoic_acid_concentration, domoic_acid_concentration, domoic_acid_concentration, domoic_acid_concentration"
CCC.Forage.2018.csv,https://drive.google.com/file/d/1-HL6ISusyPA3jq-9xgMm42sulrb9NJZg/edit,CCC.Forage.2018.csv,CCC.Forage.2018.csv,cciea_EI_FBC,mean_cpue
CCC.Forage.2019.csv,https://drive.google.com/file/d/1zutKlWIKS7nRx-MwTKP6kNKXi4dLwsdr/edit,CCC.Forage.2019.csv,CCC.Forage.2019.csv,cciea_EI_FBC,mean_cpue
CCC.Forage.2020.csv,https://drive.google.com/file/d/1SMNZ_l4LMchs-6xZyK0zdx0mIx-b0SbJ/edit,CCC.Forage.2020.csv,CCC.Forage.2020.csv,cciea_EI_FBC,mean_cpue
CCC.Forage.2020.csv,https://drive.google.com/file/d/1SMNZ_l4LMchs-6xZyK0zdx0mIx-b0SbJ/edit,CCC.Forage.2020.csv,CCC.Forage.2020.csv,cciea_EI_FBC_2020,"mean_cpue, mean_cpue, mean_cpue, mean_cpue, mean_cpue, mean_cpue, mean_cpue, mean_cpue, mean_cpue, mean_cpue, mean_cpue"
NCC.ForageJellies.2021.csv,https://drive.google.com/file/d/1cXhSA9xedBT_-7z6Dwu3ou-ra1xSq4vl/edit,NCC.ForageJellies.2021.csv,NCC.ForageJellies.2021.csv,cciea_EI_FBN,"mean_density, mean_density, mean_density, mean_density, mean_density, mean_density, mean_density, mean_density, mean_density, mean_density, mean_density, mean_density, mean_density, mean_density, mean_density"
NCC.ForageJellies.2019.csv,https://drive.google.com/file/d/1WFDny2PE8wrtIAHRXPWEoZ5cDQba7OyV/edit,NCC.ForageJellies.2019.csv,NCC.ForageJellies.2019.csv,cciea_EI_FBN,"mean_density, mean_density"
SCC.forage.2021.csv,https://drive.google.com/file/d/122NPucjhe1mnPl1fs24GOTnlC9m-QOuz/edit,SCC.forage.2021.csv,SCC.forage.2021.csv,cciea_EI_FBS,"relative_abundance, relative_abundance, relative_abundance, relative_abundance"
