year,index,metric,series_name,ass_year,CV
1910,1,Depletion,Dover sole,2011,0
1911,1,Depletion,Dover sole,2011,0
1912,0.99998723,Depletion,Dover sole,2011,0
1913,0.999961691,Depletion,Dover sole,2011,0
1914,0.999923382,Depletion,Dover sole,2011,0
1915,0.999872304,Depletion,Dover sole,2011,0
1916,0.999808456,Depletion,Dover sole,2011,0
1917,0.999721197,Depletion,Dover sole,2011,0
1918,0.999474318,Depletion,Dover sole,2011,0
1919,0.999150822,Depletion,Dover sole,2011,0
1920,0.998789016,Depletion,Dover sole,2011,0
1921,0.998444237,Depletion,Dover sole,2011,0
1922,0.997967506,Depletion,Dover sole,2011,0
1923,0.99725028,Depletion,Dover sole,2011,0
1924,0.996454308,Depletion,Dover sole,2011,0
1925,0.995402945,Depletion,Dover sole,2011,0
1926,0.994281348,Depletion,Dover sole,2011,0
1927,0.993200189,Depletion,Dover sole,2011,0
1928,0.991935999,Depletion,Dover sole,2011,0
1929,0.990727143,Depletion,Dover sole,2011,0
1930,0.989384207,Depletion,Dover sole,2011,0
1931,0.988162583,Depletion,Dover sole,2011,0
1932,0.987138886,Depletion,Dover sole,2011,0
1933,0.986172653,Depletion,Dover sole,2011,0
1934,0.985274525,Depletion,Dover sole,2011,0
1935,0.984299779,Depletion,Dover sole,2011,0
1936,0.983139874,Depletion,Dover sole,2011,0
1937,0.981820349,Depletion,Dover sole,2011,0
1938,0.980400795,Depletion,Dover sole,2011,0
1939,0.979030192,Depletion,Dover sole,2011,0
1940,0.977021108,Depletion,Dover sole,2011,0
1941,0.974875816,Depletion,Dover sole,2011,0
1942,0.972628366,Depletion,Dover sole,2011,0
1943,0.969940366,Depletion,Dover sole,2011,0
1944,0.964698446,Depletion,Dover sole,2011,0
1945,0.962097704,Depletion,Dover sole,2011,0
1946,0.958400906,Depletion,Dover sole,2011,0
1947,0.953852801,Depletion,Dover sole,2011,0
1948,0.949651603,Depletion,Dover sole,2011,0
1949,0.943845692,Depletion,Dover sole,2011,0
1950,0.93593067,Depletion,Dover sole,2011,0
1951,0.925276568,Depletion,Dover sole,2011,0
1952,0.913683901,Depletion,Dover sole,2011,0
1953,0.900682322,Depletion,Dover sole,2011,0
1954,0.892024535,Depletion,Dover sole,2011,0
1955,0.882128096,Depletion,Dover sole,2011,0
1956,0.872489178,Depletion,Dover sole,2011,0
1957,0.862763001,Depletion,Dover sole,2011,0
1958,0.853817897,Depletion,Dover sole,2011,0
1959,0.844853639,Depletion,Dover sole,2011,0
1960,0.837179111,Depletion,Dover sole,2011,0
1961,0.828689456,Depletion,Dover sole,2011,0
