year,data,metric,timeseries,order,,
1983,0.82940,Condition Index,CVFall-PctNatural,1,,
1984,0.75157,Condition Index,CVFall-PctNatural,1,,
1985,0.87510,Condition Index,CVFall-PctNatural,1,,
1986,0.90087,Condition Index,CVFall-PctNatural,1,,
1987,0.89595,Condition Index,CVFall-PctNatural,1,,
1988,0.87033,Condition Index,CVFall-PctNatural,1,,
1989,0.83028,Condition Index,CVFall-PctNatural,1,,
1990,0.79163,Condition Index,CVFall-PctNatural,1,,
1991,0.76793,Condition Index,CVFall-PctNatural,1,,
1992,0.72512,Condition Index,CVFall-PctNatural,1,,
1993,0.80495,Condition Index,CVFall-PctNatural,1,,
1994,0.80314,Condition Index,CVFall-PctNatural,1,,
1995,0.85845,Condition Index,CVFall-PctNatural,1,,
1996,0.88532,Condition Index,CVFall-PctNatural,1,,
1997,0.81090,Condition Index,CVFall-PctNatural,1,,
1998,0.68361,Condition Index,CVFall-PctNatural,1,,
1999,0.88469,Condition Index,CVFall-PctNatural,1,,
2000,0.88431,Condition Index,CVFall-PctNatural,1,,
2001,0.90047,Condition Index,CVFall-PctNatural,1,,
2002,0.88674,Condition Index,CVFall-PctNatural,1,,
2003,0.79044,Condition Index,CVFall-PctNatural,1,,
2004,0.70931,Condition Index,CVFall-PctNatural,1,,
2005,0.53207,Condition Index,CVFall-PctNatural,1,,
2006,0.70945,Condition Index,CVFall-PctNatural,1,,
2007,0.76586,Condition Index,CVFall-PctNatural,1,,
2008,0.71713,Condition Index,CVFall-PctNatural,1,,
2009,0.57317,Condition Index,CVFall-PctNatural,1,,
2010,0.68145,Condition Index,CVFall-PctNatural,1,,
2011,0.62696,Condition Index,CVFall-PctNatural,1,,
2012,0.57100,Condition Index,CVFall-PctNatural,1,,
2013,0.74220,Condition Index,CVFall-PctNatural,1,,
2014,0.78965,Condition Index,CVFall-PctNatural,1,,
2015,0.64750,Condition Index,CVFall-PctNatural,1,,
2016,0.61320,Condition Index,CVFall-PctNatural,1,,
1987,0.35848,Condition Index,CVFall-PopGR,2,,
1988,0.27900,Condition Index,CVFall-PopGR,2,,
1989,-0.49026,Condition Index,CVFall-PopGR,2,,
1990,-0.78780,Condition Index,CVFall-PopGR,2,,
1991,-0.63541,Condition Index,CVFall-PopGR,2,,
1992,-1.12803,Condition Index,CVFall-PopGR,2,,
1993,-0.27738,Condition Index,CVFall-PopGR,2,,
1994,0.40970,Condition Index,CVFall-PopGR,2,,
1995,1.38060,Condition Index,CVFall-PopGR,2,,
1996,1.24444,Condition Index,CVFall-PopGR,2,,
1997,0.68457,Condition Index,CVFall-PopGR,2,,
1998,0.02077,Condition Index,CVFall-PopGR,2,,
1999,0.25900,Condition Index,CVFall-PopGR,2,,
2000,0.23033,Condition Index,CVFall-PopGR,2,,
2001,0.68125,Condition Index,CVFall-PopGR,2,,
2002,1.18772,Condition Index,CVFall-PopGR,2,,
2003,-0.00414,Condition Index,CVFall-PopGR,2,,
2004,-0.41452,Condition Index,CVFall-PopGR,2,,
2005,-0.75849,Condition Index,CVFall-PopGR,2,,
2006,-1.28295,Condition Index,CVFall-PopGR,2,,
2007,-1.32971,Condition Index,CVFall-PopGR,2,,
2008,-0.94905,Condition Index,CVFall-PopGR,2,,
2009,-1.41059,Condition Index,CVFall-PopGR,2,,
2010,-1.30757,Condition Index,CVFall-PopGR,2,,
2011,-0.03814,Condition Index,CVFall-PopGR,2,,
2012,1.71226,Condition Index,CVFall-PopGR,2,,
2013,2.79253,Condition Index,CVFall-PopGR,2,,
2014,0.36775,Condition Index,CVFall-PopGR,2,,
2015,-0.12393,Condition Index,CVFall-PopGR,2,,
2016,-0.67042,Condition Index,CVFall-PopGR,2,,
1978,0.81840,Condition Index,KlamathFall-PctNatural,3,,
1979,0.89391,Condition Index,KlamathFall-PctNatural,3,,
1980,0.76741,Condition Index,KlamathFall-PctNatural,3,,
1981,0.88441,Condition Index,KlamathFall-PctNatural,3,,
1982,0.75424,Condition Index,KlamathFall-PctNatural,3,,
1983,0.68947,Condition Index,KlamathFall-PctNatural,3,,
1984,0.68183,Condition Index,KlamathFall-PctNatural,3,,
1985,0.53260,Condition Index,KlamathFall-PctNatural,3,,
1986,0.77511,Condition Index,KlamathFall-PctNatural,3,,
1987,0.77742,Condition Index,KlamathFall-PctNatural,3,,
1988,0.70350,Condition Index,KlamathFall-PctNatural,3,,
1989,0.66609,Condition Index,KlamathFall-PctNatural,3,,
1990,0.65909,Condition Index,KlamathFall-PctNatural,3,,
1991,0.64242,Condition Index,KlamathFall-PctNatural,3,,
1992,0.62038,Condition Index,KlamathFall-PctNatural,3,,
1993,0.50247,Condition Index,KlamathFall-PctNatural,3,,
1994,0.65445,Condition Index,KlamathFall-PctNatural,3,,
1995,0.81038,Condition Index,KlamathFall-PctNatural,3,,
1996,0.80236,Condition Index,KlamathFall-PctNatural,3,,
1997,0.71203,Condition Index,KlamathFall-PctNatural,3,,
1998,0.59252,Condition Index,KlamathFall-PctNatural,3,,
1999,0.56299,Condition Index,KlamathFall-PctNatural,3,,
2000,0.45874,Condition Index,KlamathFall-PctNatural,3,,
2001,0.58546,Condition Index,KlamathFall-PctNatural,3,,
2002,0.70714,Condition Index,KlamathFall-PctNatural,3,,
2003,0.58653,Condition Index,KlamathFall-PctNatural,3,,
2004,0.50907,Condition Index,KlamathFall-PctNatural,3,,
2005,0.49165,Condition Index,KlamathFall-PctNatural,3,,
2006,0.60708,Condition Index,KlamathFall-PctNatural,3,,
2007,0.63383,Condition Index,KlamathFall-PctNatural,3,,
2008,0.69479,Condition Index,KlamathFall-PctNatural,3,,
2009,0.69400,Condition Index,KlamathFall-PctNatural,3,,
2010,0.67300,Condition Index,KlamathFall-PctNatural,3,,
2011,0.67700,Condition Index,KlamathFall-PctNatural,3,,
2012,0.68500,Condition Index,KlamathFall-PctNatural,3,,
2013,0.77500,Condition Index,KlamathFall-PctNatural,3,,
2014,0.75000,Condition Index,KlamathFall-PctNatural,3,,
2015,0.72000,Condition Index,KlamathFall-PctNatural,3,,
2016,0.80000,Condition Index,KlamathFall-PctNatural,3,,
1985,-0.53642,Condition Index,KlamathFall-PopGR,4,,
1986,1.98952,Condition Index,KlamathFall-PopGR,4,,
1987,0.05391,Condition Index,KlamathFall-PopGR,4,,
1988,0.09878,Condition Index,KlamathFall-PopGR,4,,
1989,-0.12562,Condition Index,KlamathFall-PopGR,4,,
1990,-0.75236,Condition Index,KlamathFall-PopGR,4,,
1991,-0.68522,Condition Index,KlamathFall-PopGR,4,,
1992,-0.93927,Condition Index,KlamathFall-PopGR,4,,
1993,-0.22118,Condition Index,KlamathFall-PopGR,4,,
1994,0.31944,Condition Index,KlamathFall-PopGR,4,,
1995,4.28817,Condition Index,KlamathFall-PopGR,4,,
1996,-0.09227,Condition Index,KlamathFall-PopGR,4,,
1997,-0.19823,Condition Index,KlamathFall-PopGR,4,,
1998,-0.12928,Condition Index,KlamathFall-PopGR,4,,
1999,-1.03585,Condition Index,KlamathFall-PopGR,4,,
2000,0.73975,Condition Index,KlamathFall-PopGR,4,,
2001,0.02005,Condition Index,KlamathFall-PopGR,4,,
2002,-0.11546,Condition Index,KlamathFall-PopGR,4,,
2003,0.08631,Condition Index,KlamathFall-PopGR,4,,
2004,-0.61498,Condition Index,KlamathFall-PopGR,4,,
2005,-0.42491,Condition Index,KlamathFall-PopGR,4,,
2006,-0.57632,Condition Index,KlamathFall-PopGR,4,,
2007,-0.04776,Condition Index,KlamathFall-PopGR,4,,
2008,-0.25210,Condition Index,KlamathFall-PopGR,4,,
2009,0.00809,Condition Index,KlamathFall-PopGR,4,,
2010,-0.07736,Condition Index,KlamathFall-PopGR,4,,
2011,-0.65889,Condition Index,KlamathFall-PopGR,4,,
2012,1.45148,Condition Index,KlamathFall-PopGR,4,,
2013,-0.31369,Condition Index,KlamathFall-PopGR,4,,
2014,-0.08124,Condition Index,KlamathFall-PopGR,4,,
2015,-0.22728,Condition Index,KlamathFall-PopGR,4,,
2016,-0.94983,Condition Index,KlamathFall-PopGR,4,,
1981,0.99717,Condition Index,Klamath-AgeDiv,5,,
1982,1.18089,Condition Index,Klamath-AgeDiv,5,,
1983,0.91430,Condition Index,Klamath-AgeDiv,5,,
1984,1.09034,Condition Index,Klamath-AgeDiv,5,,
1985,1.13840,Condition Index,Klamath-AgeDiv,5,,
1986,0.87913,Condition Index,Klamath-AgeDiv,5,,
1987,1.02789,Condition Index,Klamath-AgeDiv,5,,
1988,1.03892,Condition Index,Klamath-AgeDiv,5,,
1989,1.00106,Condition Index,Klamath-AgeDiv,5,,
1990,1.03222,Condition Index,Klamath-AgeDiv,5,,
1991,0.91606,Condition Index,Klamath-AgeDiv,5,,
1992,1.11610,Condition Index,Klamath-AgeDiv,5,,
1993,0.78090,Condition Index,Klamath-AgeDiv,5,,
1994,1.08730,Condition Index,Klamath-AgeDiv,5,,
1995,0.62337,Condition Index,Klamath-AgeDiv,5,,
1996,0.71450,Condition Index,Klamath-AgeDiv,5,,
1997,1.08229,Condition Index,Klamath-AgeDiv,5,,
1998,0.87710,Condition Index,Klamath-AgeDiv,5,,
1999,1.15278,Condition Index,Klamath-AgeDiv,5,,
2000,0.58431,Condition Index,Klamath-AgeDiv,5,,
2001,0.87747,Condition Index,Klamath-AgeDiv,5,,
2002,0.93519,Condition Index,Klamath-AgeDiv,5,,
2003,0.80128,Condition Index,Klamath-AgeDiv,5,,
2004,1.13510,Condition Index,Klamath-AgeDiv,5,,
2005,0.91050,Condition Index,Klamath-AgeDiv,5,,
2006,1.10626,Condition Index,Klamath-AgeDiv,5,,
2007,0.50726,Condition Index,Klamath-AgeDiv,5,,
2008,1.07970,Condition Index,Klamath-AgeDiv,5,,
2009,0.91821,Condition Index,Klamath-AgeDiv,5,,
2010,1.03769,Condition Index,Klamath-AgeDiv,5,,
2011,1.10378,Condition Index,Klamath-AgeDiv,5,,
2012,0.70604,Condition Index,Klamath-AgeDiv,5,,
2013,0.89958,Condition Index,Klamath-AgeDiv,5,,
2014,1.03551,Condition Index,Klamath-AgeDiv,5,,
2015,1.12755,Condition Index,Klamath-AgeDiv,5,,
2016,1.00031,Condition Index,Klamath-AgeDiv,5,,
1970,0.46923,Condition Index,SONCC-PctNatural,6,,
1971,0.60606,Condition Index,SONCC-PctNatural,6,,
1972,0.48171,Condition Index,SONCC-PctNatural,6,,
1973,0.58163,Condition Index,SONCC-PctNatural,6,,
1974,0.53211,Condition Index,SONCC-PctNatural,6,,
1975,0.50943,Condition Index,SONCC-PctNatural,6,,
1976,0.51402,Condition Index,SONCC-PctNatural,6,,
1977,0.55285,Condition Index,SONCC-PctNatural,6,,
1978,0.65854,Condition Index,SONCC-PctNatural,6,,
1979,0.57895,Condition Index,SONCC-PctNatural,6,,
1980,0.75000,Condition Index,SONCC-PctNatural,6,,
1981,0.52874,Condition Index,SONCC-PctNatural,6,,
1982,0.76471,Condition Index,SONCC-PctNatural,6,,
1983,0.50847,Condition Index,SONCC-PctNatural,6,,
1984,0.65217,Condition Index,SONCC-PctNatural,6,,
1985,0.55147,Condition Index,SONCC-PctNatural,6,,
1986,0.61029,Condition Index,SONCC-PctNatural,6,,
1987,0.53548,Condition Index,SONCC-PctNatural,6,,
1988,0.67241,Condition Index,SONCC-PctNatural,6,,
1989,0.77551,Condition Index,SONCC-PctNatural,6,,
1990,0.73333,Condition Index,SONCC-PctNatural,6,,
1991,0.57143,Condition Index,SONCC-PctNatural,6,,
1992,0.50000,Condition Index,SONCC-PctNatural,6,,
1993,0.64407,Condition Index,SONCC-PctNatural,6,,
1994,0.52830,Condition Index,SONCC-PctNatural,6,,
1995,0.63265,Condition Index,SONCC-PctNatural,6,,
1996,0.66154,Condition Index,SONCC-PctNatural,6,,
1997,0.56897,Condition Index,SONCC-PctNatural,6,,
1998,0.57971,Condition Index,SONCC-PctNatural,6,,
1999,0.37838,Condition Index,SONCC-PctNatural,6,,
2000,0.26984,Condition Index,SONCC-PctNatural,6,,
2001,0.29469,Condition Index,SONCC-PctNatural,6,,
2002,0.27960,Condition Index,SONCC-PctNatural,6,,
2003,0.39160,Condition Index,SONCC-PctNatural,6,,
2004,0.34744,Condition Index,SONCC-PctNatural,6,,
2005,0.39432,Condition Index,SONCC-PctNatural,6,,
2006,0.42345,Condition Index,SONCC-PctNatural,6,,
2007,0.36629,Condition Index,SONCC-PctNatural,6,,
2008,0.34206,Condition Index,SONCC-PctNatural,6,,
2009,0.37234,Condition Index,SONCC-PctNatural,6,,
2010,0.43732,Condition Index,SONCC-PctNatural,6,,
2011,0.53767,Condition Index,SONCC-PctNatural,6,,
2012,0.49433,Condition Index,SONCC-PctNatural,6,,
2013,0.47615,Condition Index,SONCC-PctNatural,6,,
2014,0.43905,Condition Index,SONCC-PctNatural,6,,
2015,0.49599,Condition Index,SONCC-PctNatural,6,,
2016,0.49655,Condition Index,SONCC-PctNatural,6,,
1982,1.17121,Condition Index,SONCC-AgeDiv,7,,
1983,1.10480,Condition Index,SONCC-AgeDiv,7,,
1984,1.19059,Condition Index,SONCC-AgeDiv,7,,
1985,1.05320,Condition Index,SONCC-AgeDiv,7,,
1986,1.03038,Condition Index,SONCC-AgeDiv,7,,
1987,1.16320,Condition Index,SONCC-AgeDiv,7,,
1988,1.05844,Condition Index,SONCC-AgeDiv,7,,
1989,1.24209,Condition Index,SONCC-AgeDiv,7,,
1990,1.20132,Condition Index,SONCC-AgeDiv,7,,
1991,1.13996,Condition Index,SONCC-AgeDiv,7,,
1992,1.25601,Condition Index,SONCC-AgeDiv,7,,
1993,1.04944,Condition Index,SONCC-AgeDiv,7,,
1994,1.16461,Condition Index,SONCC-AgeDiv,7,,
1995,1.16026,Condition Index,SONCC-AgeDiv,7,,
1996,1.20542,Condition Index,SONCC-AgeDiv,7,,
1997,1.25837,Condition Index,SONCC-AgeDiv,7,,
1998,1.03205,Condition Index,SONCC-AgeDiv,7,,
1999,1.32550,Condition Index,SONCC-AgeDiv,7,,
2000,1.10189,Condition Index,SONCC-AgeDiv,7,,
2001,1.35601,Condition Index,SONCC-AgeDiv,7,,
2002,1.34574,Condition Index,SONCC-AgeDiv,7,,
2003,1.25626,Condition Index,SONCC-AgeDiv,7,,
2004,1.28200,Condition Index,SONCC-AgeDiv,7,,
2005,1.22752,Condition Index,SONCC-AgeDiv,7,,
2006,1.29519,Condition Index,SONCC-AgeDiv,7,,
2007,1.26953,Condition Index,SONCC-AgeDiv,7,,
2008,1.27284,Condition Index,SONCC-AgeDiv,7,,
2009,1.20319,Condition Index,SONCC-AgeDiv,7,,
2010,1.19707,Condition Index,SONCC-AgeDiv,7,,
2011,1.22881,Condition Index,SONCC-AgeDiv,7,,
2012,1.15999,Condition Index,SONCC-AgeDiv,7,,
2013,1.02866,Condition Index,SONCC-AgeDiv,7,,
2014,1.26081,Condition Index,SONCC-AgeDiv,7,,
2015,1.13755,Condition Index,SONCC-AgeDiv,7,,
2016,1.21325,Condition Index,SONCC-AgeDiv,7,,
