year,index,sd.w,n,SDup,SDlo,se,SEup,SElo,CLup,CLlo,timeseries,metric
1990,0.05445886,0.415900359,80,0.470359219,-0.361441499,0.046499074,0.100957934,0.007959786,,,YOY anchovy,mean (ln catch+1)
1991,0.092362364,0.295689584,93,0.388051948,-0.20332722,0.030661582,0.123023946,0.061700782,,,YOY anchovy,mean (ln catch+1)
1992,1.033697277,1.756213869,73,2.789911146,-0.722516592,0.205549286,1.239246563,0.828147991,,,YOY anchovy,mean (ln catch+1)
1993,2.087843209,1.915863199,75,4.003706408,0.17198001,0.221224827,2.309068036,1.866618382,,,YOY anchovy,mean (ln catch+1)
1994,1.443486228,1.55117991,75,2.994666138,-0.107693682,0.179114828,1.622601056,1.2643714,,,YOY anchovy,mean (ln catch+1)
1995,0.239285166,0.539621567,74,0.778906733,-0.300336401,0.062729733,0.302014899,0.176555433,,,YOY anchovy,mean (ln catch+1)
1996,1.007245992,1.516542036,76,2.523788028,-0.509296044,0.173959302,1.181205294,0.83328669,,,YOY anchovy,mean (ln catch+1)
1997,1.088181122,1.615921273,74,2.704102395,-0.527740151,0.187847032,1.276028154,0.90033409,,,YOY anchovy,mean (ln catch+1)
1998,0.082998599,0.32525173,79,0.408250329,-0.242253131,0.036593679,0.119592278,0.04640492,,,YOY anchovy,mean (ln catch+1)
1999,0.044171395,0.233042145,77,0.27721354,-0.18887075,0.026557617,0.070729012,0.017613778,,,YOY anchovy,mean (ln catch+1)
2000,0,0,87,0,0,0,0,0,,,YOY anchovy,mean (ln catch+1)
2001,0.06404955,0.362520856,80,0.426570406,-0.298471306,0.040531064,0.104580614,0.023518486,,,YOY anchovy,mean (ln catch+1)
2002,0.016397198,0.134216853,67,0.150614051,-0.117819655,0.016397198,0.032794396,-3.54262E-10,,,YOY anchovy,mean (ln catch+1)
2003,0,0,88,0,0,0,0,0,,,YOY anchovy,mean (ln catch+1)
2004,0.013732654,0.122828588,80,0.136561242,-0.109095934,0.013732654,0.027465308,3.82584E-10,,,YOY anchovy,mean (ln catch+1)
2005,0,0,75,0,0,0,0,0,,,YOY anchovy,mean (ln catch+1)
2006,0,0,67,0,0,0,0,0,,,YOY anchovy,mean (ln catch+1)
2007,0.008059851,0.074743983,86,0.082803834,-0.066684132,0.008059851,0.016119702,3.28393E-11,,,YOY anchovy,mean (ln catch+1)
2008,0,0,33,0,0,0,0,0,,,YOY anchovy,mean (ln catch+1)
2009,0,0,76,0,0,0,0,0,,,YOY anchovy,mean (ln catch+1)
2010,0.037920662,0.269585412,79,0.307506074,-0.23166475,0.030330729,0.068251391,0.007589933,,,YOY anchovy,mean (ln catch+1)
2011,0,0,48,0,0,0,0,0,,,YOY anchovy,mean (ln catch+1)
2012,0,0,61,0,0,0,0,0,,,YOY anchovy,mean (ln catch+1)
2013,0,0,61,0,0,0,0,0,,,YOY anchovy,mean (ln catch+1)
2014,0.047765752,0.225682584,69,0.273448336,-0.177916832,0.02716899,0.074934742,0.020596762,,,YOY anchovy,mean (ln catch+1)
2015,2.514505903,1.796710976,66,4.311216879,0.717794927,0.221159833,2.735665736,2.29334607,,,YOY anchovy,mean (ln catch+1)
2016,1.05844102,1.716682316,60,2.775123336,-0.658241296,0.221622734,1.280063754,0.836818286,,,YOY anchovy,mean (ln catch+1)
2017,0.308479922,0.824764963,41,1.133244885,-0.516285041,0.128806647,0.437286569,0.179673275,,,YOY anchovy,mean (ln catch+1)
2018,1.559182259,1.856804572,53,3.415986831,-0.297622313,0.255051723,1.814233982,1.304130536,,,YOY anchovy,mean (ln catch+1)
2019,0.572371332,0.878167364,47,1.450538696,-0.305796032,0.128093875,0.700465207,0.444277457,,,YOY anchovy,mean (ln catch+1)
