year,GEO_NAME,MAPNAME,GEO_ID2,STATE,REGION,PRIMARY_LATITUDE,PRIMARY_LONGITUDE,social_vulnerability
2009,Bodega Bay,Bodega Bay,607260,CA,CCA,38.3275057,-123.0300219,-0.885
2010,Bodega Bay,Bodega Bay,607260,CA,CCA,38.3275057,-123.0300219,-1.559
2011,Bodega Bay,Bodega Bay,607260,CA,CCA,38.3275057,-123.0300219,-1.397
2012,Bodega Bay,Bodega Bay,607260,CA,CCA,38.3275057,-123.0300219,-1.791
2013,Bodega Bay,Bodega Bay,607260,CA,CCA,38.3275057,-123.0300219,-2.788
2014,Bodega Bay,Bodega Bay,607260,CA,CCA,38.3275057,-123.0300219,-1.963333333
2015,Bodega Bay,Bodega Bay,607260,CA,CCA,38.3275057,-123.0300219,-2.758333333
2016,Bodega Bay,Bodega Bay,607260,CA,CCA,38.3275057,-123.0300219,-4.135333333
2017,Bodega Bay,Bodega Bay,607260,CA,CCA,38.3275057,-123.0300219,-4.140333333
2018,Bodega Bay,Bodega Bay,607260,CA,CCA,38.3275057,-123.0300219,-4.231
2009,Bolinas,Bolinas,607316,CA,CCA,37.9177251,-122.7095023,-2.079
2010,Bolinas,Bolinas,607316,CA,CCA,37.9177251,-122.7095023,-2.043
2011,Bolinas,Bolinas,607316,CA,CCA,37.9177251,-122.7095023,-0.227
2012,Bolinas,Bolinas,607316,CA,CCA,37.9177251,-122.7095023,-0.344
2013,Bolinas,Bolinas,607316,CA,CCA,37.9177251,-122.7095023,-0.561
2014,Bolinas,Bolinas,607316,CA,CCA,37.9177251,-122.7095023,-1.223
2015,Bolinas,Bolinas,607316,CA,CCA,37.9177251,-122.7095023,-1.614
2016,Bolinas,Bolinas,607316,CA,CCA,37.9177251,-122.7095023,-1.898
2017,Bolinas,Bolinas,607316,CA,CCA,37.9177251,-122.7095023,-1.499
2018,Bolinas,Bolinas,607316,CA,CCA,37.9177251,-122.7095023,-2.382
2009,Dillon Beach,Dillon Beach,619262,CA,CCA,38.2434883,-122.955955,-1.0137
2010,Dillon Beach,Dillon Beach,619262,CA,CCA,38.2434883,-122.955955,-1.0767
2011,Dillon Beach,Dillon Beach,619262,CA,CCA,38.2434883,-122.955955,1.7573
2012,Dillon Beach,Dillon Beach,619262,CA,CCA,38.2434883,-122.955955,1.7703
2013,Dillon Beach,Dillon Beach,619262,CA,CCA,38.2434883,-122.955955,-0.1735
2014,Dillon Beach,Dillon Beach,619262,CA,CCA,38.2434883,-122.955955,1.5038
2015,Dillon Beach,Dillon Beach,619262,CA,CCA,38.2434883,-122.955955,0.3385
2016,Dillon Beach,Dillon Beach,619262,CA,CCA,38.2434883,-122.955955,0.0625
2017,Dillon Beach,Dillon Beach,619262,CA,CCA,38.2434883,-122.955955,-3.1725
2018,Dillon Beach,Dillon Beach,619262,CA,CCA,38.2434883,-122.955955,-3.278
2009,El Granada,El Granada,621936,CA,CCA,37.52092,-122.4708196,-4.969
2010,El Granada,El Granada,621936,CA,CCA,37.52092,-122.4708196,-5.311
2011,El Granada,El Granada,621936,CA,CCA,37.52092,-122.4708196,-5.134
2012,El Granada,El Granada,621936,CA,CCA,37.52092,-122.4708196,-4.179
2013,El Granada,El Granada,621936,CA,CCA,37.52092,-122.4708196,-3.737
2014,El Granada,El Granada,621936,CA,CCA,37.52092,-122.4708196,-4.248
