Time,Station,Year,Month,SouthernBiomassAnomaly,NorthernBiomassAnomaly,SppRichnessAnom
1996-05-01T00:00:00-00:00,NH05,1996,5,0.380527263,-1.206906481,-1.45833333333333
1996-06-01T00:00:00-00:00,NH05,1996,6,0.150426142,-0.393300293,-1.73287037037037
1996-07-01T00:00:00-00:00,NH05,1996,7,-0.100635195,0.042912222,-2.48425925925926
1996-08-01T00:00:00-00:00,NH05,1996,8,-0.033057665,-0.236491821,-1.21296296296296
1996-09-01T00:00:00-00:00,NH05,1996,9,0.052026121,0.107227099,-1.01759259259259
1996-10-01T00:00:00-00:00,NH05,1996,10,0.001065895,0.234726389,-1.02777777777778
1996-11-01T00:00:00-00:00,NH05,1996,11,0.074904012,-0.097492593,-2.19444444444444
1996-12-01T00:00:00-00:00,NH05,1996,12,0.03069,0.315815556,-2.1
1997-02-01T00:00:00-00:00,NH05,1997,2,0.020690509,0.016169097,-2.07291666666667
1997-03-01T00:00:00-00:00,NH05,1997,3,-0.040844717,0.304264706,-0.862745098039214
1997-04-01T00:00:00-00:00,NH05,1997,4,0.128336383,-0.203887255,1.18137254901961
1997-05-01T00:00:00-00:00,NH05,1997,5,-0.098409774,0.083349074,-1.125
1997-06-01T00:00:00-00:00,NH05,1997,6,-0.106484969,-0.800250293,-3.23287037037037
1997-07-01T00:00:00-00:00,NH05,1997,7,0.084125916,-0.335251111,-2.18425925925926
1997-08-01T00:00:00-00:00,NH05,1997,8,0.192138632,-0.315852932,0.12037037037037
1997-09-01T00:00:00-00:00,NH05,1997,9,0.433553899,-0.688956235,4.48240740740741
1997-10-01T00:00:00-00:00,NH05,1997,10,0.38996034,-1.370690278,0.972222222222221
1997-11-01T00:00:00-00:00,NH05,1997,11,0.335859568,-0.673342593,-0.694444444444445
1997-12-01T00:00:00-00:00,NH05,1997,12,0.069934444,-1.006251111,0.9
1998-01-01T00:00:00-00:00,NH05,1998,1,0.089466204,-0.9116625,-2.70833333333333
1998-03-01T00:00:00-00:00,NH05,1998,3,0.284355283,-1.008118627,3.63725490196079
1998-04-01T00:00:00-00:00,NH05,1998,4,0.265614161,-1.203487255,0.431372549019606
1998-05-01T00:00:00-00:00,NH05,1998,5,0.444249486,-0.992973148,4.54166666666667
1998-06-01T00:00:00-00:00,NH05,1998,6,0.582489105,-1.154544738,5.26712962962963
1998-07-01T00:00:00-00:00,NH05,1998,7,0.708737027,-0.553026667,5.34907407407408
1998-08-01T00:00:00-00:00,NH05,1998,8,0.695284928,-0.830086265,4.28703703703704
1998-09-01T00:00:00-00:00,NH05,1998,9,0.564559455,-0.255864568,3.23240740740741
1998-10-01T00:00:00-00:00,NH05,1998,10,0.234738117,-0.295390278,0.972222222222221
1998-11-01T00:00:00-00:00,NH05,1998,11,0.251520679,0.299424074,4.80555555555556
1998-12-01T00:00:00-00:00,NH05,1998,12,-0.105687778,-0.518384444,-1.1
1999-02-01T00:00:00-00:00,NH05,1999,2,-0.047565046,0.094902431,-4.07291666666667
1999-03-01T00:00:00-00:00,NH05,1999,3,-0.023066939,-0.635201961,0.137254901960786
1999-04-01T00:00:00-00:00,NH05,1999,4,-0.037387691,-0.539087255,-0.318627450980394
1999-05-01T00:00:00-00:00,NH05,1999,5,-0.170811626,0.036060185,-1.95833333333333
1999-06-01T00:00:00-00:00,NH05,1999,6,-0.242451636,0.330349707,-2.73287037037037
1999-07-01T00:00:00-00:00,NH05,1999,7,-0.179345195,-0.156044444,-1.98425925925926
1999-08-01T00:00:00-00:00,NH05,1999,8,-0.244452109,0.035224846,-3.21296296296296
1999-09-01T00:00:00-00:00,NH05,1999,9,-0.320268323,-0.029122901,-3.01759259259259
1999-10-01T00:00:00-00:00,NH05,1999,10,-0.186306327,0.569909722,-1.02777777777778
1999-11-01T00:00:00-00:00,NH05,1999,11,-0.557251543,-0.076425926,-7.19444444444444
1999-12-01T00:00:00-00:00,NH05,1999,12,-0.156921111,0.314248889,0.9
2000-01-01T00:00:00-00:00,NH05,2000,1,-0.421844907,0.218704167,-1.70833333333333
2000-02-01T00:00:00-00:00,NH05,2000,2,-0.273687269,-0.406430903,-4.07291666666667
2000-03-01T00:00:00-00:00,NH05,2000,3,-0.330522495,-0.853868627,-0.862745098039214
2000-04-01T00:00:00-00:00,NH05,2000,4,-0.363569172,0.120212745,-4.31862745098039
2000-05-01T00:00:00-00:00,NH05,2000,5,-0.31640607,-0.223273148,-4.45833333333333
2000-06-01T00:00:00-00:00,NH05,2000,6,-0.232342747,-0.285753627,-4.13287037037037
2000-07-01T00:00:00-00:00,NH05,2000,7,-0.214240751,0.199595556,-3.48425925925926
2000-08-01T00:00:00-00:00,NH05,2000,8,-0.138568776,0.305458179,-1.96296296296296
2000-09-01T00:00:00-00:00,NH05,2000,9,-0.136099805,0.747315988,-3.01759259259259
2000-10-01T00:00:00-00:00,NH05,2000,10,-0.26793966,0.404659722,-4.52777777777778
2000-11-01T00:00:00-00:00,NH05,2000,11,-0.239351543,0.077774074,-2.19444444444444
2000-12-01T00:00:00-00:00,NH05,2000,12,0.019667778,0.292348889,0.9
2001-01-01T00:00:00-00:00,NH05,2001,1,-0.09546713,-0.022795833,0.791666666666666
2001-02-01T00:00:00-00:00,NH05,2001,2,-0.161292824,-0.144597569,-0.072916666666668
2001-03-01T00:00:00-00:00,NH05,2001,3,-0.083822495,-0.062451961,0.637254901960786
2001-04-01T00:00:00-00:00,NH05,2001,4,-0.29947658,0.049668301,-1.98529411764706
2001-05-01T00:00:00-00:00,NH05,2001,5,-0.307111626,0.130693519,-1.45833333333333
2001-06-01T00:00:00-00:00,NH05,2001,6,-0.221259969,0.190891373,-1.48287037037037
2001-07-01T00:00:00-00:00,NH05,2001,7,-0.181471307,0.065470556,-0.734259259259257
2001-08-01T00:00:00-00:00,NH05,2001,8,-0.136459516,0.278158179,0.287037037037036
2001-09-01T00:00:00-00:00,NH05,2001,9,-0.230865545,0.071227099,-1.76759259259259
2001-10-01T00:00:00-00:00,NH05,2001,10,-0.212800772,0.506126389,-2.02777777777778
2001-11-01T00:00:00-00:00,NH05,2001,11,-0.094673765,0.657324074,-0.194444444444445
2002-01-01T00:00:00-00:00,NH05,2002,1,0.08123287,0.3049375,1.29166666666667
2002-02-01T00:00:00-00:00,NH05,2002,2,0.04960162,-0.293564236,1.92708333333333
