year,data,metric,timeseries,order,species
1974,72.73699072,Condition,LowerCR-PctNatural,1,coho
1975,72.1102724,Condition,LowerCR-PctNatural,1,coho
1976,71.94590417,Condition,LowerCR-PctNatural,1,coho
1977,66.58378916,Condition,LowerCR-PctNatural,1,coho
1978,71.83213429,Condition,LowerCR-PctNatural,1,coho
1979,69.5581973,Condition,LowerCR-PctNatural,1,coho
1980,59.79089489,Condition,LowerCR-PctNatural,1,coho
1981,65,Condition,LowerCR-PctNatural,1,coho
1982,60.13864307,Condition,LowerCR-PctNatural,1,coho
1983,71.25149844,Condition,LowerCR-PctNatural,1,coho
1984,56.72559367,Condition,LowerCR-PctNatural,1,coho
1985,66.39769648,Condition,LowerCR-PctNatural,1,coho
1986,64.12703694,Condition,LowerCR-PctNatural,1,coho
1987,75.30317848,Condition,LowerCR-PctNatural,1,coho
1988,74.70481452,Condition,LowerCR-PctNatural,1,coho
1989,75.37940026,Condition,LowerCR-PctNatural,1,coho
1990,71.95560254,Condition,LowerCR-PctNatural,1,coho
1991,71.37724551,Condition,LowerCR-PctNatural,1,coho
1992,68.3559898,Condition,LowerCR-PctNatural,1,coho
1993,77.21518987,Condition,LowerCR-PctNatural,1,coho
1994,68.10296504,Condition,LowerCR-PctNatural,1,coho
1995,69.81924141,Condition,LowerCR-PctNatural,1,coho
1996,7.859391396,Condition,LowerCR-PctNatural,1,coho
1997,18.73151787,Condition,LowerCR-PctNatural,1,coho
1998,4.751044141,Condition,LowerCR-PctNatural,1,coho
1999,0.918985342,Condition,LowerCR-PctNatural,1,coho
2000,8.658128572,Condition,LowerCR-PctNatural,1,coho
2001,7.345179266,Condition,LowerCR-PctNatural,1,coho
2002,2.573638038,Condition,LowerCR-PctNatural,1,coho
2003,9.034416087,Condition,LowerCR-PctNatural,1,coho
2004,7.612985102,Condition,LowerCR-PctNatural,1,coho
2005,4.800206924,Condition,LowerCR-PctNatural,1,coho
2006,6.781089957,Condition,LowerCR-PctNatural,1,coho
2007,21.88749235,Condition,LowerCR-PctNatural,1,coho
2008,10.55470948,Condition,LowerCR-PctNatural,1,coho
2009,21.62279036,Condition,LowerCR-PctNatural,1,coho
2010,6.320703673,Condition,LowerCR-PctNatural,1,coho
2011,17.12077709,Condition,LowerCR-PctNatural,1,coho
2012,16.8734227,Condition,LowerCR-PctNatural,1,coho
2013,16.19658492,Condition,LowerCR-PctNatural,1,coho
1978,0.960159389,Condition,LowerCR-PopGR,2,coho
1979,0.967798026,Condition,LowerCR-PopGR,2,coho
1980,1.425446711,Condition,LowerCR-PopGR,2,coho
1981,1.092232536,Condition,LowerCR-PopGR,2,coho
1982,1.250953844,Condition,LowerCR-PopGR,2,coho
1983,1.072916134,Condition,LowerCR-PopGR,2,coho
1984,0.755594037,Condition,LowerCR-PopGR,2,coho
1985,1.320438556,Condition,LowerCR-PopGR,2,coho
1986,1.217801198,Condition,LowerCR-PopGR,2,coho
1987,1.0059707,Condition,LowerCR-PopGR,2,coho
1988,1.113545973,Condition,LowerCR-PopGR,2,coho
1989,0.966601275,Condition,LowerCR-PopGR,2,coho
1990,0.685743841,Condition,LowerCR-PopGR,2,coho
1991,1.205565127,Condition,LowerCR-PopGR,2,coho
1992,1.113997436,Condition,LowerCR-PopGR,2,coho
1993,0.735193755,Condition,LowerCR-PopGR,2,coho
1994,1.245478299,Condition,LowerCR-PopGR,2,coho
1995,0.860347474,Condition,LowerCR-PopGR,2,coho
1996,0.624748413,Condition,LowerCR-PopGR,2,coho
1997,1.177374388,Condition,LowerCR-PopGR,2,coho
1998,0.613808576,Condition,LowerCR-PopGR,2,coho
1999,0.498078916,Condition,LowerCR-PopGR,2,coho
2000,2.20521984,Condition,LowerCR-PopGR,2,coho
2001,1.509048104,Condition,LowerCR-PopGR,2,coho
2002,1.167524706,Condition,LowerCR-PopGR,2,coho
2003,1.285194343,Condition,LowerCR-PopGR,2,coho
2004,0.996070047,Condition,LowerCR-PopGR,2,coho
2005,0.784100244,Condition,LowerCR-PopGR,2,coho
2006,1.629399259,Condition,LowerCR-PopGR,2,coho
2007,1.108412491,Condition,LowerCR-PopGR,2,coho
2008,0.895082862,Condition,LowerCR-PopGR,2,coho
2009,1.662918207,Condition,LowerCR-PopGR,2,coho
2010,0.579016442,Condition,LowerCR-PopGR,2,coho
2011,1.074833537,Condition,LowerCR-PopGR,2,coho
2012,0.989072476,Condition,LowerCR-PopGR,2,coho
2013,0.728313264,Condition,LowerCR-PopGR,2,coho
1990,68.02314616,Condition,ORCoast-PctNatural,3,coho
1991,74.40866217,Condition,ORCoast-PctNatural,3,coho
1992,79.29235973,Condition,ORCoast-PctNatural,3,coho
1993,72.97137045,Condition,ORCoast-PctNatural,3,coho
1994,79.03675654,Condition,ORCoast-PctNatural,3,coho
1995,85.27974277,Condition,ORCoast-PctNatural,3,coho
1996,75.72643957,Condition,ORCoast-PctNatural,3,coho
1997,83.78599001,Condition,ORCoast-PctNatural,3,coho
1998,79.9210617,Condition,ORCoast-PctNatural,3,coho
1999,91.02600039,Condition,ORCoast-PctNatural,3,coho
2000,89.15714389,Condition,ORCoast-PctNatural,3,coho
2001,86.8577246,Condition,ORCoast-PctNatural,3,coho
2002,95.59306659,Condition,ORCoast-PctNatural,3,coho
2003,94.85184969,Condition,ORCoast-PctNatural,3,coho
2004,94.0494344,Condition,ORCoast-PctNatural,3,coho
2005,93.06341204,Condition,ORCoast-PctNatural,3,coho
2006,91.08257615,Condition,ORCoast-PctNatural,3,coho
2007,91.74405765,Condition,ORCoast-PctNatural,3,coho
2008,98.23935035,Condition,ORCoast-PctNatural,3,coho
2009,97.49430685,Condition,ORCoast-PctNatural,3,coho
2010,98.32073429,Condition,ORCoast-PctNatural,3,coho
2011,99.22095272,Condition,ORCoast-PctNatural,3,coho
2012,98.93790883,Condition,ORCoast-PctNatural,3,coho
2013,98.9234232,Condition,ORCoast-PctNatural,3,coho
2014,99.35072054,Condition,ORCoast-PctNatural,3,coho
1994,1.143170923,Condition,ORCoast-PopGR,4,coho
1995,1.100513797,Condition,ORCoast-PopGR,4,coho
1996,1.164186959,Condition,ORCoast-PopGR,4,coho
1997,0.835785864,Condition,ORCoast-PopGR,4,coho
1998,0.931749992,Condition,ORCoast-PopGR,4,coho
1999,0.931070504,Condition,ORCoast-PopGR,4,coho
2000,0.959544373,Condition,ORCoast-PopGR,4,coho
2001,1.78025081,Condition,ORCoast-PopGR,4,coho
2002,1.701730345,Condition,ORCoast-PopGR,4,coho
2003,1.336476812,Condition,ORCoast-PopGR,4,coho
2004,1.126738589,Condition,ORCoast-PopGR,4,coho
2005,0.988608433,Condition,ORCoast-PopGR,4,coho
2006,0.840766025,Condition,ORCoast-PopGR,4,coho
2007,0.758337064,Condition,ORCoast-PopGR,4,coho
2008,1.021072707,Condition,ORCoast-PopGR,4,coho
2009,1.205279427,Condition,ORCoast-PopGR,4,coho
2010,1.243414481,Condition,ORCoast-PopGR,4,coho
2011,1.366392642,Condition,ORCoast-PopGR,4,coho
2012,0.927734776,Condition,ORCoast-PopGR,4,coho
2013,0.85989803,Condition,ORCoast-PopGR,4,coho
2014,1.087784818,Condition,ORCoast-PopGR,4,coho
