year,index,metric,timeseries,order,outliers,Y2,Y.outliers
1997,0.015,Encounter rate,Cassins auklet (Oct - Feb) North,1,,0.015,
1998,0,Encounter rate,Cassins auklet (Oct - Feb) North,1,,0,
1999,0,Encounter rate,Cassins auklet (Oct - Feb) North,1,,0,
2000,0.008,Encounter rate,Cassins auklet (Oct - Feb) North,1,,0.008,
2001,0.016,Encounter rate,Cassins auklet (Oct - Feb) North,1,,0.016,
2002,0,Encounter rate,Cassins auklet (Oct - Feb) North,1,,0,
2003,0.012,Encounter rate,Cassins auklet (Oct - Feb) North,1,,0.012,
2004,0.505,Encounter rate,Cassins auklet (Oct - Feb) North,1,outlier,,0.505
2005,0.038,Encounter rate,Cassins auklet (Oct - Feb) North,1,,0.038,
2006,0.014,Encounter rate,Cassins auklet (Oct - Feb) North,1,,0.014,
2007,0.006,Encounter rate,Cassins auklet (Oct - Feb) North,1,,0.006,
2008,0.024,Encounter rate,Cassins auklet (Oct - Feb) North,1,,0.024,
2009,0.038,Encounter rate,Cassins auklet (Oct - Feb) North,1,,0.038,
2010,0.014,Encounter rate,Cassins auklet (Oct - Feb) North,1,,0.014,
2011,0.03,Encounter rate,Cassins auklet (Oct - Feb) North,1,,0.03,
2012,0.025,Encounter rate,Cassins auklet (Oct - Feb) North,1,,0.025,
2013,0.006,Encounter rate,Cassins auklet (Oct - Feb) North,1,,0.006,
2014,4.021,Encounter rate,Cassins auklet (Oct - Feb) North,1,outlier,,4.021
2015,0.082,Encounter rate,Cassins auklet (Oct - Feb) North,1,outlier,,0.082
2016,0,Encounter rate,Cassins auklet (Oct - Feb) North,1,,0,
2017,0.013,Encounter rate,Cassins auklet (Oct - Feb) North,1,,0.013,
2018,0.304,Encounter rate,Cassins auklet (Oct - Feb) North,1,outlier,,0.304
1997,1.454,Encounter rate,Common murre (Jun- Dec) North,2,,1.454,
1998,9.095,Encounter rate,Common murre (Jun- Dec) North,2,,9.095,
1999,1.612,Encounter rate,Common murre (Jun- Dec) North,2,,1.612,
2000,3.002,Encounter rate,Common murre (Jun- Dec) North,2,,3.002,
2001,1.705,Encounter rate,Common murre (Jun- Dec) North,2,,1.705,
2002,2.856,Encounter rate,Common murre (Jun- Dec) North,2,,2.856,
2003,3.045,Encounter rate,Common murre (Jun- Dec) North,2,,3.045,
2004,2.439,Encounter rate,Common murre (Jun- Dec) North,2,,2.439,
2005,2.945,Encounter rate,Common murre (Jun- Dec) North,2,,2.945,
2006,7.257,Encounter rate,Common murre (Jun- Dec) North,2,,7.257,
2007,10.42,Encounter rate,Common murre (Jun- Dec) North,2,,10.42,
2008,11.211,Encounter rate,Common murre (Jun- Dec) North,2,,11.211,
2009,3.995,Encounter rate,Common murre (Jun- Dec) North,2,,3.995,
2010,0.981,Encounter rate,Common murre (Jun- Dec) North,2,,0.981,
2011,4.644,Encounter rate,Common murre (Jun- Dec) North,2,,4.644,
2012,3.048,Encounter rate,Common murre (Jun- Dec) North,2,,3.048,
2013,1.271,Encounter rate,Common murre (Jun- Dec) North,2,,1.271,
2014,3.143,Encounter rate,Common murre (Jun- Dec) North,2,,3.143,
