year,anomaly,metric,timeseries,order,,,,
1996,0.006164267,Density anomaly,Cassins auklet  Summer - Ce CC,1,,,,
1997,1.566530286,Density anomaly,Cassins auklet  Summer - Ce CC,1,,,,
1998,NA,Density anomaly,Cassins auklet  Summer - Ce CC,1,,,,
1999,NA,Density anomaly,Cassins auklet  Summer - Ce CC,1,,,,
2000,0.701656115,Density anomaly,Cassins auklet  Summer - Ce CC,1,,,,
2001,0.355299119,Density anomaly,Cassins auklet  Summer - Ce CC,1,,,,
2002,-0.286223696,Density anomaly,Cassins auklet  Summer - Ce CC,1,,,,
2003,0.39744474,Density anomaly,Cassins auklet  Summer - Ce CC,1,,,,
2004,0.197831687,Density anomaly,Cassins auklet  Summer - Ce CC,1,,,,
2005,-0.371521277,Density anomaly,Cassins auklet  Summer - Ce CC,1,,,,
2006,-0.442473013,Density anomaly,Cassins auklet  Summer - Ce CC,1,,,,
2007,0.530976133,Density anomaly,Cassins auklet  Summer - Ce CC,1,,,,
2008,-0.479930575,Density anomaly,Cassins auklet  Summer - Ce CC,1,,,,
2009,0.010848117,Density anomaly,Cassins auklet  Summer - Ce CC,1,,,,
2010,-0.526814161,Density anomaly,Cassins auklet  Summer - Ce CC,1,,,,
2011,NA,Density anomaly,Cassins auklet  Summer - Ce CC,1,,,,
2012,0.024769455,Density anomaly,Cassins auklet  Summer - Ce CC,1,,,,
2013,0.680353534,Density anomaly,Cassins auklet  Summer - Ce CC,1,,,,
2014,-0.184643903,Density anomaly,Cassins auklet  Summer - Ce CC,1,,,,
2015,-0.672996671,Density anomaly,Cassins auklet  Summer - Ce CC,1,,,,
2016,-0.255261471,Density anomaly,Cassins auklet  Summer - Ce CC,1,,,,
2017,-0.495315494,Density anomaly,Cassins auklet  Summer - Ce CC,1,,,,
2018,-0.261377698,Density anomaly,Cassins auklet  Summer - Ce CC,1,,,,
2019,-0.495315494,Density anomaly,Cassins auklet  Summer - Ce CC,1,,,,
1996,0.545898674,Density anomaly,Common murre  Summer - Ce CC,2,,,,
1997,0.465094642,Density anomaly,Common murre  Summer - Ce CC,2,,,,
1998,NA,Density anomaly,Common murre  Summer - Ce CC,2,,,,
1999,NA,Density anomaly,Common murre  Summer - Ce CC,2,,,,
2000,1.177364739,Density anomaly,Common murre  Summer - Ce CC,2,,,,
2001,-0.38418538,Density anomaly,Common murre  Summer - Ce CC,2,,,,
2002,-1.036510566,Density anomaly,Common murre  Summer - Ce CC,2,,,,
2003,-0.438895812,Density anomaly,Common murre  Summer - Ce CC,2,,,,
2004,0.070951338,Density anomaly,Common murre  Summer - Ce CC,2,,,,
2005,0.469047216,Density anomaly,Common murre  Summer - Ce CC,2,,,,
2006,0.044164022,Density anomaly,Common murre  Summer - Ce CC,2,,,,`
2007,0.610437196,Density anomaly,Common murre  Summer - Ce CC,2,,,,
2008,-0.128252005,Density anomaly,Common murre  Summer - Ce CC,2,,,,
2009,0.010418489,Density anomaly,Common murre  Summer - Ce CC,2,,,,
2010,-0.927158029,Density anomaly,Common murre  Summer - Ce CC,2,,,,
2011,NA,Density anomaly,Common murre  Summer - Ce CC,2,,,,
2012,-0.157344966,Density anomaly,Common murre  Summer - Ce CC,2,,,,
2013,-0.224099964,Density anomaly,Common murre  Summer - Ce CC,2,,,,
2014,-0.314883914,Density anomaly,Common murre  Summer - Ce CC,2,,,,
2015,-0.988779163,Density anomaly,Common murre  Summer - Ce CC,2,,,,
2016,-0.079291178,Density anomaly,Common murre  Summer - Ce CC,2,,,,
2017,0.623197896,Density anomaly,Common murre  Summer - Ce CC,2,,,,
2018,0.039628867,Density anomaly,Common murre  Summer - Ce CC,2,,,,
2019,0.623197896,Density anomaly,Common murre  Summer - Ce CC,2,,,,
1996,-2.107250973,Density anomaly,Sooty shearwater  Summer - Ce CC,3,,,,
1997,1.142065877,Density anomaly,Sooty shearwater  Summer - Ce CC,3,,,,
1998,NA,Density anomaly,Sooty shearwater  Summer - Ce CC,3,,,,
1999,NA,Density anomaly,Sooty shearwater  Summer - Ce CC,3,,,,
2000,-1.172941736,Density anomaly,Sooty shearwater  Summer - Ce CC,3,,,,
2001,0.166903469,Density anomaly,Sooty shearwater  Summer - Ce CC,3,,,,
2002,0.285119424,Density anomaly,Sooty shearwater  Summer - Ce CC,3,,,,
2003,1.16099205,Density anomaly,Sooty shearwater  Summer - Ce CC,3,,,,
2004,0.275376828,Density anomaly,Sooty shearwater  Summer - Ce CC,3,,,,
2005,0.078119105,Density anomaly,Sooty shearwater  Summer - Ce CC,3,,,,
2006,0.512685315,Density anomaly,Sooty shearwater  Summer - Ce CC,3,,,,
2007,-0.625302139,Density anomaly,Sooty shearwater  Summer - Ce CC,3,,,,
2008,-0.828845574,Density anomaly,Sooty shearwater  Summer - Ce CC,3,,,,
2009,0.563757956,Density anomaly,Sooty shearwater  Summer - Ce CC,3,,,,
2010,-1.53473178,Density anomaly,Sooty shearwater  Summer - Ce CC,3,,,,
2011,NA,Density anomaly,Sooty shearwater  Summer - Ce CC,3,,,,
2012,-0.320554806,Density anomaly,Sooty shearwater  Summer - Ce CC,3,,,,
2013,0.136034378,Density anomaly,Sooty shearwater  Summer - Ce CC,3,,,,
2014,1.052003514,Density anomaly,Sooty shearwater  Summer - Ce CC,3,,,,
2015,0.553749972,Density anomaly,Sooty shearwater  Summer - Ce CC,3,,,,
2016,-0.335900375,Density anomaly,Sooty shearwater  Summer - Ce CC,3,,,,
2017,-1.006116615,Density anomaly,Sooty shearwater  Summer - Ce CC,3,,,,
2018,0.52583619,Density anomaly,Sooty shearwater  Summer - Ce CC,3,,,,
2019,1.47899992,Density anomaly,Sooty shearwater  Summer - Ce CC,3,,,,
