year,data,metric,timeseries,order,,,,
2003,-0.405373138,Density anomaly,Cassins auklet  Jun - NCC,1,,,,
2004,-0.44046309,Density anomaly,Cassins auklet  Jun - NCC,1,,,,
2005,-0.327935076,Density anomaly,Cassins auklet  Jun - NCC,1,,,,
2006,-0.419208432,Density anomaly,Cassins auklet  Jun - NCC,1,,,,
2007,0.167101804,Density anomaly,Cassins auklet  Jun - NCC,1,,,,
2008,-0.365276445,Density anomaly,Cassins auklet  Jun - NCC,1,,,,
2009,-0.005081959,Density anomaly,Cassins auklet  Jun - NCC,1,,,,
2010,-0.427588565,Density anomaly,Cassins auklet  Jun - NCC,1,,,,
2011,0.584890454,Density anomaly,Cassins auklet  Jun - NCC,1,,,,
2012,0.440738047,Density anomaly,Cassins auklet  Jun - NCC,1,,,,
2013,NA,Density anomaly,Cassins auklet  Jun - NCC,1,,,,
2014,NA,Density anomaly,Cassins auklet  Jun - NCC,1,,,,
2015,0.749448212,Density anomaly,Cassins auklet  Jun - NCC,1,,,,
2016,-0.268007556,Density anomaly,Cassins auklet  Jun - NCC,1,,,,
2017,0.308330349,Density anomaly,Cassins auklet  Jun - NCC,1,,,,
2018,-0.080998863,Density anomaly,Cassins auklet  Jun - NCC,1,,,,
2019,0.489424256,Density anomaly,Cassins auklet  Jun - NCC,1,,,,
2003,-0.071778762,Density anomaly,Common murre  Jun - NCC,2,,,,
2004,-0.416161735,Density anomaly,Common murre  Jun - NCC,2,,,,
2005,-0.042768348,Density anomaly,Common murre  Jun - NCC,2,,,,
2006,-0.286871062,Density anomaly,Common murre  Jun - NCC,2,,,,
2007,-0.374182306,Density anomaly,Common murre  Jun - NCC,2,,,,
2008,1.158879695,Density anomaly,Common murre  Jun - NCC,2,,,,
2009,-0.694459364,Density anomaly,Common murre  Jun - NCC,2,,,,
2010,0.882118538,Density anomaly,Common murre  Jun - NCC,2,,,,
2011,0.076053224,Density anomaly,Common murre  Jun - NCC,2,,,,
2012,-0.144420369,Density anomaly,Common murre  Jun - NCC,2,,,,
2013,NA,Density anomaly,Common murre  Jun - NCC,2,,,,
2014,NA,Density anomaly,Common murre  Jun - NCC,2,,,,
2015,0.282208429,Density anomaly,Common murre  Jun - NCC,2,,,,
2016,-0.105794611,Density anomaly,Common murre  Jun - NCC,2,,,,
