year,data,metric,timeseries,order
1994,0.564,% BRAC diet,Northern anchovy,1
1995,NA,% BRAC diet,Northern anchovy,1
1996,NA,% BRAC diet,Northern anchovy,1
1997,NA,% BRAC diet,Northern anchovy,1
1998,NA,% BRAC diet,Northern anchovy,1
1999,0.86,% BRAC diet,Northern anchovy,1
2000,NA,% BRAC diet,Northern anchovy,1
2001,NA,% BRAC diet,Northern anchovy,1
2002,NA,% BRAC diet,Northern anchovy,1
2003,0.011,% BRAC diet,Northern anchovy,1
2004,NA,% BRAC diet,Northern anchovy,1
2005,0.683,% BRAC diet,Northern anchovy,1
2006,NA,% BRAC diet,Northern anchovy,1
2007,0.674,% BRAC diet,Northern anchovy,1
2008,0.344,% BRAC diet,Northern anchovy,1
2009,0.001,% BRAC diet,Northern anchovy,1
2010,0,% BRAC diet,Northern anchovy,1
2011,0.034,% BRAC diet,Northern anchovy,1
2012,0.012,% BRAC diet,Northern anchovy,1
2013,0.001,% BRAC diet,Northern anchovy,1
2014,0,% BRAC diet,Northern anchovy,1
2015,0.071,% BRAC diet,Northern anchovy,1
2016,0.299,% BRAC diet,Northern anchovy,1
2017,0.579,% BRAC diet,Northern anchovy,1
2018,0.474,% BRAC diet,Northern anchovy,1
2019,0.794,% BRAC diet,Northern anchovy,1
2020,0.875,% BRAC diet,Northern anchovy,1
1994,0.123,% BRAC diet,Rockfish juveniles,2
1995,NA,% BRAC diet,Rockfish juveniles,2
1996,NA,% BRAC diet,Rockfish juveniles,2
1997,NA,% BRAC diet,Rockfish juveniles,2
1998,NA,% BRAC diet,Rockfish juveniles,2
1999,0.02,% BRAC diet,Rockfish juveniles,2
2000,NA,% BRAC diet,Rockfish juveniles,2
2001,NA,% BRAC diet,Rockfish juveniles,2
2002,NA,% BRAC diet,Rockfish juveniles,2
2003,0.646,% BRAC diet,Rockfish juveniles,2
2004,NA,% BRAC diet,Rockfish juveniles,2
2005,0.048,% BRAC diet,Rockfish juveniles,2
2006,NA,% BRAC diet,Rockfish juveniles,2
2007,0.07,% BRAC diet,Rockfish juveniles,2
2008,0.018,% BRAC diet,Rockfish juveniles,2
2009,0.84,% BRAC diet,Rockfish juveniles,2
2010,0.736,% BRAC diet,Rockfish juveniles,2
2011,0.265,% BRAC diet,Rockfish juveniles,2
2012,0.083,% BRAC diet,Rockfish juveniles,2
2013,0.969,% BRAC diet,Rockfish juveniles,2
2014,0.956,% BRAC diet,Rockfish juveniles,2
2015,0.756,% BRAC diet,Rockfish juveniles,2
2016,0.575,% BRAC diet,Rockfish juveniles,2
2017,0.126,% BRAC diet,Rockfish juveniles,2
2018,0.181,% BRAC diet,Rockfish juveniles,2
2019,0.009,% BRAC diet,Rockfish juveniles,2
2020,0.057,% BRAC diet,Rockfish juveniles,2
