year,data,metric,timeseries,order
1971,0,% CAAU diet,Euphausia pacifica,1
1972,NA,% CAAU diet,Euphausia pacifica,1
1973,NA,% CAAU diet,Euphausia pacifica,1
1974,NA,% CAAU diet,Euphausia pacifica,1
1975,NA,% CAAU diet,Euphausia pacifica,1
1976,NA,% CAAU diet,Euphausia pacifica,1
1977,0.14,% CAAU diet,Euphausia pacifica,1
1978,NA,% CAAU diet,Euphausia pacifica,1
1979,0.21,% CAAU diet,Euphausia pacifica,1
1980,0.43,% CAAU diet,Euphausia pacifica,1
1981,0.37,% CAAU diet,Euphausia pacifica,1
1982,NA,% CAAU diet,Euphausia pacifica,1
1983,NA,% CAAU diet,Euphausia pacifica,1
1984,NA,% CAAU diet,Euphausia pacifica,1
1985,0.555,% CAAU diet,Euphausia pacifica,1
1986,0.594,% CAAU diet,Euphausia pacifica,1
1987,0.532,% CAAU diet,Euphausia pacifica,1
1988,0.603,% CAAU diet,Euphausia pacifica,1
1989,0.608,% CAAU diet,Euphausia pacifica,1
1990,0.532,% CAAU diet,Euphausia pacifica,1
1991,0.421,% CAAU diet,Euphausia pacifica,1
1992,NA,% CAAU diet,Euphausia pacifica,1
1993,0.487,% CAAU diet,Euphausia pacifica,1
1994,0.498,% CAAU diet,Euphausia pacifica,1
1995,0.251,% CAAU diet,Euphausia pacifica,1
1996,0.083,% CAAU diet,Euphausia pacifica,1
1997,0.267,% CAAU diet,Euphausia pacifica,1
1998,0.094,% CAAU diet,Euphausia pacifica,1
1999,0.559,% CAAU diet,Euphausia pacifica,1
2000,0.178,% CAAU diet,Euphausia pacifica,1
2001,0.354,% CAAU diet,Euphausia pacifica,1
2002,0.401,% CAAU diet,Euphausia pacifica,1
2003,0.221,% CAAU diet,Euphausia pacifica,1
2004,0.099,% CAAU diet,Euphausia pacifica,1
2005,0,% CAAU diet,Euphausia pacifica,1
2006,0,% CAAU diet,Euphausia pacifica,1
2007,0.237,% CAAU diet,Euphausia pacifica,1
2008,0.445,% CAAU diet,Euphausia pacifica,1
2009,0.363,% CAAU diet,Euphausia pacifica,1
2010,0.569,% CAAU diet,Euphausia pacifica,1
2011,0.444,% CAAU diet,Euphausia pacifica,1
2012,0.644,% CAAU diet,Euphausia pacifica,1
2013,0.155,% CAAU diet,Euphausia pacifica,1
2014,0.07,% CAAU diet,Euphausia pacifica,1
2015,0.165,% CAAU diet,Euphausia pacifica,1
2016,0.064,% CAAU diet,Euphausia pacifica,1
2017,0.332,% CAAU diet,Euphausia pacifica,1
2018,0.502,% CAAU diet,Euphausia pacifica,1
2019,0.097,% CAAU diet,Euphausia pacifica,1
2020,0.073,% CAAU diet,Euphausia pacifica,1
1971,0.2,% CAAU diet,Thysanoessa spinifera,2
1972,NA,% CAAU diet,Thysanoessa spinifera,2
1973,NA,% CAAU diet,Thysanoessa spinifera,2
1974,NA,% CAAU diet,Thysanoessa spinifera,2
1975,NA,% CAAU diet,Thysanoessa spinifera,2
1976,NA,% CAAU diet,Thysanoessa spinifera,2
1977,0.85,% CAAU diet,Thysanoessa spinifera,2
1978,NA,% CAAU diet,Thysanoessa spinifera,2
1979,0.45,% CAAU diet,Thysanoessa spinifera,2
1980,0.03,% CAAU diet,Thysanoessa spinifera,2
1981,0.45,% CAAU diet,Thysanoessa spinifera,2
1982,NA,% CAAU diet,Thysanoessa spinifera,2
1983,NA,% CAAU diet,Thysanoessa spinifera,2
1984,NA,% CAAU diet,Thysanoessa spinifera,2
1985,0.199,% CAAU diet,Thysanoessa spinifera,2
1986,0.252,% CAAU diet,Thysanoessa spinifera,2
1987,0.429,% CAAU diet,Thysanoessa spinifera,2
1988,0.368,% CAAU diet,Thysanoessa spinifera,2
1989,0.369,% CAAU diet,Thysanoessa spinifera,2
1990,0.201,% CAAU diet,Thysanoessa spinifera,2
1991,0.151,% CAAU diet,Thysanoessa spinifera,2
1992,NA,% CAAU diet,Thysanoessa spinifera,2
1993,0.278,% CAAU diet,Thysanoessa spinifera,2
1994,0.348,% CAAU diet,Thysanoessa spinifera,2
1995,0.359,% CAAU diet,Thysanoessa spinifera,2
1996,0.822,% CAAU diet,Thysanoessa spinifera,2
1997,0.372,% CAAU diet,Thysanoessa spinifera,2
1998,0.701,% CAAU diet,Thysanoessa spinifera,2
1999,0.205,% CAAU diet,Thysanoessa spinifera,2
2000,0.603,% CAAU diet,Thysanoessa spinifera,2
2001,0.511,% CAAU diet,Thysanoessa spinifera,2
2002,0.485,% CAAU diet,Thysanoessa spinifera,2
2003,0.627,% CAAU diet,Thysanoessa spinifera,2
2004,0.441,% CAAU diet,Thysanoessa spinifera,2
2005,0,% CAAU diet,Thysanoessa spinifera,2
2006,0,% CAAU diet,Thysanoessa spinifera,2
2007,0.076,% CAAU diet,Thysanoessa spinifera,2
2008,0.109,% CAAU diet,Thysanoessa spinifera,2
2009,0.48,% CAAU diet,Thysanoessa spinifera,2
2010,0.326,% CAAU diet,Thysanoessa spinifera,2
2011,0.457,% CAAU diet,Thysanoessa spinifera,2
2012,0.211,% CAAU diet,Thysanoessa spinifera,2
2013,0.582,% CAAU diet,Thysanoessa spinifera,2
2014,0.886,% CAAU diet,Thysanoessa spinifera,2
2015,0.674,% CAAU diet,Thysanoessa spinifera,2
2016,0.85,% CAAU diet,Thysanoessa spinifera,2
2017,0.513,% CAAU diet,Thysanoessa spinifera,2
2018,0.418,% CAAU diet,Thysanoessa spinifera,2
2019,0,% CAAU diet,Thysanoessa spinifera,2
2020,0.448,% CAAU diet,Thysanoessa spinifera,2
