year,data,metric,timeseries,order
1973,0.710,% COMU diet,Northern anchovy,1
1974,0.110,% COMU diet,Northern anchovy,1
1975,0.060,% COMU diet,Northern anchovy,1
1976,0.260,% COMU diet,Northern anchovy,1
1977,0.040,% COMU diet,Northern anchovy,1
1978,0.430,% COMU diet,Northern anchovy,1
1979,0.010,% COMU diet,Northern anchovy,1
1980,0.200,% COMU diet,Northern anchovy,1
1981,0.150,% COMU diet,Northern anchovy,1
1982,0.260,% COMU diet,Northern anchovy,1
1983,0.630,% COMU diet,Northern anchovy,1
1984,0.250,% COMU diet,Northern anchovy,1
1985,0.190,% COMU diet,Northern anchovy,1
1986,0.560,% COMU diet,Northern anchovy,1
1987,0.080,% COMU diet,Northern anchovy,1
1988,0.140,% COMU diet,Northern anchovy,1
1989,0.430,% COMU diet,Northern anchovy,1
1990,0.470,% COMU diet,Northern anchovy,1
1991,0.360,% COMU diet,Northern anchovy,1
1992,0.660,% COMU diet,Northern anchovy,1
1993,0.630,% COMU diet,Northern anchovy,1
1994,0.810,% COMU diet,Northern anchovy,1
1995,0.760,% COMU diet,Northern anchovy,1
1996,0.760,% COMU diet,Northern anchovy,1
1997,0.730,% COMU diet,Northern anchovy,1
1998,0.884,% COMU diet,Northern anchovy,1
1999,0.743,% COMU diet,Northern anchovy,1
2000,0.660,% COMU diet,Northern anchovy,1
2001,0.290,% COMU diet,Northern anchovy,1
2002,0.160,% COMU diet,Northern anchovy,1
2003,0.300,% COMU diet,Northern anchovy,1
2004,0.600,% COMU diet,Northern anchovy,1
2005,0.766,% COMU diet,Northern anchovy,1
2006,0.833,% COMU diet,Northern anchovy,1
2007,0.863,% COMU diet,Northern anchovy,1
2008,0.567,% COMU diet,Northern anchovy,1
2009,0.047,% COMU diet,Northern anchovy,1
2010,0.034,% COMU diet,Northern anchovy,1
2011,0.205,% COMU diet,Northern anchovy,1
2012,0.081,% COMU diet,Northern anchovy,1
2013,0.019,% COMU diet,Northern anchovy,1
2014,0.031,% COMU diet,Northern anchovy,1
2015,0.327,% COMU diet,Northern anchovy,1
2016,0.531,% COMU diet,Northern anchovy,1
2017,0.345,% COMU diet,Northern anchovy,1
2018,0.715,% COMU diet,Northern anchovy,1
2019,0.830,% COMU diet,Northern anchovy,1
