year,data,metric,timeseries,order
1987,0.006,% RHAU diet,Northern anchovy,1
1988,0.086,% RHAU diet,Northern anchovy,1
1989,0.203,% RHAU diet,Northern anchovy,1
1990,0.142,% RHAU diet,Northern anchovy,1
1991,0.005,% RHAU diet,Northern anchovy,1
1992,0.799,% RHAU diet,Northern anchovy,1
1993,0.379,% RHAU diet,Northern anchovy,1
1994,0.156,% RHAU diet,Northern anchovy,1
1995,0.243,% RHAU diet,Northern anchovy,1
1996,0.303,% RHAU diet,Northern anchovy,1
1997,0.009,% RHAU diet,Northern anchovy,1
1998,0.023,% RHAU diet,Northern anchovy,1
1999,0.297,% RHAU diet,Northern anchovy,1
2000,0.423,% RHAU diet,Northern anchovy,1
2001,0.000,% RHAU diet,Northern anchovy,1
2002,0.043,% RHAU diet,Northern anchovy,1
2003,0.007,% RHAU diet,Northern anchovy,1
2004,0.345,% RHAU diet,Northern anchovy,1
2005,0.670,% RHAU diet,Northern anchovy,1
2006,0.957,% RHAU diet,Northern anchovy,1
2007,0.960,% RHAU diet,Northern anchovy,1
2008,0.282,% RHAU diet,Northern anchovy,1
2009,0.002,% RHAU diet,Northern anchovy,1
2010,0.004,% RHAU diet,Northern anchovy,1
2011,0.026,% RHAU diet,Northern anchovy,1
2012,0.000,% RHAU diet,Northern anchovy,1
2013,0.005,% RHAU diet,Northern anchovy,1
2014,0.021,% RHAU diet,Northern anchovy,1
2015,0.620,% RHAU diet,Northern anchovy,1
2016,0.218,% RHAU diet,Northern anchovy,1
2017,0.050,% RHAU diet,Northern anchovy,1
2018,0.651,% RHAU diet,Northern anchovy,1
2019,0.957,% RHAU diet,Northern anchovy,1
2020,0.692,% RHAU diet,Northern anchovy,1
1987,0.832,% RHAU diet,Rockfish juveniles,2
1988,0.672,% RHAU diet,Rockfish juveniles,2
1989,0.000,% RHAU diet,Rockfish juveniles,2
1990,0.133,% RHAU diet,Rockfish juveniles,2
1991,0.532,% RHAU diet,Rockfish juveniles,2
1992,0.094,% RHAU diet,Rockfish juveniles,2
1993,0.256,% RHAU diet,Rockfish juveniles,2
1994,0.230,% RHAU diet,Rockfish juveniles,2
1995,0.138,% RHAU diet,Rockfish juveniles,2
1996,0.279,% RHAU diet,Rockfish juveniles,2
1997,0.092,% RHAU diet,Rockfish juveniles,2
1998,0.034,% RHAU diet,Rockfish juveniles,2
1999,0.323,% RHAU diet,Rockfish juveniles,2
2000,0.000,% RHAU diet,Rockfish juveniles,2
2001,0.392,% RHAU diet,Rockfish juveniles,2
2002,0.509,% RHAU diet,Rockfish juveniles,2
2003,0.030,% RHAU diet,Rockfish juveniles,2
2004,0.153,% RHAU diet,Rockfish juveniles,2
2005,0.000,% RHAU diet,Rockfish juveniles,2
2006,0.000,% RHAU diet,Rockfish juveniles,2
2007,0.000,% RHAU diet,Rockfish juveniles,2
2008,0.290,% RHAU diet,Rockfish juveniles,2
2009,0.061,% RHAU diet,Rockfish juveniles,2
2010,0.416,% RHAU diet,Rockfish juveniles,2
2011,0.323,% RHAU diet,Rockfish juveniles,2
2012,0.243,% RHAU diet,Rockfish juveniles,2
2013,0.656,% RHAU diet,Rockfish juveniles,2
2014,0.812,% RHAU diet,Rockfish juveniles,2
2015,0.286,% RHAU diet,Rockfish juveniles,2
2016,0.635,% RHAU diet,Rockfish juveniles,2
2017,0.445,% RHAU diet,Rockfish juveniles,2
2018,0.053,% RHAU diet,Rockfish juveniles,2
2019,0.017,% RHAU diet,Rockfish juveniles,2
2020,0.225,% RHAU diet,Rockfish juveniles,2
