year,anomaly,metric,timeseries,order
1987,0.017515712,Density anomaly,Cassins auklet  Spring - So CC,1
1988,-0.041743906,Density anomaly,Cassins auklet  Spring - So CC,1
1989,-0.019773457,Density anomaly,Cassins auklet  Spring - So CC,1
1990,1.058576611,Density anomaly,Cassins auklet  Spring - So CC,1
1991,-0.06173716,Density anomaly,Cassins auklet  Spring - So CC,1
1992,0.084912749,Density anomaly,Cassins auklet  Spring - So CC,1
1993,0.057775319,Density anomaly,Cassins auklet  Spring - So CC,1
1994,-0.050093925,Density anomaly,Cassins auklet  Spring - So CC,1
1995,-0.10133712,Density anomaly,Cassins auklet  Spring - So CC,1
1996,-0.011060621,Density anomaly,Cassins auklet  Spring - So CC,1
1997,NA,Density anomaly,Cassins auklet  Spring - So CC,1
1998,-0.018001311,Density anomaly,Cassins auklet  Spring - So CC,1
1999,-0.095546396,Density anomaly,Cassins auklet  Spring - So CC,1
2000,-0.097638773,Density anomaly,Cassins auklet  Spring - So CC,1
2001,-0.106154574,Density anomaly,Cassins auklet  Spring - So CC,1
2002,0.062842165,Density anomaly,Cassins auklet  Spring - So CC,1
2003,-0.119472962,Density anomaly,Cassins auklet  Spring - So CC,1
2004,-0.098466938,Density anomaly,Cassins auklet  Spring - So CC,1
2005,0.491791534,Density anomaly,Cassins auklet  Spring - So CC,1
2006,-0.044646876,Density anomaly,Cassins auklet  Spring - So CC,1
2007,NA,Density anomaly,Cassins auklet  Spring - So CC,1
2008,-0.087649041,Density anomaly,Cassins auklet  Spring - So CC,1
2009,-0.012833624,Density anomaly,Cassins auklet  Spring - So CC,1
2010,-0.083654488,Density anomaly,Cassins auklet  Spring - So CC,1
2011,-0.104643857,Density anomaly,Cassins auklet  Spring - So CC,1
2012,-0.080252249,Density anomaly,Cassins auklet  Spring - So CC,1
2013,-0.08991416,Density anomaly,Cassins auklet  Spring - So CC,1
2014,-0.109522631,Density anomaly,Cassins auklet  Spring - So CC,1
2015,-0.051814314,Density anomaly,Cassins auklet  Spring - So CC,1
2016,0.0115553,Density anomaly,Cassins auklet  Spring - So CC,1
2017,-0.099670335,Density anomaly,Cassins auklet  Spring - So CC,1
2018,-0.099670335,Density anomaly,Cassins auklet  Spring - So CC,1
2019,-0.099670335,Density anomaly,Cassins auklet  Spring - So CC,1
1987,-0.156403456,Density anomaly,Common murre  Spring - So CC,2
1988,-0.156403456,Density anomaly,Common murre  Spring - So CC,2
1989,-0.154349902,Density anomaly,Common murre  Spring - So CC,2
1990,-0.156403456,Density anomaly,Common murre  Spring - So CC,2
1991,-0.153577213,Density anomaly,Common murre  Spring - So CC,2
1992,-0.131366214,Density anomaly,Common murre  Spring - So CC,2
1993,-0.124916379,Density anomaly,Common murre  Spring - So CC,2
1994,-0.156403456,Density anomaly,Common murre  Spring - So CC,2
1995,-0.156403456,Density anomaly,Common murre  Spring - So CC,2
1996,-0.156403456,Density anomaly,Common murre  Spring - So CC,2
1997,NA,Density anomaly,Common murre  Spring - So CC,2
1998,-0.154311557,Density anomaly,Common murre  Spring - So CC,2
1999,-0.156403456,Density anomaly,Common murre  Spring - So CC,2
