time,SST,nobs,stdev
1982-04-01T00:00:00Z,14.88,243,0.70713
1982-05-01T00:00:00Z,16.04,736,0.78220
1982-06-01T00:00:00Z,16.64,719,0.56209
1982-07-01T00:00:00Z,17.86,743,0.84264
1982-08-01T00:00:00Z,18.78,742,1.29194
1982-09-01T00:00:00Z,19.56,719,0.64545
1982-10-01T00:00:00Z,18.78,742,0.38058
1982-11-01T00:00:00Z,17.31,719,0.64694
1982-12-01T00:00:00Z,15.35,742,0.33114
1983-01-01T00:00:00Z,15.86,736,0.79408
1983-02-01T00:00:00Z,16.10,669,0.20802
1983-03-01T00:00:00Z,16.01,744,0.46304
1983-04-01T00:00:00Z,14.99,707,0.79778
1983-05-01T00:00:00Z,16.68,739,0.72542
1983-06-01T00:00:00Z,18.04,704,1.02973
1983-07-01T00:00:00Z,19.76,711,0.84753
1983-08-01T00:00:00Z,21.64,741,0.87664
1983-09-01T00:00:00Z,21.38,710,0.70860
1983-10-01T00:00:00Z,21.12,735,0.34617
1983-11-01T00:00:00Z,19.03,718,1.43404
1983-12-01T00:00:00Z,16.68,636,0.29830
1984-01-01T00:00:00Z,16.25,741,0.17968
1984-02-01T00:00:00Z,16.09,460,0.25237
1984-04-01T00:00:00Z,15.83,392,0.56677
1984-05-01T00:00:00Z,17.10,740,0.99058
1984-06-01T00:00:00Z,18.41,718,0.70951
1984-07-01T00:00:00Z,20.98,743,1.18421
1984-08-01T00:00:00Z,22.44,742,0.69415
1984-09-01T00:00:00Z,21.80,716,0.74084
1984-10-01T00:00:00Z,18.99,742,1.39060
1984-11-01T00:00:00Z,16.11,715,0.70622
1984-12-01T00:00:00Z,14.73,743,0.56003
1985-01-01T00:00:00Z,14.33,743,0.19205
1985-02-01T00:00:00Z,13.98,671,0.42023
1985-03-01T00:00:00Z,13.70,738,0.43475
1985-04-01T00:00:00Z,14.51,714,0.48208
1985-05-01T00:00:00Z,14.94,744,0.60353
1985-06-01T00:00:00Z,17.22,718,0.84175
1985-07-01T00:00:00Z,19.38,740,0.72382
1985-08-01T00:00:00Z,20.33,741,0.70521
1985-09-01T00:00:00Z,19.94,718,0.52862
1985-10-01T00:00:00Z,19.60,741,0.46925
1985-11-01T00:00:00Z,16.90,720,1.44617
1985-12-01T00:00:00Z,14.81,376,0.40582
1986-01-01T00:00:00Z,15.10,215,0.39776
1986-02-01T00:00:00Z,14.97,667,0.53699
1986-03-01T00:00:00Z,15.32,738,0.79359
1986-04-01T00:00:00Z,15.55,717,0.76182
1986-05-01T00:00:00Z,16.24,740,0.69868
1986-06-01T00:00:00Z,18.15,717,0.76783
1986-07-01T00:00:00Z,19.86,743,0.76062
1986-08-01T00:00:00Z,19.94,742,1.17624
1986-09-01T00:00:00Z,19.46,718,0.97195
1986-10-01T00:00:00Z,19.07,736,0.44460
1986-11-01T00:00:00Z,18.14,700,0.32718
1986-12-01T00:00:00Z,17.15,740,0.36904
1987-01-01T00:00:00Z,15.06,734,0.86437
1987-02-01T00:00:00Z,15.06,666,0.52805
1987-03-01T00:00:00Z,14.48,742,0.75342
1987-04-01T00:00:00Z,15.55,718,1.05371
1987-05-01T00:00:00Z,17.67,744,1.03558
1987-06-01T00:00:00Z,17.80,719,0.63456
1987-07-01T00:00:00Z,18.95,742,0.65315
1987-08-01T00:00:00Z,20.31,625,0.88756
1987-10-01T00:00:00Z,19.37,741,0.74257
1987-11-01T00:00:00Z,17.60,718,0.70057
1987-12-01T00:00:00Z,14.38,743,1.25088
1988-01-01T00:00:00Z,13.72,737,0.53371
1988-02-01T00:00:00Z,14.30,693,0.66313
1988-03-01T00:00:00Z,14.99,741,0.86333
1988-04-01T00:00:00Z,16.22,717,0.78770
1988-05-01T00:00:00Z,15.98,739,1.25550
1988-06-01T00:00:00Z,16.18,719,1.42016
1988-07-01T00:00:00Z,19.85,743,0.92765
1988-08-01T00:00:00Z,20.34,739,0.58401
1988-09-01T00:00:00Z,19.19,717,0.59894
1988-10-01T00:00:00Z,18.80,742,0.57353
1988-11-01T00:00:00Z,16.27,717,1.51225
1988-12-01T00:00:00Z,14.26,742,0.68564
1989-01-01T00:00:00Z,12.87,744,0.45116
1989-02-01T00:00:00Z,13.07,672,0.60025
1989-03-01T00:00:00Z,14.13,735,0.89059
1989-04-01T00:00:00Z,15.77,719,1.05566
1989-05-01T00:00:00Z,16.76,511,0.85049
1989-10-01T00:00:00Z,17.88,431,1.21791
1989-11-01T00:00:00Z,17.67,719,0.60689
1989-12-01T00:00:00Z,16.90,738,0.48644
1990-01-01T00:00:00Z,15.73,684,0.35229
1990-02-01T00:00:00Z,13.95,336,0.34067
1990-03-01T00:00:00Z,14.26,740,0.45880
1990-04-01T00:00:00Z,15.97,715,1.10010
1990-05-01T00:00:00Z,17.30,743,0.74460
1990-06-01T00:00:00Z,18.80,712,1.22327
1990-07-01T00:00:00Z,20.91,518,1.46148
1990-08-01T00:00:00Z,20.47,249,0.77938
1990-09-01T00:00:00Z,21.27,497,0.66507
1990-10-01T00:00:00Z,20.18,675,0.42356
1990-11-01T00:00:00Z,18.28,719,0.74334
1990-12-01T00:00:00Z,16.01,744,1.27418
1991-01-01T00:00:00Z,14.73,743,0.39115
1991-02-01T00:00:00Z,14.94,408,0.34417
1991-03-01T00:00:00Z,14.50,221,0.74816
1991-04-01T00:00:00Z,14.59,716,0.81049
1991-05-01T00:00:00Z,14.60,743,0.84924
1991-06-01T00:00:00Z,16.51,720,0.99126
1991-07-01T00:00:00Z,18.27,741,0.76647
1991-08-01T00:00:00Z,18.84,739,0.53988
1991-09-01T00:00:00Z,18.15,717,0.73709
1991-10-01T00:00:00Z,18.55,742,0.79526
1991-11-01T00:00:00Z,16.22,713,0.85784
1991-12-01T00:00:00Z,14.50,738,0.47294
1992-01-01T00:00:00Z,14.29,740,0.46385
1992-02-01T00:00:00Z,15.02,687,0.31528
1992-03-01T00:00:00Z,15.56,739,0.56002
1992-04-01T00:00:00Z,17.75,719,0.96481
1992-05-01T00:00:00Z,18.15,741,0.57366
1992-06-01T00:00:00Z,17.20,717,0.72184
1992-07-01T00:00:00Z,19.93,741,1.29882
1992-08-01T00:00:00Z,21.24,739,0.70924
1992-09-01T00:00:00Z,20.14,717,0.67005
1992-10-01T00:00:00Z,19.09,739,0.76843
1992-11-01T00:00:00Z,18.14,710,0.59430
1992-12-01T00:00:00Z,15.48,735,0.81072
1993-01-01T00:00:00Z,14.55,731,0.45370
1993-02-01T00:00:00Z,14.90,638,0.35004
1993-03-01T00:00:00Z,15.44,728,0.61690
1993-04-01T00:00:00Z,15.84,717,0.78371
1993-05-01T00:00:00Z,17.57,739,0.65691
1993-06-01T00:00:00Z,19.34,717,1.24881
1993-07-01T00:00:00Z,20.39,743,0.73080
1993-08-01T00:00:00Z,19.80,735,0.77661
1993-09-01T00:00:00Z,19.61,717,0.80697
1993-10-01T00:00:00Z,19.10,741,0.58795
1993-11-01T00:00:00Z,17.63,576,0.86145
1993-12-01T00:00:00Z,15.15,421,0.31321
1994-01-01T00:00:00Z,14.96,609,0.41339
1994-02-01T00:00:00Z,14.29,615,0.37381
1994-03-01T00:00:00Z,14.76,671,0.54629
1994-04-01T00:00:00Z,14.32,690,0.71854
1994-05-01T00:00:00Z,15.40,694,0.82450
1994-06-01T00:00:00Z,18.46,643,1.08310
1994-07-01T00:00:00Z,19.17,637,0.60704
1994-08-01T00:00:00Z,20.32,610,0.90985
1994-09-01T00:00:00Z,19.69,596,0.72899
1994-10-01T00:00:00Z,18.63,539,0.75377
1994-11-01T00:00:00Z,15.78,529,1.26752
1994-12-01T00:00:00Z,14.84,414,0.27023
1995-01-01T00:00:00Z,14.07,482,0.30870
1995-02-01T00:00:00Z,14.83,593,0.50512
1995-03-01T00:00:00Z,15.08,630,0.48253
1995-04-01T00:00:00Z,14.53,616,0.74570
1995-05-01T00:00:00Z,14.77,614,0.60405
1995-06-01T00:00:00Z,16.57,583,0.79456
1995-07-01T00:00:00Z,18.49,643,0.73602
1995-08-01T00:00:00Z,19.33,742,0.80976
1995-09-01T00:00:00Z,19.85,716,0.87742
1995-10-01T00:00:00Z,19.11,738,0.98969
1995-11-01T00:00:00Z,17.01,712,0.48732
1995-12-01T00:00:00Z,16.19,738,0.73799
1996-01-01T00:00:00Z,15.12,733,0.53454
1996-02-01T00:00:00Z,14.78,679,0.44685
1996-03-01T00:00:00Z,14.10,732,0.56333
1996-04-01T00:00:00Z,14.76,714,1.06556
1996-05-01T00:00:00Z,17.48,733,1.15844
1996-06-01T00:00:00Z,18.56,701,0.75455
1996-07-01T00:00:00Z,18.41,728,0.69031
1996-08-01T00:00:00Z,20.14,737,0.55999
1996-09-01T00:00:00Z,20.32,714,0.88750
1996-10-01T00:00:00Z,18.15,729,1.20645
1996-11-01T00:00:00Z,16.02,687,0.55642
1996-12-01T00:00:00Z,14.74,737,0.36496
1997-01-01T00:00:00Z,14.20,728,0.44035
1997-02-01T00:00:00Z,14.23,647,0.49766
1997-03-01T00:00:00Z,15.08,737,1.04149
1997-04-01T00:00:00Z,15.52,710,0.57793
1997-05-01T00:00:00Z,18.06,735,1.36648
1997-06-01T00:00:00Z,19.85,715,0.48023
1997-11-01T00:00:00Z,18.86,257,0.32216
1997-12-01T00:00:00Z,16.99,728,0.54060
1998-01-01T00:00:00Z,16.90,687,0.33631
1998-02-01T00:00:00Z,16.37,649,0.56744
1998-03-01T00:00:00Z,16.01,684,0.73029
1998-04-01T00:00:00Z,14.98,680,0.76816
1998-05-01T00:00:00Z,16.62,708,0.86508
1998-06-01T00:00:00Z,18.04,680,0.73876
1998-07-01T00:00:00Z,19.42,728,0.95127
1998-08-01T00:00:00Z,20.60,728,0.94023
1998-09-01T00:00:00Z,20.83,708,1.02465
1998-10-01T00:00:00Z,18.71,721,0.58886
1998-11-01T00:00:00Z,16.75,703,0.93703
1998-12-01T00:00:00Z,14.20,740,0.83535
1999-01-01T00:00:00Z,14.32,740,0.30668
1999-02-01T00:00:00Z,13.53,660,0.39164
1999-03-01T00:00:00Z,13.66,720,0.43361
1999-04-01T00:00:00Z,13.35,718,0.94152
1999-05-01T00:00:00Z,15.80,739,1.09747
1999-06-01T00:00:00Z,16.64,720,0.77522
1999-07-01T00:00:00Z,18.45,740,0.83419
1999-08-01T00:00:00Z,18.28,738,0.68910
1999-09-01T00:00:00Z,17.69,716,0.82077
1999-10-01T00:00:00Z,18.19,719,0.61722
1999-11-01T00:00:00Z,16.87,680,1.07384
1999-12-01T00:00:00Z,14.57,743,0.44379
2000-01-01T00:00:00Z,14.07,720,0.43126
2000-02-01T00:00:00Z,13.71,688,0.44331
2000-03-01T00:00:00Z,14.06,742,0.73758
2000-04-01T00:00:00Z,15.11,689,0.92174
2000-05-01T00:00:00Z,16.50,728,1.44832
2000-06-01T00:00:00Z,18.98,709,0.66307
2000-07-01T00:00:00Z,19.69,741,0.68065
2000-08-01T00:00:00Z,20.57,741,0.72872
2000-09-01T00:00:00Z,20.02,719,0.54684
2000-10-01T00:00:00Z,18.33,737,1.14196
2000-11-01T00:00:00Z,15.94,716,0.97372
2000-12-01T00:00:00Z,14.57,743,0.62972
2001-01-01T00:00:00Z,13.84,741,0.46407
2001-02-01T00:00:00Z,12.83,671,0.55065
2001-03-01T00:00:00Z,13.98,738,0.93397
2001-04-01T00:00:00Z,13.61,713,0.79879
2001-05-01T00:00:00Z,16.58,738,0.94054
2001-06-01T00:00:00Z,18.81,714,0.76944
2001-07-01T00:00:00Z,19.01,744,0.76457
2001-08-01T00:00:00Z,19.24,681,0.54941
2001-09-01T00:00:00Z,19.00,715,0.80369
2001-10-01T00:00:00Z,18.26,744,0.50910
2001-11-01T00:00:00Z,17.06,717,1.00945
2001-12-01T00:00:00Z,14.23,744,0.54735
2002-01-01T00:00:00Z,14.28,742,0.33721
2002-02-01T00:00:00Z,14.22,661,0.59233
2002-03-01T00:00:00Z,14.02,678,0.95823
2002-04-01T00:00:00Z,14.42,705,0.65040
2002-05-01T00:00:00Z,15.92,733,0.82706
2002-06-01T00:00:00Z,17.76,709,0.64182
2002-07-01T00:00:00Z,19.04,734,0.96830
2002-08-01T00:00:00Z,19.43,740,0.64584
2002-09-01T00:00:00Z,19.03,715,0.69401
2002-10-01T00:00:00Z,17.66,735,1.10355
2002-11-01T00:00:00Z,16.62,713,0.48447
2002-12-01T00:00:00Z,15.70,739,0.58585
2003-01-01T00:00:00Z,15.64,739,0.45528
2003-02-01T00:00:00Z,15.04,669,0.49392
2003-03-01T00:00:00Z,14.59,741,0.68665
2003-04-01T00:00:00Z,14.49,706,0.53085
2003-05-01T00:00:00Z,15.30,736,0.85273
2003-06-01T00:00:00Z,17.66,709,0.79611
2003-07-01T00:00:00Z,19.98,742,1.43761
2003-08-01T00:00:00Z,20.64,740,0.82464
2003-09-01T00:00:00Z,18.54,708,0.77958
2003-10-01T00:00:00Z,18.05,743,0.70032
2003-11-01T00:00:00Z,15.78,720,0.68894
2003-12-01T00:00:00Z,15.17,742,0.60742
2004-01-01T00:00:00Z,14.18,744,0.46232
2004-02-01T00:00:00Z,13.92,695,0.39175
2004-03-01T00:00:00Z,14.97,744,0.82903
2004-04-01T00:00:00Z,15.41,718,0.95462
2004-05-01T00:00:00Z,17.89,741,1.12476
2004-06-01T00:00:00Z,18.66,719,0.65563
2004-07-01T00:00:00Z,19.85,740,0.86819
2004-08-01T00:00:00Z,20.50,738,0.53408
2004-09-01T00:00:00Z,20.93,719,1.37005
2004-10-01T00:00:00Z,18.72,743,0.62647
2004-11-01T00:00:00Z,17.42,713,0.49815
2004-12-01T00:00:00Z,15.77,743,0.51244
2005-01-01T00:00:00Z,15.28,743,0.37614
2005-02-01T00:00:00Z,15.37,670,0.29452
2005-03-01T00:00:00Z,15.69,742,0.67744
2005-04-01T00:00:00Z,14.95,719,0.95766
2005-05-01T00:00:00Z,16.99,743,0.96671
2005-06-01T00:00:00Z,18.14,718,0.91689
2005-07-01T00:00:00Z,18.85,743,1.07041
2005-08-01T00:00:00Z,20.12,741,0.69671
2005-09-01T00:00:00Z,19.63,719,1.23168
2005-10-01T00:00:00Z,18.36,741,0.60485
2005-11-01T00:00:00Z,16.77,718,0.86242
2005-12-01T00:00:00Z,15.45,742,0.35884
2006-01-01T00:00:00Z,14.20,742,0.39685
2006-02-01T00:00:00Z,14.55,670,0.54015
2006-03-01T00:00:00Z,13.23,743,0.61217
2006-04-01T00:00:00Z,15.21,716,0.89629
2006-05-01T00:00:00Z,16.90,739,0.84933
2006-06-01T00:00:00Z,19.06,718,0.74317
2006-07-01T00:00:00Z,21.59,742,1.45040
2006-08-01T00:00:00Z,21.43,742,1.16355
2006-09-01T00:00:00Z,20.04,713,0.81594
2006-10-01T00:00:00Z,17.88,741,0.99546
2006-11-01T00:00:00Z,17.97,719,0.67679
2006-12-01T00:00:00Z,16.11,743,0.48395
2007-01-01T00:00:00Z,14.72,743,0.51079
2007-02-01T00:00:00Z,14.81,669,0.47438
2007-03-01T00:00:00Z,14.46,739,0.60286
2007-04-01T00:00:00Z,14.83,711,0.65312
2007-05-01T00:00:00Z,15.56,739,0.64089
2007-06-01T00:00:00Z,17.57,711,1.20591
2007-07-01T00:00:00Z,20.31,740,0.88005
2007-08-01T00:00:00Z,20.87,741,1.13182
2007-09-01T00:00:00Z,18.64,718,0.73234
2007-10-01T00:00:00Z,18.15,742,0.96445
2007-11-01T00:00:00Z,16.49,716,0.91994
2007-12-01T00:00:00Z,14.51,744,0.47659
2008-01-01T00:00:00Z,13.63,745,0.43147
2008-02-01T00:00:00Z,13.62,696,0.53281
2008-03-01T00:00:00Z,14.22,743,0.54691
2008-04-01T00:00:00Z,14.64,720,0.91512
2008-05-01T00:00:00Z,16.84,744,1.06263
2008-06-01T00:00:00Z,18.60,720,1.67861
2008-07-01T00:00:00Z,19.87,744,0.69840
2008-08-01T00:00:00Z,21.11,744,0.69549
2008-09-01T00:00:00Z,20.24,720,0.75083
2008-10-01T00:00:00Z,18.58,744,0.78095
2008-11-01T00:00:00Z,17.04,720,0.85162
2008-12-01T00:00:00Z,15.18,744,0.93328
2009-01-01T00:00:00Z,14.14,744,0.54869
2009-02-01T00:00:00Z,13.97,672,0.52793
2009-03-01T00:00:00Z,14.37,744,0.48234
2009-04-01T00:00:00Z,14.53,719,0.92554
2009-05-01T00:00:00Z,17.07,744,0.88735
2009-06-01T00:00:00Z,18.03,720,0.60204
2009-07-01T00:00:00Z,19.97,743,1.34401
2009-08-01T00:00:00Z,20.09,744,0.85857
2009-09-01T00:00:00Z,19.88,720,0.95074
2009-10-01T00:00:00Z,18.45,744,0.82360
2009-11-01T00:00:00Z,17.23,720,0.56273
2009-12-01T00:00:00Z,15.14,744,0.81597
2010-01-01T00:00:00Z,15.35,740,0.49309
2010-02-01T00:00:00Z,15.27,672,0.38984
2010-03-01T00:00:00Z,14.74,695,1.00865
2010-04-01T00:00:00Z,14.64,719,0.90781
