time,vwnd,nobs,stdev
1982-04-01T00:00:00Z,-0.0647541,244,1.26018
1982-05-01T00:00:00Z,-0.0567935,736,1.18376
1982-06-01T00:00:00Z,-0.3548117,717,1.16205
1982-07-01T00:00:00Z, 0.4161507,743,1.09803
1982-08-01T00:00:00Z, 0.0862534,742,1.10443
1982-09-01T00:00:00Z,-0.0445063,719,1.89340
1982-10-01T00:00:00Z,-1.1227763,742,1.67139
1982-11-01T00:00:00Z,-0.3833333,720,2.30937
1982-12-01T00:00:00Z,-2.0291892,740,3.67950
1983-01-01T00:00:00Z,-0.2012228,736,2.95150
1983-02-01T00:00:00Z,-0.6159159,666,3.00884
1983-03-01T00:00:00Z,-0.8009447,741,3.38138
1983-04-01T00:00:00Z,-0.5673239,710,2.96513
1983-05-01T00:00:00Z,-0.9125846,739,1.61257
1983-06-01T00:00:00Z,-0.0299859,707,1.30584
1983-07-01T00:00:00Z,-0.1824798,742,1.43145
1983-08-01T00:00:00Z,-0.4012162,740,1.56605
1983-09-01T00:00:00Z,-0.4901408,710,1.54741
1983-10-01T00:00:00Z,-0.6991792,731,1.98332
1983-11-01T00:00:00Z,-1.3946779,714,2.96527
1983-12-01T00:00:00Z,-1.1036220,635,2.49401
1984-01-01T00:00:00Z,-1.4656757,740,2.14902
1984-02-01T00:00:00Z,-1.5791304,460,2.09448
1984-03-01T00:00:00Z,-0.7130769,260,1.63395
1984-04-01T00:00:00Z,-1.3912256,718,2.28925
1984-05-01T00:00:00Z,-0.1817814,741,1.92396
1984-06-01T00:00:00Z, 0.0638387,719,1.25453
1984-07-01T00:00:00Z, 0.0833109,743,1.11655
1984-08-01T00:00:00Z, 0.6360700,743,1.43905
1984-09-01T00:00:00Z, 0.0733240,716,1.44485
1984-10-01T00:00:00Z,-0.9928475,741,1.80137
1984-11-01T00:00:00Z,-0.5296503,715,2.31695
1984-12-01T00:00:00Z,-0.3647376,743,3.15229
1985-01-01T00:00:00Z,-1.0515478,743,2.12262
1985-02-01T00:00:00Z,-0.8204173,671,2.30541
1985-03-01T00:00:00Z,-0.8350949,738,2.01930
1985-04-01T00:00:00Z,-0.4456583,714,1.70073
1985-05-01T00:00:00Z,-0.0858871,744,1.54513
1985-06-01T00:00:00Z, 0.2229805,718,1.25076
1985-07-01T00:00:00Z, 0.3213514,740,1.33470
1985-08-01T00:00:00Z, 0.1418354,741,1.07715
1985-09-01T00:00:00Z,-0.3981894,718,1.31847
1985-10-01T00:00:00Z,-0.3086370,741,1.65361
1985-11-01T00:00:00Z,-0.3056944,720,2.60962
1985-12-01T00:00:00Z,-1.5273936,376,2.68544
1986-01-01T00:00:00Z, 0.6609302,215,2.20061
1986-02-01T00:00:00Z,-0.2518741,667,3.28609
1986-03-01T00:00:00Z,-0.0250678,738,2.39126
1986-04-01T00:00:00Z,-0.2937238,717,2.01014
1986-05-01T00:00:00Z,-0.0829730,740,1.61782
1986-06-01T00:00:00Z,-0.0921897,717,1.47621
1986-07-01T00:00:00Z, 0.4316285,743,1.41021
1986-08-01T00:00:00Z,-0.3626685,742,1.44477
1986-09-01T00:00:00Z, 0.1402507,718,1.80055
1986-10-01T00:00:00Z,-0.4919837,736,1.71318
1986-11-01T00:00:00Z,-0.8984286,700,2.49330
1986-12-01T00:00:00Z,-0.9009434,742,1.78044
1987-01-01T00:00:00Z,-1.4388283,734,2.55457
1987-02-01T00:00:00Z,-1.0527027,666,2.69176
1987-03-01T00:00:00Z,-0.8032345,742,1.95452
1987-04-01T00:00:00Z, 0.0973538,718,1.54444
1987-05-01T00:00:00Z, 0.0447581,744,1.71624
1987-06-01T00:00:00Z, 0.2371349,719,1.54089
1987-07-01T00:00:00Z, 0.4462988,743,1.33058
1987-08-01T00:00:00Z,-0.1452681,634,1.26847
1987-10-01T00:00:00Z,-0.2181941,742,2.18612
1987-11-01T00:00:00Z,-1.0112813,718,2.11641
1987-12-01T00:00:00Z,-1.7304172,743,3.35723
1988-01-01T00:00:00Z,-0.7891452,737,2.63331
1988-02-01T00:00:00Z,-0.8414141,693,3.05431
1988-03-01T00:00:00Z,-0.6546559,741,2.34535
1988-04-01T00:00:00Z, 0.3877266,717,2.37870
1988-05-01T00:00:00Z,-0.8113667,739,2.09595
1988-06-01T00:00:00Z,-0.2497914,719,1.68025
1988-07-01T00:00:00Z, 0.3222073,743,1.46104
1988-08-01T00:00:00Z,-0.0907984,739,1.51680
1988-09-01T00:00:00Z,-0.2055788,717,1.80310
1988-10-01T00:00:00Z,-0.1387618,743,1.74424
1988-11-01T00:00:00Z,-0.5892308,715,2.25461
