year,month,data,error,SElo,SEup,metric,timeseries,lat,lon,depth,order,time
1980,1,0.2248908296943231,nan,nan,nan,"Habitat Area (fraction below monthly threshold)",Monthly Habitat Compression Index over 35.5-40N,nan,nan,2.0,1.0,1980-01-01
1980,2,0.0458515283842794,nan,nan,nan,"Habitat Area (fraction below monthly threshold)",Monthly Habitat Compression Index over 35.5-40N,nan,nan,2.0,1.0,1980-02-01
1980,3,0.0,nan,nan,nan,"Habitat Area (fraction below monthly threshold)",Monthly Habitat Compression Index over 35.5-40N,nan,nan,2.0,1.0,1980-03-01
1980,4,0.0491266375545851,nan,nan,nan,"Habitat Area (fraction below monthly threshold)",Monthly Habitat Compression Index over 35.5-40N,nan,nan,2.0,1.0,1980-04-01
1980,5,0.287117903930131,nan,nan,nan,"Habitat Area (fraction below monthly threshold)",Monthly Habitat Compression Index over 35.5-40N,nan,nan,2.0,1.0,1980-05-01
1980,6,0.0960698689956331,nan,nan,nan,"Habitat Area (fraction below monthly threshold)",Monthly Habitat Compression Index over 35.5-40N,nan,nan,2.0,1.0,1980-06-01
1980,7,0.029475982532751,nan,nan,nan,"Habitat Area (fraction below monthly threshold)",Monthly Habitat Compression Index over 35.5-40N,nan,nan,2.0,1.0,1980-07-01
1980,8,0.2587336244541485,nan,nan,nan,"Habitat Area (fraction below monthly threshold)",Monthly Habitat Compression Index over 35.5-40N,nan,nan,2.0,1.0,1980-08-01
1980,9,0.1877729257641921,nan,nan,nan,"Habitat Area (fraction below monthly threshold)",Monthly Habitat Compression Index over 35.5-40N,nan,nan,2.0,1.0,1980-09-01
1980,10,0.2150655021834061,nan,nan,nan,"Habitat Area (fraction below monthly threshold)",Monthly Habitat Compression Index over 35.5-40N,nan,nan,2.0,1.0,1980-10-01
1980,11,0.131004366812227,nan,nan,nan,"Habitat Area (fraction below monthly threshold)",Monthly Habitat Compression Index over 35.5-40N,nan,nan,2.0,1.0,1980-11-01
1980,12,0.0262008733624454,nan,nan,nan,"Habitat Area (fraction below monthly threshold)",Monthly Habitat Compression Index over 35.5-40N,nan,nan,2.0,1.0,1980-12-01
1981,1,0.0,nan,nan,nan,"Habitat Area (fraction below monthly threshold)",Monthly Habitat Compression Index over 35.5-40N,nan,nan,2.0,1.0,1981-01-01
1981,2,0.0,nan,nan,nan,"Habitat Area (fraction below monthly threshold)",Monthly Habitat Compression Index over 35.5-40N,nan,nan,2.0,1.0,1981-02-01
1981,3,0.0338427947598253,nan,nan,nan,"Habitat Area (fraction below monthly threshold)",Monthly Habitat Compression Index over 35.5-40N,nan,nan,2.0,1.0,1981-03-01
1981,4,0.2401746724890829,nan,nan,nan,"Habitat Area (fraction below monthly threshold)",Monthly Habitat Compression Index over 35.5-40N,nan,nan,2.0,1.0,1981-04-01
1981,5,0.381004366812227,nan,nan,nan,"Habitat Area (fraction below monthly threshold)",Monthly Habitat Compression Index over 35.5-40N,nan,nan,2.0,1.0,1981-05-01
1981,6,0.1899563318777292,nan,nan,nan,"Habitat Area (fraction below monthly threshold)",Monthly Habitat Compression Index over 35.5-40N,nan,nan,2.0,1.0,1981-06-01
1981,7,0.4705240174672489,nan,nan,nan,"Habitat Area (fraction below monthly threshold)",Monthly Habitat Compression Index over 35.5-40N,nan,nan,2.0,1.0,1981-07-01
1981,8,0.2751091703056768,nan,nan,nan,"Habitat Area (fraction below monthly threshold)",Monthly Habitat Compression Index over 35.5-40N,nan,nan,2.0,1.0,1981-08-01
1981,9,0.6550218340611353,nan,nan,nan,"Habitat Area (fraction below monthly threshold)",Monthly Habitat Compression Index over 35.5-40N,nan,nan,2.0,1.0,1981-09-01
1981,10,0.445414847161572,nan,nan,nan,"Habitat Area (fraction below monthly threshold)",Monthly Habitat Compression Index over 35.5-40N,nan,nan,2.0,1.0,1981-10-01
1981,11,0.0262008733624454,nan,nan,nan,"Habitat Area (fraction below monthly threshold)",Monthly Habitat Compression Index over 35.5-40N,nan,nan,2.0,1.0,1981-11-01
1981,12,0.009825327510917,nan,nan,nan,"Habitat Area (fraction below monthly threshold)",Monthly Habitat Compression Index over 35.5-40N,nan,nan,2.0,1.0,1981-12-01
1982,1,0.9421397379912664,nan,nan,nan,"Habitat Area (fraction below monthly threshold)",Monthly Habitat Compression Index over 35.5-40N,nan,nan,2.0,1.0,1982-01-01
1982,2,0.4978165938864629,nan,nan,nan,"Habitat Area (fraction below monthly threshold)",Monthly Habitat Compression Index over 35.5-40N,nan,nan,2.0,1.0,1982-02-01
1982,3,0.3973799126637554,nan,nan,nan,"Habitat Area (fraction below monthly threshold)",Monthly Habitat Compression Index over 35.5-40N,nan,nan,2.0,1.0,1982-03-01
1982,4,0.1277292576419214,nan,nan,nan,"Habitat Area (fraction below monthly threshold)",Monthly Habitat Compression Index over 35.5-40N,nan,nan,2.0,1.0,1982-04-01
1982,5,0.7139737991266376,nan,nan,nan,"Habitat Area (fraction below monthly threshold)",Monthly Habitat Compression Index over 35.5-40N,nan,nan,2.0,1.0,1982-05-01
