<html>
"Year","Month","ISOtime","MEI"
"","","UTC","stdev/1000"
1950,01,1950-01-01T00:00:00-00:00,-1.03
1950,02,1950-02-01T00:00:00-00:00,-1.133
1950,03,1950-03-01T00:00:00-00:00,-1.283
1950,04,1950-04-01T00:00:00-00:00,-1.071
1950,05,1950-05-01T00:00:00-00:00,-1.434
1950,06,1950-06-01T00:00:00-00:00,-1.412
1950,07,1950-07-01T00:00:00-00:00,-1.269
1950,08,1950-08-01T00:00:00-00:00,-1.042
1950,09,1950-09-01T00:00:00-00:00,-.631
1950,10,1950-10-01T00:00:00-00:00,-.441
1950,11,1950-11-01T00:00:00-00:00,-1.151
1950,12,1950-12-01T00:00:00-00:00,-1.235
1951,01,1951-01-01T00:00:00-00:00,-1.049
1951,02,1951-02-01T00:00:00-00:00,-1.152
1951,03,1951-03-01T00:00:00-00:00,-1.178
1951,04,1951-04-01T00:00:00-00:00,-.511
1951,05,1951-05-01T00:00:00-00:00,-.374
1951,06,1951-06-01T00:00:00-00:00,.288
1951,07,1951-07-01T00:00:00-00:00,.679
1951,08,1951-08-01T00:00:00-00:00,.818
1951,09,1951-09-01T00:00:00-00:00,.726
1951,10,1951-10-01T00:00:00-00:00,.72
1951,11,1951-11-01T00:00:00-00:00,.694
1951,12,1951-12-01T00:00:00-00:00,.504
1952,01,1952-01-01T00:00:00-00:00,.433
1952,02,1952-02-01T00:00:00-00:00,.138
1952,03,1952-03-01T00:00:00-00:00,.071
1952,04,1952-04-01T00:00:00-00:00,.224
1952,05,1952-05-01T00:00:00-00:00,-.307
1952,06,1952-06-01T00:00:00-00:00,-.756
1952,07,1952-07-01T00:00:00-00:00,-.305
1952,08,1952-08-01T00:00:00-00:00,-.374
1952,09,1952-09-01T00:00:00-00:00,.31
1952,10,1952-10-01T00:00:00-00:00,.265
1952,11,1952-11-01T00:00:00-00:00,-.351
1952,12,1952-12-01T00:00:00-00:00,-.098
1953,01,1953-01-01T00:00:00-00:00,.044
1953,02,1953-02-01T00:00:00-00:00,.401
1953,03,1953-03-01T00:00:00-00:00,.277
1953,04,1953-04-01T00:00:00-00:00,.687
1953,05,1953-05-01T00:00:00-00:00,.756
1953,06,1953-06-01T00:00:00-00:00,.191
1953,07,1953-07-01T00:00:00-00:00,.382
1953,08,1953-08-01T00:00:00-00:00,.209
1953,09,1953-09-01T00:00:00-00:00,.483
1953,10,1953-10-01T00:00:00-00:00,.087
1953,11,1953-11-01T00:00:00-00:00,.078
1953,12,1953-12-01T00:00:00-00:00,.351
1954,01,1954-01-01T00:00:00-00:00,-.036
1954,02,1954-02-01T00:00:00-00:00,-.027
1954,03,1954-03-01T00:00:00-00:00,.154
1954,04,1954-04-01T00:00:00-00:00,-.616
1954,05,1954-05-01T00:00:00-00:00,-1.465
1954,06,1954-06-01T00:00:00-00:00,-1.558
1954,07,1954-07-01T00:00:00-00:00,-1.355
1954,08,1954-08-01T00:00:00-00:00,-1.456
1954,09,1954-09-01T00:00:00-00:00,-1.159
1954,10,1954-10-01T00:00:00-00:00,-1.335
1954,11,1954-11-01T00:00:00-00:00,-1.124
1954,12,1954-12-01T00:00:00-00:00,-1.088
1955,01,1955-01-01T00:00:00-00:00,-.74
1955,02,1955-02-01T00:00:00-00:00,-.669
1955,03,1955-03-01T00:00:00-00:00,-1.117
1955,04,1955-04-01T00:00:00-00:00,-1.621
1955,05,1955-05-01T00:00:00-00:00,-1.653
1955,06,1955-06-01T00:00:00-00:00,-2.247
1955,07,1955-07-01T00:00:00-00:00,-1.976
1955,08,1955-08-01T00:00:00-00:00,-2.05
1955,09,1955-09-01T00:00:00-00:00,-1.829
1955,10,1955-10-01T00:00:00-00:00,-1.738
1955,11,1955-11-01T00:00:00-00:00,-1.821
1955,12,1955-12-01T00:00:00-00:00,-1.846
1956,01,1956-01-01T00:00:00-00:00,-1.408
1956,02,1956-02-01T00:00:00-00:00,-1.275
1956,03,1956-03-01T00:00:00-00:00,-1.371
1956,04,1956-04-01T00:00:00-00:00,-1.216
1956,05,1956-05-01T00:00:00-00:00,-1.304
1956,06,1956-06-01T00:00:00-00:00,-1.523
1956,07,1956-07-01T00:00:00-00:00,-1.244
1956,08,1956-08-01T00:00:00-00:00,-1.118
1956,09,1956-09-01T00:00:00-00:00,-1.35
1956,10,1956-10-01T00:00:00-00:00,-1.478
1956,11,1956-11-01T00:00:00-00:00,-1.024
1956,12,1956-12-01T00:00:00-00:00,-.993
