time,index,timeseries
1950-07-16T12:00:00Z,-0.336,NOI
1950-08-16T12:00:00Z,-0.236,NOI
1950-09-16T00:00:00Z,0.17,NOI
1950-10-16T12:00:00Z,-2.54,NOI
1950-11-16T00:00:00Z,0.483,NOI
1950-12-16T12:00:00Z,-1.545,NOI
1951-01-16T12:00:00Z,2.702,NOI
1951-02-15T00:00:00Z,1.878,NOI
1951-03-16T12:00:00Z,3.103,NOI
1951-04-16T00:00:00Z,-3.88,NOI
1951-05-16T12:00:00Z,-2.213,NOI
1951-06-16T00:00:00Z,-0.903,NOI
1951-07-16T12:00:00Z,-0.336,NOI
1951-08-16T12:00:00Z,-0.872,NOI
1951-09-16T00:00:00Z,-1.36,NOI
1951-10-16T12:00:00Z,0.21,NOI
1951-11-16T00:00:00Z,-1.165,NOI
1951-12-16T12:00:00Z,-0.464,NOI
1952-01-16T12:00:00Z,-1.444,NOI
1952-02-15T12:00:00Z,2.156,NOI
1952-03-16T12:00:00Z,1.739,NOI
1952-04-16T00:00:00Z,-1.652,NOI
1952-05-16T12:00:00Z,0.535,NOI
1952-06-16T00:00:00Z,0.015,NOI
1952-07-16T12:00:00Z,-0.538,NOI
1952-08-16T12:00:00Z,1.034,NOI
1952-09-16T00:00:00Z,0.375,NOI
1952-10-16T12:00:00Z,0.623,NOI
1952-11-16T00:00:00Z,1.179,NOI
1952-12-16T12:00:00Z,-2.297,NOI
1953-01-16T12:00:00Z,1.742,NOI
1953-02-15T00:00:00Z,7.614,NOI
1953-03-16T12:00:00Z,2.595,NOI
1953-04-16T00:00:00Z,-0.952,NOI
1953-05-16T12:00:00Z,-0.631,NOI
1953-06-16T00:00:00Z,1.682,NOI
1953-07-16T12:00:00Z,0.185,NOI
1953-08-16T12:00:00Z,0.197,NOI
1953-09-16T00:00:00Z,-0.721,NOI
1953-10-16T12:00:00Z,1.669,NOI
1953-11-16T00:00:00Z,-0.853,NOI
1953-12-16T12:00:00Z,6.027,NOI
1954-01-16T12:00:00Z,0.5,NOI
1954-02-15T00:00:00Z,1.101,NOI
1954-03-16T12:00:00Z,-1.304,NOI
1954-04-16T00:00:00Z,0.761,NOI
1954-05-16T12:00:00Z,-1.173,NOI
1954-06-16T00:00:00Z,0.498,NOI
1954-07-16T12:00:00Z,0.403,NOI
1954-08-16T12:00:00Z,1.899,NOI
1954-09-16T00:00:00Z,1.242,NOI
1954-10-16T12:00:00Z,0.073,NOI
1954-11-16T00:00:00Z,-0.26,NOI
1954-12-16T12:00:00Z,0.95,NOI
1955-01-16T12:00:00Z,2.308,NOI
1955-02-15T00:00:00Z,7.473,NOI
1955-03-16T12:00:00Z,4.596,NOI
1955-04-16T00:00:00Z,1.63,NOI
1955-05-16T12:00:00Z,3.862,NOI
1955-06-16T00:00:00Z,1.871,NOI
1955-07-16T12:00:00Z,1.333,NOI
1955-08-16T12:00:00Z,1.984,NOI
1955-09-16T00:00:00Z,1.979,NOI
1955-10-16T12:00:00Z,2.494,NOI
1955-11-16T00:00:00Z,3.016,NOI
1955-12-16T12:00:00Z,-3.548,NOI
1956-01-16T12:00:00Z,-2.127,NOI
1956-02-15T12:00:00Z,5.06,NOI
1956-03-16T12:00:00Z,5.19,NOI
1956-04-16T00:00:00Z,0.577,NOI
1956-05-16T12:00:00Z,1.273,NOI
1956-06-16T00:00:00Z,2.335,NOI
1956-07-16T12:00:00Z,2.644,NOI
1956-08-16T12:00:00Z,3.113,NOI
1956-09-16T00:00:00Z,0.005,NOI
1956-10-16T12:00:00Z,3.178,NOI
1956-11-16T00:00:00Z,5.012,NOI
1956-12-16T12:00:00Z,6.564,NOI
1957-01-16T12:00:00Z,0.984,NOI
1957-02-15T00:00:00Z,-3.795,NOI
1957-03-16T12:00:00Z,-0.274,NOI
1957-04-16T00:00:00Z,-0.869,NOI
1957-05-16T12:00:00Z,-4.281,NOI
1957-06-16T00:00:00Z,-0.776,NOI
1957-07-16T12:00:00Z,0.644,NOI
1957-08-16T12:00:00Z,1.251,NOI
1957-09-16T00:00:00Z,-3.812,NOI
1957-10-16T12:00:00Z,-3.018,NOI
1957-11-16T00:00:00Z,1.107,NOI
1957-12-16T12:00:00Z,-0.04,NOI
1958-01-16T12:00:00Z,-2.567,NOI
1958-02-15T00:00:00Z,-10.78,NOI
1958-03-16T12:00:00Z,-5.996,NOI
1958-04-16T00:00:00Z,0.264,NOI
1958-05-16T12:00:00Z,-4.307,NOI
1958-06-16T00:00:00Z,-0.981,NOI
1958-07-16T12:00:00Z,-0.842,NOI
1958-08-16T12:00:00Z,1.02,NOI
1958-09-16T00:00:00Z,0.491,NOI
1958-10-16T12:00:00Z,-0.189,NOI
1958-11-16T00:00:00Z,1.675,NOI
1958-12-16T12:00:00Z,-0.327,NOI
1959-01-16T12:00:00Z,-0.619,NOI
1959-02-15T00:00:00Z,-2.56,NOI
1959-03-16T12:00:00Z,5.528,NOI
1959-04-16T00:00:00Z,-1.337,NOI
1959-05-16T12:00:00Z,1.44,NOI
1959-06-16T00:00:00Z,-1.197,NOI
1959-07-16T12:00:00Z,-0.252,NOI
1959-08-16T12:00:00Z,-0.813,NOI
1959-09-16T00:00:00Z,2.204,NOI
1959-10-16T12:00:00Z,-0.219,NOI
1959-11-16T00:00:00Z,2.88,NOI
1959-12-16T12:00:00Z,1.261,NOI
1960-01-16T12:00:00Z,-0.874,NOI
1960-02-15T12:00:00Z,1.975,NOI
1960-03-16T12:00:00Z,1.287,NOI
1960-04-16T00:00:00Z,1.317,NOI
1960-05-16T12:00:00Z,1.021,NOI
1960-06-16T00:00:00Z,-0.535,NOI
1960-07-16T12:00:00Z,0.222,NOI
1960-08-16T12:00:00Z,1.076,NOI
1960-09-16T00:00:00Z,2.479,NOI
