NPGO index monthly averages
"Year","Month","ISOtime","NPGO"
"","","UTC",""
1950,01,1950-01-01T00:00:00-00:00,-2.1883951
1950,02,1950-02-01T00:00:00-00:00,-1.4458314
1950,03,1950-03-01T00:00:00-00:00,-0.96503568
1950,04,1950-04-01T00:00:00-00:00,-0.85878799
1950,05,1950-05-01T00:00:00-00:00,-0.63408219
1950,06,1950-06-01T00:00:00-00:00,-0.58098428
1950,07,1950-07-01T00:00:00-00:00,-0.74211428
1950,08,1950-08-01T00:00:00-00:00,-0.54938418
1950,09,1950-09-01T00:00:00-00:00,-0.60154498
1950,10,1950-10-01T00:00:00-00:00,0.11943427
1950,11,1950-11-01T00:00:00-00:00,-0.25707438
1950,12,1950-12-01T00:00:00-00:00,-0.49336649
1951,01,1951-01-01T00:00:00-00:00,-0.47853012
1951,02,1951-02-01T00:00:00-00:00,-0.41382623
1951,03,1951-03-01T00:00:00-00:00,-0.56954018
1951,04,1951-04-01T00:00:00-00:00,-0.56114016
1951,05,1951-05-01T00:00:00-00:00,-1.0714146
1951,06,1951-06-01T00:00:00-00:00,-1.4352384
1951,07,1951-07-01T00:00:00-00:00,-1.1039251
1951,08,1951-08-01T00:00:00-00:00,-1.1748547
1951,09,1951-09-01T00:00:00-00:00,-1.4195152
1951,10,1951-10-01T00:00:00-00:00,-1.0693902
1951,11,1951-11-01T00:00:00-00:00,-1.0120413
1951,12,1951-12-01T00:00:00-00:00,-1.2247459
1952,01,1952-01-01T00:00:00-00:00,-1.3350548
1952,02,1952-02-01T00:00:00-00:00,-1.0909977
1952,03,1952-03-01T00:00:00-00:00,-0.66951595
1952,04,1952-04-01T00:00:00-00:00,-0.43371917
1952,05,1952-05-01T00:00:00-00:00,-0.62650865
1952,06,1952-06-01T00:00:00-00:00,-0.97265631
1952,07,1952-07-01T00:00:00-00:00,-1.3356465
1952,08,1952-08-01T00:00:00-00:00,-0.89742819
1952,09,1952-09-01T00:00:00-00:00,-0.58261822
1952,10,1952-10-01T00:00:00-00:00,-0.25781197
1952,11,1952-11-01T00:00:00-00:00,-0.31621332
1952,12,1952-12-01T00:00:00-00:00,0.84508038
1953,01,1953-01-01T00:00:00-00:00,0.94395233
1953,02,1953-02-01T00:00:00-00:00,0.74797162
1953,03,1953-03-01T00:00:00-00:00,1.2173325
1953,04,1953-04-01T00:00:00-00:00,1.2502004
1953,05,1953-05-01T00:00:00-00:00,1.2707073
1953,06,1953-06-01T00:00:00-00:00,1.056728
1953,07,1953-07-01T00:00:00-00:00,1.0407542
1953,08,1953-08-01T00:00:00-00:00,0.6189014
1953,09,1953-09-01T00:00:00-00:00,0.29073101
1953,10,1953-10-01T00:00:00-00:00,1.0815173
1953,11,1953-11-01T00:00:00-00:00,2.0496203
1953,12,1953-12-01T00:00:00-00:00,1.418955
1954,01,1954-01-01T00:00:00-00:00,1.0939573
1954,02,1954-02-01T00:00:00-00:00,1.156514
1954,03,1954-03-01T00:00:00-00:00,0.07937343
1954,04,1954-04-01T00:00:00-00:00,-0.37253308
1954,05,1954-05-01T00:00:00-00:00,-0.16404023
1954,06,1954-06-01T00:00:00-00:00,0.17838068
1954,07,1954-07-01T00:00:00-00:00,-0.035203404
1954,08,1954-08-01T00:00:00-00:00,-0.13153747
1954,09,1954-09-01T00:00:00-00:00,-0.26280328
1954,10,1954-10-01T00:00:00-00:00,0.18381241
1954,11,1954-11-01T00:00:00-00:00,0.35474005
1954,12,1954-12-01T00:00:00-00:00,0.40412547
1955,01,1955-01-01T00:00:00-00:00,0.32620733
1955,02,1955-02-01T00:00:00-00:00,-0.24927549
1955,03,1955-03-01T00:00:00-00:00,-0.2159785
1955,04,1955-04-01T00:00:00-00:00,0.0407132
1955,05,1955-05-01T00:00:00-00:00,0.26141044
1955,06,1955-06-01T00:00:00-00:00,-0.015894133
1955,07,1955-07-01T00:00:00-00:00,-0.088022544
1955,08,1955-08-01T00:00:00-00:00,0.2745267
1955,09,1955-09-01T00:00:00-00:00,-0.11022702
1955,10,1955-10-01T00:00:00-00:00,-0.52419361
1955,11,1955-11-01T00:00:00-00:00,-0.080028769
1955,12,1955-12-01T00:00:00-00:00,-0.5180143
1956,01,1956-01-01T00:00:00-00:00,0.1202669
1956,02,1956-02-01T00:00:00-00:00,-0.13795981
1956,03,1956-03-01T00:00:00-00:00,0.022979146
1956,04,1956-04-01T00:00:00-00:00,-0.038234934
1956,05,1956-05-01T00:00:00-00:00,0.14195733
1956,06,1956-06-01T00:00:00-00:00,0.47106723
1956,07,1956-07-01T00:00:00-00:00,0.4639145
1956,08,1956-08-01T00:00:00-00:00,0.53975909
1956,09,1956-09-01T00:00:00-00:00,0.30064613
1956,10,1956-10-01T00:00:00-00:00,-0.051508982
1956,11,1956-11-01T00:00:00-00:00,-0.22625107
1956,12,1956-12-01T00:00:00-00:00,-0.76721175
1957,01,1957-01-01T00:00:00-00:00,-1.2715967
1957,02,1957-02-01T00:00:00-00:00,-1.9587271
1957,03,1957-03-01T00:00:00-00:00,-1.3393664
1957,04,1957-04-01T00:00:00-00:00,-1.2553542
1957,05,1957-05-01T00:00:00-00:00,-1.0382093
1957,06,1957-06-01T00:00:00-00:00,-1.1681711
1957,07,1957-07-01T00:00:00-00:00,-0.75587754
1957,08,1957-08-01T00:00:00-00:00,-0.90544124
1957,09,1957-09-01T00:00:00-00:00,-0.9222347
1957,10,1957-10-01T00:00:00-00:00,-1.0286289
1957,11,1957-11-01T00:00:00-00:00,-1.407435
1957,12,1957-12-01T00:00:00-00:00,-0.71664127
1958,01,1958-01-01T00:00:00-00:00,0.11660279
1958,02,1958-02-01T00:00:00-00:00,0.14663043
1958,03,1958-03-01T00:00:00-00:00,-1.1516998
1958,04,1958-04-01T00:00:00-00:00,-0.71935478
1958,05,1958-05-01T00:00:00-00:00,-0.85098363
1958,06,1958-06-01T00:00:00-00:00,-0.72342443
1958,07,1958-07-01T00:00:00-00:00,-0.86964646
1958,08,1958-08-01T00:00:00-00:00,-0.6288164
1958,09,1958-09-01T00:00:00-00:00,-0.20443409
1958,10,1958-10-01T00:00:00-00:00,-0.50880797
1958,11,1958-11-01T00:00:00-00:00,-0.77451839
1958,12,1958-12-01T00:00:00-00:00,-0.40523129
1959,01,1959-01-01T00:00:00-00:00,0.12278854
1959,02,1959-02-01T00:00:00-00:00,-0.59064476
1959,03,1959-03-01T00:00:00-00:00,-0.39206877
1959,04,1959-04-01T00:00:00-00:00,-0.45130383
1959,05,1959-05-01T00:00:00-00:00,-0.43784908
1959,06,1959-06-01T00:00:00-00:00,-0.37320207
1959,07,1959-07-01T00:00:00-00:00,-0.39649446
1959,08,1959-08-01T00:00:00-00:00,-0.50436494
1959,09,1959-09-01T00:00:00-00:00,0.072659201
1959,10,1959-10-01T00:00:00-00:00,0.13413238
1959,11,1959-11-01T00:00:00-00:00,-0.04796909
1959,12,1959-12-01T00:00:00-00:00,0.42278478
1960,01,1960-01-01T00:00:00-00:00,1.0163805
1960,02,1960-02-01T00:00:00-00:00,0.81857807
1960,03,1960-03-01T00:00:00-00:00,0.86326859
1960,04,1960-04-01T00:00:00-00:00,0.79348216
1960,05,1960-05-01T00:00:00-00:00,0.91892054
1960,06,1960-06-01T00:00:00-00:00,0.31314454
1960,07,1960-07-01T00:00:00-00:00,0.70915221
1960,08,1960-08-01T00:00:00-00:00,0.43794466
1960,09,1960-09-01T00:00:00-00:00,0.52397594
1960,10,1960-10-01T00:00:00-00:00,0.48853548
1960,11,1960-11-01T00:00:00-00:00,0.95336825
1960,12,1960-12-01T00:00:00-00:00,1.1361285
1961,01,1961-01-01T00:00:00-00:00,1.1032184
1961,02,1961-02-01T00:00:00-00:00,1.3593808
1961,03,1961-03-01T00:00:00-00:00,1.7493986
1961,04,1961-04-01T00:00:00-00:00,0.95715692
1961,05,1961-05-01T00:00:00-00:00,1.4002097
1961,06,1961-06-01T00:00:00-00:00,1.2018429
1961,07,1961-07-01T00:00:00-00:00,1.0626986
1961,08,1961-08-01T00:00:00-00:00,1.0746483
1961,09,1961-09-01T00:00:00-00:00,0.77296683
1961,10,1961-10-01T00:00:00-00:00,0.34873726
1961,11,1961-11-01T00:00:00-00:00,0.22058507
1961,12,1961-12-01T00:00:00-00:00,0.39737078
1962,01,1962-01-01T00:00:00-00:00,0.17476225
1962,02,1962-02-01T00:00:00-00:00,-0.14977739
1962,03,1962-03-01T00:00:00-00:00,-0.60767641
1962,04,1962-04-01T00:00:00-00:00,-0.47141795
1962,05,1962-05-01T00:00:00-00:00,-0.73901362
1962,06,1962-06-01T00:00:00-00:00,-0.30441143
1962,07,1962-07-01T00:00:00-00:00,-0.062123467
1962,08,1962-08-01T00:00:00-00:00,-0.37063506
1962,09,1962-09-01T00:00:00-00:00,0.33421582
1962,10,1962-10-01T00:00:00-00:00,0.16424001
1962,11,1962-11-01T00:00:00-00:00,0.44560527
1962,12,1962-12-01T00:00:00-00:00,0.46514247
1963,01,1963-01-01T00:00:00-00:00,-0.81285016
1963,02,1963-02-01T00:00:00-00:00,-0.27996258
1963,03,1963-03-01T00:00:00-00:00,-1.0965502
1963,04,1963-04-01T00:00:00-00:00,-0.81056845
1963,05,1963-05-01T00:00:00-00:00,-0.42822716
1963,06,1963-06-01T00:00:00-00:00,-0.71623806
1963,07,1963-07-01T00:00:00-00:00,-0.36669314
1963,08,1963-08-01T00:00:00-00:00,-0.1346054
1963,09,1963-09-01T00:00:00-00:00,0.11978808
1963,10,1963-10-01T00:00:00-00:00,0.50714133
1963,11,1963-11-01T00:00:00-00:00,0.66107473
1963,12,1963-12-01T00:00:00-00:00,0.54103299
1964,01,1964-01-01T00:00:00-00:00,1.0728952
1964,02,1964-02-01T00:00:00-00:00,0.29248032
1964,03,1964-03-01T00:00:00-00:00,0.35166979
1964,04,1964-04-01T00:00:00-00:00,0.25015275
1964,05,1964-05-01T00:00:00-00:00,0.27190132
1964,06,1964-06-01T00:00:00-00:00,0.88409534
1964,07,1964-07-01T00:00:00-00:00,1.6039742
1964,08,1964-08-01T00:00:00-00:00,0.78188421
1964,09,1964-09-01T00:00:00-00:00,0.91256373
1964,10,1964-10-01T00:00:00-00:00,0.71267229
1964,11,1964-11-01T00:00:00-00:00,0.074383372
1964,12,1964-12-01T00:00:00-00:00,-0.67944342
1965,01,1965-01-01T00:00:00-00:00,-0.60927069
1965,02,1965-02-01T00:00:00-00:00,-0.8375497
1965,03,1965-03-01T00:00:00-00:00,-0.9425717
1965,04,1965-04-01T00:00:00-00:00,-0.87943354
1965,05,1965-05-01T00:00:00-00:00,-1.1591951
1965,06,1965-06-01T00:00:00-00:00,-0.83030121
1965,07,1965-07-01T00:00:00-00:00,-0.69218264
1965,08,1965-08-01T00:00:00-00:00,-0.44396173
1965,09,1965-09-01T00:00:00-00:00,-0.85712342
1965,10,1965-10-01T00:00:00-00:00,-0.68304581
1965,11,1965-11-01T00:00:00-00:00,-0.91841417
1965,12,1965-12-01T00:00:00-00:00,-1.1935027
1966,01,1966-01-01T00:00:00-00:00,-0.32304436
1966,02,1966-02-01T00:00:00-00:00,-1.114448
1966,03,1966-03-01T00:00:00-00:00,-0.59910173
1966,04,1966-04-01T00:00:00-00:00,-1.3692633
1966,05,1966-05-01T00:00:00-00:00,-1.678718
1966,06,1966-06-01T00:00:00-00:00,-1.2637274
