time,latitude,CUTI
UTC,degrees_north,m2 s-1
1988-01-15T00:00:00Z,33.0,0.182
1988-01-15T00:00:00Z,39.0,0.201
1988-01-15T00:00:00Z,45.0,-0.062
1988-02-15T00:00:00Z,33.0,0.16
1988-02-15T00:00:00Z,39.0,0.751
1988-02-15T00:00:00Z,45.0,0.23
1988-03-15T00:00:00Z,33.0,0.328
1988-03-15T00:00:00Z,39.0,1.473
1988-03-15T00:00:00Z,45.0,0.068
1988-04-15T00:00:00Z,33.0,0.279
1988-04-15T00:00:00Z,39.0,0.629
1988-04-15T00:00:00Z,45.0,0.065
1988-05-15T00:00:00Z,33.0,0.627
1988-05-15T00:00:00Z,39.0,1.371
1988-05-15T00:00:00Z,45.0,-0.004
1988-06-15T00:00:00Z,33.0,0.414
1988-06-15T00:00:00Z,39.0,1.663
1988-06-15T00:00:00Z,45.0,0.379
1988-07-15T00:00:00Z,33.0,0.192
1988-07-15T00:00:00Z,39.0,1.351
1988-07-15T00:00:00Z,45.0,0.726
1988-08-15T00:00:00Z,33.0,0.275
1988-08-15T00:00:00Z,39.0,0.976
1988-08-15T00:00:00Z,45.0,0.633
1988-09-15T00:00:00Z,33.0,0.161
1988-09-15T00:00:00Z,39.0,1.058
1988-09-15T00:00:00Z,45.0,0.451
1988-10-15T00:00:00Z,33.0,0.247
1988-10-15T00:00:00Z,39.0,0.525
1988-10-15T00:00:00Z,45.0,0.271
1988-11-15T00:00:00Z,33.0,0.318
1988-11-15T00:00:00Z,39.0,0.434
1988-11-15T00:00:00Z,45.0,-0.378
1988-12-15T00:00:00Z,33.0,0.23
1988-12-15T00:00:00Z,39.0,0.833
1988-12-15T00:00:00Z,45.0,0.204
1989-01-15T00:00:00Z,33.0,0.17
1989-01-15T00:00:00Z,39.0,0.732
1989-01-15T00:00:00Z,45.0,0.076
1989-02-15T00:00:00Z,33.0,0.195
1989-02-15T00:00:00Z,39.0,0.965
1989-02-15T00:00:00Z,45.0,0.004
1989-03-15T00:00:00Z,33.0,0.433
1989-03-15T00:00:00Z,39.0,0.028
1989-03-15T00:00:00Z,45.0,-0.437
1989-04-15T00:00:00Z,33.0,0.258
1989-04-15T00:00:00Z,39.0,0.622
1989-04-15T00:00:00Z,45.0,0.2
1989-05-15T00:00:00Z,33.0,0.548
1989-05-15T00:00:00Z,39.0,1.681
1989-05-15T00:00:00Z,45.0,0.319
1989-06-15T00:00:00Z,33.0,0.279
