year,month,data,error,SElo,SEup,metric,timeseries,lat,lon,depth,order,time
1967,1,3.249632916108849,nan,nan,nan,Area (10^6 km^2),Monthly North Pacific High Area,nan,nan,nan,1.0,1967-01-01
1967,2,5.715432338207223,nan,nan,nan,Area (10^6 km^2),Monthly North Pacific High Area,nan,nan,nan,1.0,1967-02-01
1967,3,4.073056672727745,nan,nan,nan,Area (10^6 km^2),Monthly North Pacific High Area,nan,nan,nan,1.0,1967-03-01
1967,4,5.52639423525702,nan,nan,nan,Area (10^6 km^2),Monthly North Pacific High Area,nan,nan,nan,1.0,1967-04-01
1967,5,6.104722046140178,nan,nan,nan,Area (10^6 km^2),Monthly North Pacific High Area,nan,nan,nan,1.0,1967-05-01
1967,6,3.5204603067212097,nan,nan,nan,Area (10^6 km^2),Monthly North Pacific High Area,nan,nan,nan,1.0,1967-06-01
1967,7,5.331414686065199,nan,nan,nan,Area (10^6 km^2),Monthly North Pacific High Area,nan,nan,nan,1.0,1967-07-01
1967,8,3.7920363829528507,nan,nan,nan,Area (10^6 km^2),Monthly North Pacific High Area,nan,nan,nan,1.0,1967-08-01
1967,9,0.29268230529774064,nan,nan,nan,Area (10^6 km^2),Monthly North Pacific High Area,nan,nan,nan,1.0,1967-09-01
1967,10,1.6078408527827561,nan,nan,nan,Area (10^6 km^2),Monthly North Pacific High Area,nan,nan,nan,1.0,1967-10-01
1967,11,3.978032838487653,nan,nan,nan,Area (10^6 km^2),Monthly North Pacific High Area,nan,nan,nan,1.0,1967-11-01
1967,12,3.2032378013699687,nan,nan,nan,Area (10^6 km^2),Monthly North Pacific High Area,nan,nan,nan,1.0,1967-12-01
1968,1,0.9165085607996792,nan,nan,nan,Area (10^6 km^2),Monthly North Pacific High Area,nan,nan,nan,1.0,1968-01-01
1968,2,0.0,nan,nan,nan,Area (10^6 km^2),Monthly North Pacific High Area,nan,nan,nan,1.0,1968-02-01
1968,3,3.761015193158299,nan,nan,nan,Area (10^6 km^2),Monthly North Pacific High Area,nan,nan,nan,1.0,1968-03-01
1968,4,6.30458814731859,nan,nan,nan,Area (10^6 km^2),Monthly North Pacific High Area,nan,nan,nan,1.0,1968-04-01
1968,5,1.9214123229959899,nan,nan,nan,Area (10^6 km^2),Monthly North Pacific High Area,nan,nan,nan,1.0,1968-05-01
1968,6,5.788874504504018,nan,nan,nan,Area (10^6 km^2),Monthly North Pacific High Area,nan,nan,nan,1.0,1968-06-01
1968,7,5.139879584992703,nan,nan,nan,Area (10^6 km^2),Monthly North Pacific High Area,nan,nan,nan,1.0,1968-07-01
1968,8,4.628841628889849,nan,nan,nan,Area (10^6 km^2),Monthly North Pacific High Area,nan,nan,nan,1.0,1968-08-01
1968,9,2.1732012761526636,nan,nan,nan,Area (10^6 km^2),Monthly North Pacific High Area,nan,nan,nan,1.0,1968-09-01
1968,10,0.43914688729940904,nan,nan,nan,Area (10^6 km^2),Monthly North Pacific High Area,nan,nan,nan,1.0,1968-10-01
1968,11,2.334578766915493,nan,nan,nan,Area (10^6 km^2),Monthly North Pacific High Area,nan,nan,nan,1.0,1968-11-01
1968,12,0.5721009040588302,nan,nan,nan,Area (10^6 km^2),Monthly North Pacific High Area,nan,nan,nan,1.0,1968-12-01
1969,1,0.0107489179026616,nan,nan,nan,Area (10^6 km^2),Monthly North Pacific High Area,nan,nan,nan,1.0,1969-01-01
1969,2,2.4869462257589765,nan,nan,nan,Area (10^6 km^2),Monthly North Pacific High Area,nan,nan,nan,1.0,1969-02-01
1969,3,5.293593539415548,nan,nan,nan,Area (10^6 km^2),Monthly North Pacific High Area,nan,nan,nan,1.0,1969-03-01
1969,4,5.52742815299005,nan,nan,nan,Area (10^6 km^2),Monthly North Pacific High Area,nan,nan,nan,1.0,1969-04-01
1969,5,2.700375031253388,nan,nan,nan,Area (10^6 km^2),Monthly North Pacific High Area,nan,nan,nan,1.0,1969-05-01
1969,6,2.6218873696909517,nan,nan,nan,Area (10^6 km^2),Monthly North Pacific High Area,nan,nan,nan,1.0,1969-06-01
1969,7,5.866939633974203,nan,nan,nan,Area (10^6 km^2),Monthly North Pacific High Area,nan,nan,nan,1.0,1969-07-01
1969,8,4.729406958567903,nan,nan,nan,Area (10^6 km^2),Monthly North Pacific High Area,nan,nan,nan,1.0,1969-08-01
1969,9,2.538857140329989,nan,nan,nan,Area (10^6 km^2),Monthly North Pacific High Area,nan,nan,nan,1.0,1969-09-01
1969,10,0.06320037928881143,nan,nan,nan,Area (10^6 km^2),Monthly North Pacific High Area,nan,nan,nan,1.0,1969-10-01
1969,11,1.3958265258152178,nan,nan,nan,Area (10^6 km^2),Monthly North Pacific High Area,nan,nan,nan,1.0,1969-11-01
1969,12,0.7730200150501121,nan,nan,nan,Area (10^6 km^2),Monthly North Pacific High Area,nan,nan,nan,1.0,1969-12-01
1970,1,0.16299982488704867,nan,nan,nan,Area (10^6 km^2),Monthly North Pacific High Area,nan,nan,nan,1.0,1970-01-01
1970,2,0.0,nan,nan,nan,Area (10^6 km^2),Monthly North Pacific High Area,nan,nan,nan,1.0,1970-02-01
1970,3,5.488205540928326,nan,nan,nan,Area (10^6 km^2),Monthly North Pacific High Area,nan,nan,nan,1.0,1970-03-01
1970,4,7.113914205964896,nan,nan,nan,Area (10^6 km^2),Monthly North Pacific High Area,nan,nan,nan,1.0,1970-04-01
1970,5,6.503508757817996,nan,nan,nan,Area (10^6 km^2),Monthly North Pacific High Area,nan,nan,nan,1.0,1970-05-01
1970,6,5.835358670940661,nan,nan,nan,Area (10^6 km^2),Monthly North Pacific High Area,nan,nan,nan,1.0,1970-06-01
1970,7,5.597033954804286,nan,nan,nan,Area (10^6 km^2),Monthly North Pacific High Area,nan,nan,nan,1.0,1970-07-01
1970,8,4.8046035793197746,nan,nan,nan,Area (10^6 km^2),Monthly North Pacific High Area,nan,nan,nan,1.0,1970-08-01
1970,9,2.527458807457717,nan,nan,nan,Area (10^6 km^2),Monthly North Pacific High Area,nan,nan,nan,1.0,1970-09-01
1970,10,0.7803725728879933,nan,nan,nan,Area (10^6 km^2),Monthly North Pacific High Area,nan,nan,nan,1.0,1970-10-01
1970,11,3.4230232802080467,nan,nan,nan,Area (10^6 km^2),Monthly North Pacific High Area,nan,nan,nan,1.0,1970-11-01
1970,12,5.537382603807937,nan,nan,nan,Area (10^6 km^2),Monthly North Pacific High Area,nan,nan,nan,1.0,1970-12-01
1971,1,3.637510394363595,nan,nan,nan,Area (10^6 km^2),Monthly North Pacific High Area,nan,nan,nan,1.0,1971-01-01
1971,2,4.9386168985444705,nan,nan,nan,Area (10^6 km^2),Monthly North Pacific High Area,nan,nan,nan,1.0,1971-02-01
1971,3,5.023161869502633,nan,nan,nan,Area (10^6 km^2),Monthly North Pacific High Area,nan,nan,nan,1.0,1971-03-01
1971,4,6.417044828206727,nan,nan,nan,Area (10^6 km^2),Monthly North Pacific High Area,nan,nan,nan,1.0,1971-04-01
1971,5,6.8155275701361795,nan,nan,nan,Area (10^6 km^2),Monthly North Pacific High Area,nan,nan,nan,1.0,1971-05-01
1971,6,5.7522673119065395,nan,nan,nan,Area (10^6 km^2),Monthly North Pacific High Area,nan,nan,nan,1.0,1971-06-01
1971,7,5.251869276239088,nan,nan,nan,Area (10^6 km^2),Monthly North Pacific High Area,nan,nan,nan,1.0,1971-07-01
1971,8,2.8930712335373507,nan,nan,nan,Area (10^6 km^2),Monthly North Pacific High Area,nan,nan,nan,1.0,1971-08-01
1971,9,3.6900602959551607,nan,nan,nan,Area (10^6 km^2),Monthly North Pacific High Area,nan,nan,nan,1.0,1971-09-01
1971,10,4.975633145311326,nan,nan,nan,Area (10^6 km^2),Monthly North Pacific High Area,nan,nan,nan,1.0,1971-10-01
