order,year,index,metric,timeseries,proportional.difference
1,1981,745.8687891,Millions $,Commercial fisheries coastwide,FALSE
1,1982,721.1340629,Millions $,Commercial fisheries coastwide,-0.03
1,1983,578.6155014,Millions $,Commercial fisheries coastwide,-0.20
1,1984,574.1629095,Millions $,Commercial fisheries coastwide,-0.01
1,1985,586.1377223,Millions $,Commercial fisheries coastwide,0.02
1,1986,645.530953,Millions $,Commercial fisheries coastwide,0.10
1,1987,844.0349393,Millions $,Commercial fisheries coastwide,0.31
1,1988,884.9661691,Millions $,Commercial fisheries coastwide,0.05
1,1989,693.7062994,Millions $,Commercial fisheries coastwide,-0.22
1,1990,600.5629138,Millions $,Commercial fisheries coastwide,-0.13
1,1991,571.395945,Millions $,Commercial fisheries coastwide,-0.05
1,1992,508.8432166,Millions $,Commercial fisheries coastwide,-0.11
1,1993,478.9521422,Millions $,Commercial fisheries coastwide,-0.06
1,1994,500.8641912,Millions $,Commercial fisheries coastwide,0.05
1,1995,573.3169925,Millions $,Commercial fisheries coastwide,0.14
1,1996,555.9464862,Millions $,Commercial fisheries coastwide,-0.03
1,1997,527.6679143,Millions $,Commercial fisheries coastwide,-0.05
1,1998,367.6378078,Millions $,Commercial fisheries coastwide,-0.30
1,1999,438.4124223,Millions $,Commercial fisheries coastwide,0.19
1,2000,506.7912469,Millions $,Commercial fisheries coastwide,0.16
1,2001,387.0087942,Millions $,Commercial fisheries coastwide,-0.24
1,2002,387.4852823,Millions $,Commercial fisheries coastwide,0.00
1,2003,432.7624569,Millions $,Commercial fisheries coastwide,0.12
1,2004,489.546048,Millions $,Commercial fisheries coastwide,0.13
1,2005,517.8522588,Millions $,Commercial fisheries coastwide,0.06
1,2006,480.6852746,Millions $,Commercial fisheries coastwide,-0.07
1,2007,467.4201955,Millions $,Commercial fisheries coastwide,-0.03
1,2008,512.4958599,Millions $,Commercial fisheries coastwide,0.10
1,2009,453.8068135,Millions $,Commercial fisheries coastwide,-0.11
1,2010,584.7683252,Millions $,Commercial fisheries coastwide,0.29
1,2011,749.9218583,Millions $,Commercial fisheries coastwide,0.28
1,2012,711.2087906,Millions $,Commercial fisheries coastwide,-0.05
1,2013,746.7735434,Millions $,Commercial fisheries coastwide,0.05
1,2014,727.9395444,Millions $,Commercial fisheries coastwide,-0.03
1,2015,602.1405996,Millions $,Commercial fisheries coastwide,-0.17
1,2016,619.4113543,Millions $,Commercial fisheries coastwide,0.03
1,2017,695.5736903,Millions $,Commercial fisheries coastwide,0.12
1,2018,650.6495672,Millions $,Commercial fisheries coastwide,-0.06
1,2019,546.5579322,Millions $,Commercial fisheries coastwide,-0.16
1,2020,431.2392504,Millions $,Commercial fisheries coastwide,-0.21
2,1981,212.835679,Millions $,Salmon coastwide,FALSE
2,1982,232.5540205,Millions $,Salmon coastwide,0.09
2,1983,71.50251652,Millions $,Salmon coastwide,-0.69
2,1984,113.9616473,Millions $,Salmon coastwide,0.59
2,1985,174.8195583,Millions $,Salmon coastwide,0.53
2,1986,200.4244879,Millions $,Salmon coastwide,0.15
2,1987,310.3442847,Millions $,Salmon coastwide,0.55
2,1988,345.7937966,Millions $,Salmon coastwide,0.11
2,1989,179.9248031,Millions $,Salmon coastwide,-0.48
2,1990,151.1458025,Millions $,Salmon coastwide,-0.16
2,1991,91.12243805,Millions $,Salmon coastwide,-0.40
2,1992,57.34161257,Millions $,Salmon coastwide,-0.37
2,1993,61.1858993,Millions $,Salmon coastwide,0.07
2,1994,59.64118159,Millions $,Salmon coastwide,-0.03
2,1995,45.71389187,Millions $,Salmon coastwide,-0.23
2,1996,30.51514139,Millions $,Salmon coastwide,-0.33
2,1997,38.74005676,Millions $,Salmon coastwide,0.27
2,1998,24.9131611,Millions $,Salmon coastwide,-0.36
2,1999,22.90255949,Millions $,Salmon coastwide,-0.08
2,2000,37.26104128,Millions $,Salmon coastwide,0.63
2,2001,30.83278479,Millions $,Salmon coastwide,-0.17
2,2002,38.56847536,Millions $,Salmon coastwide,0.25
2,2003,45.14061954,Millions $,Salmon coastwide,0.17
2,2004,68.14094115,Millions $,Salmon coastwide,0.51
2,2005,51.32799494,Millions $,Salmon coastwide,-0.25
2,2006,45.86485197,Millions $,Salmon coastwide,-0.11
2,2007,44.00665497,Millions $,Salmon coastwide,-0.04
2,2008,33.72696462,Millions $,Salmon coastwide,-0.23
2,2009,31.81831176,Millions $,Salmon coastwide,-0.06
2,2010,60.83003294,Millions $,Salmon coastwide,0.91
2,2011,63.72604618,Millions $,Salmon coastwide,0.05
2,2012,55.26860517,Millions $,Salmon coastwide,-0.13
2,2013,87.11676985,Millions $,Salmon coastwide,0.58
2,2014,78.78629362,Millions $,Salmon coastwide,-0.10
2,2015,53.32150561,Millions $,Salmon coastwide,-0.32
2,2016,44.7099592,Millions $,Salmon coastwide,-0.16
2,2017,45.4695835,Millions $,Salmon coastwide,0.02
2,2018,48.13254746,Millions $,Salmon coastwide,0.06
2,2019,35.97889933,Millions $,Salmon coastwide,-0.25
2,2020,24.26892126,Millions $,Salmon coastwide,-0.33
3,1981,138.5775307,Millions $,"Groundfish, no hake coastwide",FALSE
3,1982,167.2436425,Millions $,"Groundfish, no hake coastwide",0.21
3,1983,141.5941653,Millions $,"Groundfish, no hake coastwide",-0.15
3,1984,125.8219103,Millions $,"Groundfish, no hake coastwide",-0.11
3,1985,138.3223098,Millions $,"Groundfish, no hake coastwide",0.10
3,1986,134.6457586,Millions $,"Groundfish, no hake coastwide",-0.03
3,1987,168.659926,Millions $,"Groundfish, no hake coastwide",0.25
3,1988,153.4054538,Millions $,"Groundfish, no hake coastwide",-0.09
3,1989,146.9883813,Millions $,"Groundfish, no hake coastwide",-0.04
3,1990,129.068352,Millions $,"Groundfish, no hake coastwide",-0.12
3,1991,133.8248372,Millions $,"Groundfish, no hake coastwide",0.04
3,1992,124.0151395,Millions $,"Groundfish, no hake coastwide",-0.07
3,1993,111.7945946,Millions $,"Groundfish, no hake coastwide",-0.10
3,1994,112.0193526,Millions $,"Groundfish, no hake coastwide",0.00
3,1995,136.7436565,Millions $,"Groundfish, no hake coastwide",0.22
3,1996,129.9366428,Millions $,"Groundfish, no hake coastwide",-0.05
3,1997,118.4291222,Millions $,"Groundfish, no hake coastwide",-0.09
3,1998,78.25676429,Millions $,"Groundfish, no hake coastwide",-0.34
3,1999,79.56560221,Millions $,"Groundfish, no hake coastwide",0.02
3,2000,82.57988428,Millions $,"Groundfish, no hake coastwide",0.04
3,2001,66.903671,Millions $,"Groundfish, no hake coastwide",-0.19
3,2002,55.98354631,Millions $,"Groundfish, no hake coastwide",-0.16
3,2003,60.93243984,Millions $,"Groundfish, no hake coastwide",0.09
3,2004,55.15287591,Millions $,"Groundfish, no hake coastwide",-0.09
3,2005,58.35613662,Millions $,"Groundfish, no hake coastwide",0.06
3,2006,58.49583972,Millions $,"Groundfish, no hake coastwide",0.00
3,2007,57.43902177,Millions $,"Groundfish, no hake coastwide",-0.02
3,2008,66.87130291,Millions $,"Groundfish, no hake coastwide",0.16
3,2009,72.90546688,Millions $,"Groundfish, no hake coastwide",0.09
3,2010,68.71480449,Millions $,"Groundfish, no hake coastwide",-0.06
3,2011,80.75680065,Millions $,"Groundfish, no hake coastwide",0.18
