order,year,index,metric,timeseries,proportional.change
1,1981,470.1006276,mt x 1000,Total fisheries coastwide,FALSE
1,1982,416.8980819,mt x 1000,Total fisheries coastwide,-0.11
1,1983,350.5660297,mt x 1000,Total fisheries coastwide,-0.16
1,1984,346.9702528,mt x 1000,Total fisheries coastwide,-0.01
1,1985,337.434574,mt x 1000,Total fisheries coastwide,-0.03
1,1986,427.413401,mt x 1000,Total fisheries coastwide,0.27
1,1987,461.0869177,mt x 1000,Total fisheries coastwide,0.08
1,1988,494.841811,mt x 1000,Total fisheries coastwide,0.07
1,1989,556.2291091,mt x 1000,Total fisheries coastwide,0.12
1,1990,465.7631922,mt x 1000,Total fisheries coastwide,-0.16
1,1991,511.3371948,mt x 1000,Total fisheries coastwide,0.10
1,1992,458.1106895,mt x 1000,Total fisheries coastwide,-0.10
1,1993,395.2486651,mt x 1000,Total fisheries coastwide,-0.14
1,1994,489.3973542,mt x 1000,Total fisheries coastwide,0.24
1,1995,452.6695136,mt x 1000,Total fisheries coastwide,-0.08
1,1996,508.2623668,mt x 1000,Total fisheries coastwide,0.12
1,1997,527.3194856,mt x 1000,Total fisheries coastwide,0.04
1,1998,411.5011125,mt x 1000,Total fisheries coastwide,-0.22
1,1999,502.2293014,mt x 1000,Total fisheries coastwide,0.22
1,2000,545.4342411,mt x 1000,Total fisheries coastwide,0.09
1,2001,477.7313604,mt x 1000,Total fisheries coastwide,-0.12
1,2002,434.3686239,mt x 1000,Total fisheries coastwide,-0.09
1,2003,390.7827503,mt x 1000,Total fisheries coastwide,-0.10
1,2004,480.9040781,mt x 1000,Total fisheries coastwide,0.23
1,2005,541.5162757,mt x 1000,Total fisheries coastwide,0.13
1,2006,541.2193723,mt x 1000,Total fisheries coastwide,0.00
1,2007,516.4601752,mt x 1000,Total fisheries coastwide,-0.05
1,2008,503.3010378,mt x 1000,Total fisheries coastwide,-0.03
1,2009,410.7798774,mt x 1000,Total fisheries coastwide,-0.18
1,2010,498.0582013,mt x 1000,Total fisheries coastwide,0.21
1,2011,548.378919,mt x 1000,Total fisheries coastwide,0.10
1,2012,499.892313,mt x 1000,Total fisheries coastwide,-0.09
1,2013,569.5554838,mt x 1000,Total fisheries coastwide,0.14
