timeseries_id,dataset_id,institution
cciea_AC_AQUAC_FFISH,cciea_AC,NOAA NWFSC
cciea_AC_AQUAC_SFISH,cciea_AC,NOAA NWFSC
cciea_AC_BT,cciea_AC,NOAA NWFSC
cciea_AC_CFISH_REV,cciea_AC,NOAA NWFSC
cciea_AC_CFISH_REVCA,cciea_AC,NOAA NWFSC
cciea_AC_CFISH_REVOR,cciea_AC,NOAA NWFSC
cciea_AC_CFISH_REVWA,cciea_AC,NOAA NWFSC
cciea_AC_CMR_SLMN_SP,cciea_AC,NOAA NWFSC
cciea_AC_CMR_SLMN_SPCA,cciea_AC,NOAA NWFSC
cciea_AC_CMR_SLMN_SPOR,cciea_AC,NOAA NWFSC
cciea_AC_CMR_SLMN_SPWA,cciea_AC,NOAA NWFSC
cciea_AC_CPS_REV,cciea_AC,NOAA NWFSC
cciea_AC_CPS_REVCA,cciea_AC,NOAA NWFSC
cciea_AC_CPS_REVOR,cciea_AC,NOAA NWFSC
cciea_AC_CPS_REVWA,cciea_AC,NOAA NWFSC
cciea_AC_CPS_SPCA,cciea_AC,NOAA NWFSC
cciea_AC_CPS_SPCW,cciea_AC,NOAA NWFSC
cciea_AC_CPS_SPOR,cciea_AC,NOAA NWFSC
cciea_AC_CPS_SPWA,cciea_AC,NOAA NWFSC
cciea_AC_CRAB_MN_TK,cciea_AC_mn,pending
cciea_AC_CRAB_MN_WT,cciea_AC_mn,pending
cciea_AC_CRAB_REV,cciea_AC,NOAA NWFSC
cciea_AC_CRAB_REVCA,cciea_AC,NOAA NWFSC
cciea_AC_CRAB_REVOR,cciea_AC,NOAA NWFSC
cciea_AC_CRAB_REVWA,cciea_AC,NOAA NWFSC
cciea_AC_CRAB_SP,cciea_AC,NOAA NWFSC
cciea_AC_CRAB_SPCA,cciea_AC,NOAA NWFSC
cciea_AC_CRAB_SPCOR,cciea_AC,NOAA NWFSC
cciea_AC_CRAB_SPWA,cciea_AC,NOAA NWFSC
cciea_AC_CSHIP_VDIST,cciea_AC,NOAA NWFSC
cciea_AC_GFISH_REV,cciea_AC,NOAA NWFSC
cciea_AC_GFISH_REVCA,cciea_AC,NOAA NWFSC
cciea_AC_GFISH_REVOR,cciea_AC,NOAA NWFSC
cciea_AC_GFISH_REVWA,cciea_AC,NOAA NWFSC
cciea_AC_GFISH_SP,cciea_AC,NOAA NWFSC
cciea_AC_GFISH_SPCA,cciea_AC,NOAA NWFSC
cciea_AC_GFISH_SPOR,cciea_AC,NOAA NWFSC
cciea_AC_GFISH_SPWA,cciea_AC,NOAA NWFSC
cciea_AC_HMS_REV,cciea_AC,NOAA NWFSC
cciea_AC_HMS_REVCA,cciea_AC,NOAA NWFSC
cciea_AC_HMS_REVOR,cciea_AC,NOAA NWFSC
cciea_AC_HMS_REVWA,cciea_AC,NOAA NWFSC
cciea_AC_HMS_SP,cciea_AC,NOAA NWFSC
cciea_AC_HMS_SPCA,cciea_AC,NOAA NWFSC
cciea_AC_HMS_SPOR,cciea_AC,NOAA NWFSC
cciea_AC_HMS_SPWA,cciea_AC,NOAA NWFSC
cciea_AC_MSQ,cciea_AC,NOAA NWFSC
