year,raw.data,fitted.data,Seup,Selo,metric,timeseries,order
1994,0.29,0.29,NA,NA,Mean concentration (mg/L),Atmospheric pollution,1
1995,0.22,0.22,NA,NA,Mean concentration (mg/L),Atmospheric pollution,1
1996,0.2,0.2,NA,NA,Mean concentration (mg/L),Atmospheric pollution,1
1997,0.24,0.24,NA,NA,Mean concentration (mg/L),Atmospheric pollution,1
1998,0.26,0.26,NA,NA,Mean concentration (mg/L),Atmospheric pollution,1
1999,0.26,0.26,NA,NA,Mean concentration (mg/L),Atmospheric pollution,1
2000,0.3,0.3,NA,NA,Mean concentration (mg/L),Atmospheric pollution,1
2001,0.27,0.27,NA,NA,Mean concentration (mg/L),Atmospheric pollution,1
2002,0.25,0.25,NA,NA,Mean concentration (mg/L),Atmospheric pollution,1
2003,0.23,0.23,NA,NA,Mean concentration (mg/L),Atmospheric pollution,1
2004,0.25,0.25,NA,NA,Mean concentration (mg/L),Atmospheric pollution,1
2005,0.26,0.26,NA,NA,Mean concentration (mg/L),Atmospheric pollution,1
2006,0.24,0.24,NA,NA,Mean concentration (mg/L),Atmospheric pollution,1
2007,0.25,0.25,NA,NA,Mean concentration (mg/L),Atmospheric pollution,1
2008,0.24,0.24,NA,NA,Mean concentration (mg/L),Atmospheric pollution,1
2009,0.26,0.26,NA,NA,Mean concentration (mg/L),Atmospheric pollution,1
2010,0.21,0.21,NA,NA,Mean concentration (mg/L),Atmospheric pollution,1
2011,0.24,0.24,NA,NA,Mean concentration (mg/L),Atmospheric pollution,1
2012,0.24,0.24,NA,NA,Mean concentration (mg/L),Atmospheric pollution,1
2013,0.28,0.28,NA,NA,Mean concentration (mg/L),Atmospheric pollution,1
2014,0.18,0.18,NA,NA,Mean concentration (mg/L),Atmospheric pollution,1
2015,0.22,0.22,NA,NA,Mean concentration (mg/L),Atmospheric pollution,1
2016,0.18,0.18,NA,NA,Mean concentration (mg/L),Atmospheric pollution,1
2017,0.15,0.15,NA,NA,Mean concentration (mg/L),Atmospheric pollution,1
2018,0.14,0.14,NA,NA,Mean concentration (mg/L),Atmospheric pollution,1
1981,3085,3085,NA,NA,Offshore oil & gas wells,Benthic structures,2
1982,3248,3248,NA,NA,Offshore oil & gas wells,Benthic structures,2
1983,3367,3367,NA,NA,Offshore oil & gas wells,Benthic structures,2
1984,3453,3453,NA,NA,Offshore oil & gas wells,Benthic structures,2
1985,3518,3518,NA,NA,Offshore oil & gas wells,Benthic structures,2
1986,3470,3470,NA,NA,Offshore oil & gas wells,Benthic structures,2
1987,3361,3361,NA,NA,Offshore oil & gas wells,Benthic structures,2
1988,3333,3333,NA,NA,Offshore oil & gas wells,Benthic structures,2
1989,3311,3311,NA,NA,Offshore oil & gas wells,Benthic structures,2
1990,3229,3229,NA,NA,Offshore oil & gas wells,Benthic structures,2
1991,3181,3181,NA,NA,Offshore oil & gas wells,Benthic structures,2
1992,3115,3115,NA,NA,Offshore oil & gas wells,Benthic structures,2
1993,3087,3087,NA,NA,Offshore oil & gas wells,Benthic structures,2
1994,3040,3040,NA,NA,Offshore oil & gas wells,Benthic structures,2
1995,2891,2891,NA,NA,Offshore oil & gas wells,Benthic structures,2
1996,3226,3226,NA,NA,Offshore oil & gas wells,Benthic structures,2
1997,3202,3202,NA,NA,Offshore oil & gas wells,Benthic structures,2
1998,3127,3127,NA,NA,Offshore oil & gas wells,Benthic structures,2
1999,3007,3007,NA,NA,Offshore oil & gas wells,Benthic structures,2
2000,2854,2854,NA,NA,Offshore oil & gas wells,Benthic structures,2
2001,2840,2840,NA,NA,Offshore oil & gas wells,Benthic structures,2
2002,3040,3040,NA,NA,Offshore oil & gas wells,Benthic structures,2
2003,2809,2809,NA,NA,Offshore oil & gas wells,Benthic structures,2
2004,2773,2773,NA,NA,Offshore oil & gas wells,Benthic structures,2
2005,2758,2758,NA,NA,Offshore oil & gas wells,Benthic structures,2
2006,2725,2725,NA,NA,Offshore oil & gas wells,Benthic structures,2
2007,2732,2732,NA,NA,Offshore oil & gas wells,Benthic structures,2
2008,2768,2768,NA,NA,Offshore oil & gas wells,Benthic structures,2
2009,2769,2769,NA,NA,Offshore oil & gas wells,Benthic structures,2
2010,2692,2692,NA,NA,Offshore oil & gas wells,Benthic structures,2
2011,2656,2656,NA,NA,Offshore oil & gas wells,Benthic structures,2
2012,2689,2689,NA,NA,Offshore oil & gas wells,Benthic structures,2
2013,2745,2745,NA,NA,Offshore oil & gas wells,Benthic structures,2
2014,2810,2810,NA,NA,Offshore oil & gas wells,Benthic structures,2
2015,3064,3064,NA,NA,Offshore oil & gas wells,Benthic structures,2
2016,3057,3057,NA,NA,Offshore oil & gas wells,Benthic structures,2
1970,15.544196,15.544196,NA,NA,Coastal population (millions),Coastal engineering,3
1971,15.7597,15.7597,NA,NA,Coastal population (millions),Coastal engineering,3
1972,15.8435,15.8435,NA,NA,Coastal population (millions),Coastal engineering,3
1973,16.0437,16.0437,NA,NA,Coastal population (millions),Coastal engineering,3
1974,16.2844,16.2844,NA,NA,Coastal population (millions),Coastal engineering,3
1975,16.5517,16.5517,NA,NA,Coastal population (millions),Coastal engineering,3
1976,16.8275,16.8275,NA,NA,Coastal population (millions),Coastal engineering,3
1977,17.0985,17.0985,NA,NA,Coastal population (millions),Coastal engineering,3
1978,17.435,17.435,NA,NA,Coastal population (millions),Coastal engineering,3
1979,17.7282,17.7282,NA,NA,Coastal population (millions),Coastal engineering,3
1980,18.024654,18.024654,NA,NA,Coastal population (millions),Coastal engineering,3
1981,18.44749,18.44749,NA,NA,Coastal population (millions),Coastal engineering,3
1982,18.772445,18.772445,NA,NA,Coastal population (millions),Coastal engineering,3
1983,19.096978,19.096978,NA,NA,Coastal population (millions),Coastal engineering,3
1984,19.39452,19.39452,NA,NA,Coastal population (millions),Coastal engineering,3
1985,19.765765,19.765765,NA,NA,Coastal population (millions),Coastal engineering,3
1986,20.217494,20.217494,NA,NA,Coastal population (millions),Coastal engineering,3
1987,20.64617,20.64617,NA,NA,Coastal population (millions),Coastal engineering,3
1988,21.057208,21.057208,NA,NA,Coastal population (millions),Coastal engineering,3
1989,21.479585,21.479585,NA,NA,Coastal population (millions),Coastal engineering,3
1990,21.833842,21.833842,NA,NA,Coastal population (millions),Coastal engineering,3
1991,22.07145,22.07145,NA,NA,Coastal population (millions),Coastal engineering,3
1992,22.376459,22.376459,NA,NA,Coastal population (millions),Coastal engineering,3
1993,22.550103,22.550103,NA,NA,Coastal population (millions),Coastal engineering,3
1994,22.637155,22.637155,NA,NA,Coastal population (millions),Coastal engineering,3
1995,22.750691,22.750691,NA,NA,Coastal population (millions),Coastal engineering,3
1996,22.932233,22.932233,NA,NA,Coastal population (millions),Coastal engineering,3
1997,23.243948,23.243948,NA,NA,Coastal population (millions),Coastal engineering,3
1998,23.553076,23.553076,NA,NA,Coastal population (millions),Coastal engineering,3
1999,23.833449,23.833449,NA,NA,Coastal population (millions),Coastal engineering,3
2000,24.411264,24.411264,NA,NA,Coastal population (millions),Coastal engineering,3
2001,24.665523,24.665523,NA,NA,Coastal population (millions),Coastal engineering,3
2002,24.854971,24.854971,NA,NA,Coastal population (millions),Coastal engineering,3
2003,24.999743,24.999743,NA,NA,Coastal population (millions),Coastal engineering,3
2004,25.096767,25.096767,NA,NA,Coastal population (millions),Coastal engineering,3
2005,25.151401,25.151401,NA,NA,Coastal population (millions),Coastal engineering,3
2006,25.19798,25.19798,NA,NA,Coastal population (millions),Coastal engineering,3
2007,25.299084,25.299084,NA,NA,Coastal population (millions),Coastal engineering,3
2008,25.533269,25.533269,NA,NA,Coastal population (millions),Coastal engineering,3
2009,25.789216,25.789216,NA,NA,Coastal population (millions),Coastal engineering,3
2010,25.938485,25.938485,NA,NA,Coastal population (millions),Coastal engineering,3
2011,26.172137,26.172137,NA,NA,Coastal population (millions),Coastal engineering,3
2012,26.423181,26.423181,NA,NA,Coastal population (millions),Coastal engineering,3
2013,26.637923,26.637923,NA,NA,Coastal population (millions),Coastal engineering,3
2014,26.946602,26.946602,NA,NA,Coastal population (millions),Coastal engineering,3
2015,27.18616,27.18616,NA,NA,Coastal population (millions),Coastal engineering,3
2016,27.284321,27.284321,NA,NA,Coastal population (millions),Coastal engineering,3
2017,27.406408,27.406408,NA,NA,Coastal population (millions),Coastal engineering,3
2018,27.504479,27.504479,NA,NA,Coastal population (millions),Coastal engineering,3
