year,data,U SE,L SE,metric,timeseries,order
1993,0.76,0.84,0.69,% auklet chick diet,Northern anchovy,1
1994,0.67,0.76,0.58,% auklet chick diet,Northern anchovy,1
1995,0.75,0.84,0.65,% auklet chick diet,Northern anchovy,1
1996,0.26,0.35,0.18,% auklet chick diet,Northern anchovy,1
1997,0.41,0.52,0.29,% auklet chick diet,Northern anchovy,1
1998,0.37,0.48,0.25,% auklet chick diet,Northern anchovy,1
1999,0.74,0.83,0.65,% auklet chick diet,Northern anchovy,1
2000,0.78,0.85,0.71,% auklet chick diet,Northern anchovy,1
2001,0.1,0.14,0.06,% auklet chick diet,Northern anchovy,1
2002,0.23,0.29,0.17,% auklet chick diet,Northern anchovy,1
2003,0.12,0.18,0.05,% auklet chick diet,Northern anchovy,1
2004,0.77,0.85,0.69,% auklet chick diet,Northern anchovy,1
2005,0.8,0.87,0.73,% auklet chick diet,Northern anchovy,1
2006,1,1,1,% auklet chick diet,Northern anchovy,1
2007,1,1,1,% auklet chick diet,Northern anchovy,1
2008,0.49,0.58,0.41,% auklet chick diet,Northern anchovy,1
2009,0.04,0.07,0.01,% auklet chick diet,Northern anchovy,1
2010,0.07,0.1,0.04,% auklet chick diet,Northern anchovy,1
2011,0.04,0.08,0,% auklet chick diet,Northern anchovy,1
2012,0.06,0.1,0.02,% auklet chick diet,Northern anchovy,1
2013,0.36,0.45,0.27,% auklet chick diet,Northern anchovy,1
2014,0.51,0.58,0.44,% auklet chick diet,Northern anchovy,1
2015,0.93,0.96,0.9,% auklet chick diet,Northern anchovy,1
2016,0.79,0.86,0.72,% auklet chick diet,Northern anchovy,1
2017,0.33,0.4,0.26,% auklet chick diet,Northern anchovy,1
2018,0.92,0.96,0.89,% auklet chick diet,Northern anchovy,1
2019,0.9,0.94,0.86,% auklet chick diet,Northern anchovy,1
2020,1,1,1,% auklet chick diet,Northern anchovy,1
1993,0.03,0.05,0.01,% auklet chick diet,Rockfish juveniles,2
1994,0.03,0.06,0.01,% auklet chick diet,Rockfish juveniles,2
1995,0.03,0.05,0.01,% auklet chick diet,Rockfish juveniles,2
1996,0.43,0.53,0.34,% auklet chick diet,Rockfish juveniles,2
1997,0.02,0.04,0,% auklet chick diet,Rockfish juveniles,2
1998,0,0,0,% auklet chick diet,Rockfish juveniles,2
1999,0.15,0.22,0.08,% auklet chick diet,Rockfish juveniles,2
2000,0.04,0.07,0.01,% auklet chick diet,Rockfish juveniles,2
2001,0.52,0.6,0.45,% auklet chick diet,Rockfish juveniles,2
2002,0.59,0.66,0.52,% auklet chick diet,Rockfish juveniles,2
2003,0.12,0.18,0.06,% auklet chick diet,Rockfish juveniles,2
2004,0.14,0.2,0.07,% auklet chick diet,Rockfish juveniles,2
2005,0,0,0,% auklet chick diet,Rockfish juveniles,2
2006,0,0,0,% auklet chick diet,Rockfish juveniles,2
2007,0,0,0,% auklet chick diet,Rockfish juveniles,2
2008,0.07,0.11,0.03,% auklet chick diet,Rockfish juveniles,2
2009,0.04,0.06,0.02,% auklet chick diet,Rockfish juveniles,2
2010,0.56,0.62,0.5,% auklet chick diet,Rockfish juveniles,2
2011,0.15,0.21,0.09,% auklet chick diet,Rockfish juveniles,2
2012,0.05,0.08,0.02,% auklet chick diet,Rockfish juveniles,2
2013,0.59,0.68,0.5,% auklet chick diet,Rockfish juveniles,2
2014,0.43,0.5,0.36,% auklet chick diet,Rockfish juveniles,2
2015,0.05,0.08,0.02,% auklet chick diet,Rockfish juveniles,2
2016,0.11,0.15,0.07,% auklet chick diet,Rockfish juveniles,2
