year,data,metric,timeseries,order
2008,0.496,% auklet chick diet,Northern anchovy,1
2009,0.834,% auklet chick diet,Northern anchovy,1
2010,0.816,% auklet chick diet,Northern anchovy,1
2011,NA,% auklet chick diet,Northern anchovy,1
2012,NA,% auklet chick diet,Northern anchovy,1
2013,0.82,% auklet chick diet,Northern anchovy,1
2014,NA,% auklet chick diet,Northern anchovy,1
2015,0,% auklet chick diet,Northern anchovy,1
2016,0.573,% auklet chick diet,Northern anchovy,1
2017,0.357,% auklet chick diet,Northern anchovy,1
2018,0.071,% auklet chick diet,Northern anchovy,1
2019,0.052759346,% auklet chick diet,Northern anchovy,1
2008,0.117,% auklet chick diet,Pacific herring,2
2009,0.066,% auklet chick diet,Pacific herring,2
2010,0.03,% auklet chick diet,Pacific herring,2
2011,NA,% auklet chick diet,Pacific herring,2
2012,NA,% auklet chick diet,Pacific herring,2
2013,0.023,% auklet chick diet,Pacific herring,2
2014,NA,% auklet chick diet,Pacific herring,2
2015,1,% auklet chick diet,Pacific herring,2
2016,0,% auklet chick diet,Pacific herring,2
2017,0.273,% auklet chick diet,Pacific herring,2
2018,0.625,% auklet chick diet,Pacific herring,2
2019,0.152937369,% auklet chick diet,Pacific herring,2
2008,0.13,% auklet chick diet,Rockfish juveniles,3
2009,0,% auklet chick diet,Rockfish juveniles,3
2010,0.024,% auklet chick diet,Rockfish juveniles,3
2011,NA,% auklet chick diet,Rockfish juveniles,3
2012,NA,% auklet chick diet,Rockfish juveniles,3
2013,0,% auklet chick diet,Rockfish juveniles,3
2014,NA,% auklet chick diet,Rockfish juveniles,3
2015,0,% auklet chick diet,Rockfish juveniles,3
2016,0.176,% auklet chick diet,Rockfish juveniles,3
2017,0.006,% auklet chick diet,Rockfish juveniles,3
2018,0,% auklet chick diet,Rockfish juveniles,3
2019,0.004612397,% auklet chick diet,Rockfish juveniles,3
2008,0.145,% auklet chick diet,Smelts,4
2009,0.06,% auklet chick diet,Smelts,4
2010,0.094,% auklet chick diet,Smelts,4
2011,NA,% auklet chick diet,Smelts,4
2012,NA,% auklet chick diet,Smelts,4
2013,0.086,% auklet chick diet,Smelts,4
2014,NA,% auklet chick diet,Smelts,4
2015,0,% auklet chick diet,Smelts,4
2016,0.107,% auklet chick diet,Smelts,4
2017,0.049,% auklet chick diet,Smelts,4
2018,0.293,% auklet chick diet,Smelts,4
2019,0.590386794,% auklet chick diet,Smelts,4
