year,data,metric,timeseries,order
1972,0.065,% PIGU diet,Rockfish juveniles,1
1973,0.542,% PIGU diet,Rockfish juveniles,1
1974,0.838,% PIGU diet,Rockfish juveniles,1
1975,0.753,% PIGU diet,Rockfish juveniles,1
1976,0.228,% PIGU diet,Rockfish juveniles,1
1977,0.861,% PIGU diet,Rockfish juveniles,1
1978,0.077,% PIGU diet,Rockfish juveniles,1
1979,0.883,% PIGU diet,Rockfish juveniles,1
1980,0.683,% PIGU diet,Rockfish juveniles,1
1981,0.661,% PIGU diet,Rockfish juveniles,1
1982,0.628,% PIGU diet,Rockfish juveniles,1
1983,NA,% PIGU diet,Rockfish juveniles,1
1984,0.725,% PIGU diet,Rockfish juveniles,1
1985,0.652,% PIGU diet,Rockfish juveniles,1
1986,0.364,% PIGU diet,Rockfish juveniles,1
1987,0.677,% PIGU diet,Rockfish juveniles,1
1988,0.713,% PIGU diet,Rockfish juveniles,1
1989,0.324,% PIGU diet,Rockfish juveniles,1
1990,0.04,% PIGU diet,Rockfish juveniles,1
1991,0.268,% PIGU diet,Rockfish juveniles,1
1992,0.077,% PIGU diet,Rockfish juveniles,1
1993,0.623,% PIGU diet,Rockfish juveniles,1
1994,0.283,% PIGU diet,Rockfish juveniles,1
1995,0.154,% PIGU diet,Rockfish juveniles,1
1996,0.341,% PIGU diet,Rockfish juveniles,1
1997,0.316,% PIGU diet,Rockfish juveniles,1
1998,NA,% PIGU diet,Rockfish juveniles,1
1999,0.262,% PIGU diet,Rockfish juveniles,1
2000,0.014,% PIGU diet,Rockfish juveniles,1
2001,0.586,% PIGU diet,Rockfish juveniles,1
2002,0.497,% PIGU diet,Rockfish juveniles,1
2003,0.445,% PIGU diet,Rockfish juveniles,1
2004,0.532,% PIGU diet,Rockfish juveniles,1
2005,0.024,% PIGU diet,Rockfish juveniles,1
2006,0.019,% PIGU diet,Rockfish juveniles,1
2007,0.036,% PIGU diet,Rockfish juveniles,1
2008,0.186,% PIGU diet,Rockfish juveniles,1
2009,0.13,% PIGU diet,Rockfish juveniles,1
2010,0.611,% PIGU diet,Rockfish juveniles,1
2011,0.31,% PIGU diet,Rockfish juveniles,1
2012,0.422,% PIGU diet,Rockfish juveniles,1
2013,0.587,% PIGU diet,Rockfish juveniles,1
2014,0.754,% PIGU diet,Rockfish juveniles,1
2015,0.491,% PIGU diet,Rockfish juveniles,1
2016,0.493,% PIGU diet,Rockfish juveniles,1
2017,0.249,% PIGU diet,Rockfish juveniles,1
2018,0.16,% PIGU diet,Rockfish juveniles,1
2019,0.145,% PIGU diet,Rockfish juveniles,1
2020,0.255,% PIGU diet,Rockfish juveniles,1
