year,data,metric,timeseries,order
1971,0.175,Productivity anomaly,Brandts cormorant,1
1972,0.025,Productivity anomaly,Brandts cormorant,1
1973,-0.505,Productivity anomaly,Brandts cormorant,1
1974,-0.355,Productivity anomaly,Brandts cormorant,1
1975,-0.425,Productivity anomaly,Brandts cormorant,1
1976,-0.855,Productivity anomaly,Brandts cormorant,1
1977,-0.045,Productivity anomaly,Brandts cormorant,1
1978,-1.025,Productivity anomaly,Brandts cormorant,1
1979,0.265,Productivity anomaly,Brandts cormorant,1
1980,0.195,Productivity anomaly,Brandts cormorant,1
1981,-0.025,Productivity anomaly,Brandts cormorant,1
1982,-0.155,Productivity anomaly,Brandts cormorant,1
1983,-1.405,Productivity anomaly,Brandts cormorant,1
1984,-0.195,Productivity anomaly,Brandts cormorant,1
1985,1.425,Productivity anomaly,Brandts cormorant,1
1986,-0.115,Productivity anomaly,Brandts cormorant,1
1987,0.565,Productivity anomaly,Brandts cormorant,1
1988,0.375,Productivity anomaly,Brandts cormorant,1
1989,-0.175,Productivity anomaly,Brandts cormorant,1
1990,-0.615,Productivity anomaly,Brandts cormorant,1
1991,0.325,Productivity anomaly,Brandts cormorant,1
1992,-0.905,Productivity anomaly,Brandts cormorant,1
1993,-0.845,Productivity anomaly,Brandts cormorant,1
1994,1.165,Productivity anomaly,Brandts cormorant,1
1995,0.525,Productivity anomaly,Brandts cormorant,1
1996,0.785,Productivity anomaly,Brandts cormorant,1
1997,0.485,Productivity anomaly,Brandts cormorant,1
1998,-1.055,Productivity anomaly,Brandts cormorant,1
1999,0.855,Productivity anomaly,Brandts cormorant,1
2000,0.945,Productivity anomaly,Brandts cormorant,1
2001,0.485,Productivity anomaly,Brandts cormorant,1
2002,0.595,Productivity anomaly,Brandts cormorant,1
2003,-0.475,Productivity anomaly,Brandts cormorant,1
2004,0.725,Productivity anomaly,Brandts cormorant,1
2005,0.465,Productivity anomaly,Brandts cormorant,1
2006,0.565,Productivity anomaly,Brandts cormorant,1
2007,0.705,Productivity anomaly,Brandts cormorant,1
2008,-1.055,Productivity anomaly,Brandts cormorant,1
2009,-1.405,Productivity anomaly,Brandts cormorant,1
2010,-0.645,Productivity anomaly,Brandts cormorant,1
2011,-1.345,Productivity anomaly,Brandts cormorant,1
2012,-1.375,Productivity anomaly,Brandts cormorant,1
2013,1.025,Productivity anomaly,Brandts cormorant,1
2014,0.815,Productivity anomaly,Brandts cormorant,1
2015,0.315,Productivity anomaly,Brandts cormorant,1
2016,0.175,Productivity anomaly,Brandts cormorant,1
2017,0.505,Productivity anomaly,Brandts cormorant,1
2018,0.515,Productivity anomaly,Brandts cormorant,1
2019,0.465,Productivity anomaly,Brandts cormorant,1
2020,0.283,Productivity anomaly,Brandts cormorant,1
1971,0.018,Productivity anomaly,Cassins auklet,2
1972,0.018,Productivity anomaly,Cassins auklet,2
1973,0.108,Productivity anomaly,Cassins auklet,2
1974,-0.002,Productivity anomaly,Cassins auklet,2
1975,-0.022,Productivity anomaly,Cassins auklet,2
1976,-0.062,Productivity anomaly,Cassins auklet,2
1977,0.008,Productivity anomaly,Cassins auklet,2
1978,-0.042,Productivity anomaly,Cassins auklet,2
1979,0.148,Productivity anomaly,Cassins auklet,2
1980,-0.142,Productivity anomaly,Cassins auklet,2
1981,0.018,Productivity anomaly,Cassins auklet,2
1982,-0.042,Productivity anomaly,Cassins auklet,2
1983,-0.502,Productivity anomaly,Cassins auklet,2
1984,-0.002,Productivity anomaly,Cassins auklet,2
1985,-0.062,Productivity anomaly,Cassins auklet,2
1986,-0.002,Productivity anomaly,Cassins auklet,2
1987,-0.012,Productivity anomaly,Cassins auklet,2
1988,0.178,Productivity anomaly,Cassins auklet,2
1989,-0.152,Productivity anomaly,Cassins auklet,2
1990,-0.422,Productivity anomaly,Cassins auklet,2
1991,-0.172,Productivity anomaly,Cassins auklet,2
1992,-0.492,Productivity anomaly,Cassins auklet,2
1993,-0.162,Productivity anomaly,Cassins auklet,2
1994,0.258,Productivity anomaly,Cassins auklet,2
1995,-0.002,Productivity anomaly,Cassins auklet,2
1996,0.068,Productivity anomaly,Cassins auklet,2
1997,-0.192,Productivity anomaly,Cassins auklet,2
1998,0.048,Productivity anomaly,Cassins auklet,2
1999,0.088,Productivity anomaly,Cassins auklet,2
2000,0.088,Productivity anomaly,Cassins auklet,2
2001,0.308,Productivity anomaly,Cassins auklet,2
2002,0.438,Productivity anomaly,Cassins auklet,2
2003,0.158,Productivity anomaly,Cassins auklet,2
2004,-0.102,Productivity anomaly,Cassins auklet,2
2005,-0.742,Productivity anomaly,Cassins auklet,2
2006,-0.742,Productivity anomaly,Cassins auklet,2
2007,-0.382,Productivity anomaly,Cassins auklet,2
2008,-0.102,Productivity anomaly,Cassins auklet,2
2009,0.188,Productivity anomaly,Cassins auklet,2
2010,0.878,Productivity anomaly,Cassins auklet,2
2011,0.448,Productivity anomaly,Cassins auklet,2
2012,0.488,Productivity anomaly,Cassins auklet,2
2013,0.398,Productivity anomaly,Cassins auklet,2
2014,0.238,Productivity anomaly,Cassins auklet,2
2015,0.158,Productivity anomaly,Cassins auklet,2
2016,0.158,Productivity anomaly,Cassins auklet,2
2017,0.188,Productivity anomaly,Cassins auklet,2
2018,0.098,Productivity anomaly,Cassins auklet,2
2019,-0.612,Productivity anomaly,Cassins auklet,2
2020,0.404,Productivity anomaly,Cassins auklet,2
1972,0.065,Productivity anomaly,Common murre,3
1973,0.065,Productivity anomaly,Common murre,3
1974,0.195,Productivity anomaly,Common murre,3
1975,0.185,Productivity anomaly,Common murre,3
1976,0.035,Productivity anomaly,Common murre,3
1977,0.095,Productivity anomaly,Common murre,3
1978,-0.045,Productivity anomaly,Common murre,3
1979,0.135,Productivity anomaly,Common murre,3
1980,0.185,Productivity anomaly,Common murre,3
1981,0.175,Productivity anomaly,Common murre,3
1982,0.185,Productivity anomaly,Common murre,3
1983,-0.675,Productivity anomaly,Common murre,3
1984,0.015,Productivity anomaly,Common murre,3
1985,0.085,Productivity anomaly,Common murre,3
1986,0.015,Productivity anomaly,Common murre,3
1987,0.135,Productivity anomaly,Common murre,3
1988,0.175,Productivity anomaly,Common murre,3
1989,0.135,Productivity anomaly,Common murre,3
1990,0.105,Productivity anomaly,Common murre,3
1991,0.165,Productivity anomaly,Common murre,3
1992,-0.635,Productivity anomaly,Common murre,3
1993,0.035,Productivity anomaly,Common murre,3
1994,0.105,Productivity anomaly,Common murre,3
1995,0.115,Productivity anomaly,Common murre,3
1996,-0.105,Productivity anomaly,Common murre,3
1997,0.035,Productivity anomaly,Common murre,3
1998,-0.325,Productivity anomaly,Common murre,3
1999,0.105,Productivity anomaly,Common murre,3
2000,0.105,Productivity anomaly,Common murre,3
2001,0.095,Productivity anomaly,Common murre,3
2002,0.055,Productivity anomaly,Common murre,3
2003,0.005,Productivity anomaly,Common murre,3
2004,0.135,Productivity anomaly,Common murre,3
2005,-0.205,Productivity anomaly,Common murre,3
2006,-0.315,Productivity anomaly,Common murre,3
2007,0.105,Productivity anomaly,Common murre,3
2008,0.085,Productivity anomaly,Common murre,3
2009,-0.565,Productivity anomaly,Common murre,3
2010,0.165,Productivity anomaly,Common murre,3
2011,-0.005,Productivity anomaly,Common murre,3
2012,0.065,Productivity anomaly,Common murre,3
2013,0.105,Productivity anomaly,Common murre,3
2014,-0.045,Productivity anomaly,Common murre,3
2015,-0.155,Productivity anomaly,Common murre,3
2016,-0.265,Productivity anomaly,Common murre,3
2017,-0.135,Productivity anomaly,Common murre,3
2018,0.025,Productivity anomaly,Common murre,3
2019,-0.395,Productivity anomaly,Common murre,3
2020,-0.193,Productivity anomaly,Common murre,3
1971,0.562,Productivity anomaly,Pigeon guillemot,4
1972,0.082,Productivity anomaly,Pigeon guillemot,4
1973,-0.158,Productivity anomaly,Pigeon guillemot,4
1974,0.312,Productivity anomaly,Pigeon guillemot,4
1975,0.382,Productivity anomaly,Pigeon guillemot,4
1976,-0.248,Productivity anomaly,Pigeon guillemot,4
1977,0.732,Productivity anomaly,Pigeon guillemot,4
1978,-0.598,Productivity anomaly,Pigeon guillemot,4
1979,0.672,Productivity anomaly,Pigeon guillemot,4
1980,-0.058,Productivity anomaly,Pigeon guillemot,4
1981,0.492,Productivity anomaly,Pigeon guillemot,4
1982,-0.198,Productivity anomaly,Pigeon guillemot,4
1983,-0.798,Productivity anomaly,Pigeon guillemot,4
1984,0.262,Productivity anomaly,Pigeon guillemot,4
1985,0.442,Productivity anomaly,Pigeon guillemot,4
1986,-0.778,Productivity anomaly,Pigeon guillemot,4
1987,0.592,Productivity anomaly,Pigeon guillemot,4
1988,0.172,Productivity anomaly,Pigeon guillemot,4
1989,-0.308,Productivity anomaly,Pigeon guillemot,4
1990,-0.538,Productivity anomaly,Pigeon guillemot,4
1991,0.462,Productivity anomaly,Pigeon guillemot,4
1992,-0.488,Productivity anomaly,Pigeon guillemot,4
1993,-0.338,Productivity anomaly,Pigeon guillemot,4
1994,-0.308,Productivity anomaly,Pigeon guillemot,4
1995,0.052,Productivity anomaly,Pigeon guillemot,4
1996,-0.338,Productivity anomaly,Pigeon guillemot,4
1997,-0.118,Productivity anomaly,Pigeon guillemot,4
1998,-0.748,Productivity anomaly,Pigeon guillemot,4
1999,0.342,Productivity anomaly,Pigeon guillemot,4
2000,0.382,Productivity anomaly,Pigeon guillemot,4
2001,0.522,Productivity anomaly,Pigeon guillemot,4
2002,0.662,Productivity anomaly,Pigeon guillemot,4
2003,0.122,Productivity anomaly,Pigeon guillemot,4
2004,0.582,Productivity anomaly,Pigeon guillemot,4
2005,-0.378,Productivity anomaly,Pigeon guillemot,4
2006,-0.578,Productivity anomaly,Pigeon guillemot,4
2007,-0.368,Productivity anomaly,Pigeon guillemot,4
2008,-0.138,Productivity anomaly,Pigeon guillemot,4
2009,-0.088,Productivity anomaly,Pigeon guillemot,4
2010,0.462,Productivity anomaly,Pigeon guillemot,4
2011,-0.088,Productivity anomaly,Pigeon guillemot,4
2012,-0.128,Productivity anomaly,Pigeon guillemot,4
2013,0.222,Productivity anomaly,Pigeon guillemot,4
2014,0.372,Productivity anomaly,Pigeon guillemot,4
2015,-0.128,Productivity anomaly,Pigeon guillemot,4
2016,-0.488,Productivity anomaly,Pigeon guillemot,4
2017,-0.218,Productivity anomaly,Pigeon guillemot,4
2018,-0.248,Productivity anomaly,Pigeon guillemot,4
2019,-0.588,Productivity anomaly,Pigeon guillemot,4
2020,-0.057,Productivity anomaly,Pigeon guillemot,4
1986,-0.019,Productivity anomaly,Rhinoceros auklet,5
1987,-0.149,Productivity anomaly,Rhinoceros auklet,5
1988,0.351,Productivity anomaly,Rhinoceros auklet,5
1989,0.211,Productivity anomaly,Rhinoceros auklet,5
1990,-0.179,Productivity anomaly,Rhinoceros auklet,5
1991,-0.039,Productivity anomaly,Rhinoceros auklet,5
1992,0.161,Productivity anomaly,Rhinoceros auklet,5
1993,-0.119,Productivity anomaly,Rhinoceros auklet,5
1994,0.041,Productivity anomaly,Rhinoceros auklet,5
1995,-0.049,Productivity anomaly,Rhinoceros auklet,5
1996,-0.109,Productivity anomaly,Rhinoceros auklet,5
1997,-0.019,Productivity anomaly,Rhinoceros auklet,5
1998,-0.439,Productivity anomaly,Rhinoceros auklet,5
1999,0.041,Productivity anomaly,Rhinoceros auklet,5
2000,0.091,Productivity anomaly,Rhinoceros auklet,5
2001,0.071,Productivity anomaly,Rhinoceros auklet,5
2002,0.051,Productivity anomaly,Rhinoceros auklet,5
2003,-0.119,Productivity anomaly,Rhinoceros auklet,5
2004,0.041,Productivity anomaly,Rhinoceros auklet,5
2005,-0.239,Productivity anomaly,Rhinoceros auklet,5
2006,-0.149,Productivity anomaly,Rhinoceros auklet,5
2007,-0.039,Productivity anomaly,Rhinoceros auklet,5
2008,0.151,Productivity anomaly,Rhinoceros auklet,5
2009,0.031,Productivity anomaly,Rhinoceros auklet,5
2010,0.181,Productivity anomaly,Rhinoceros auklet,5
2011,-0.029,Productivity anomaly,Rhinoceros auklet,5
2012,-0.129,Productivity anomaly,Rhinoceros auklet,5
2013,0.081,Productivity anomaly,Rhinoceros auklet,5
2014,0.081,Productivity anomaly,Rhinoceros auklet,5
2015,0.051,Productivity anomaly,Rhinoceros auklet,5
2016,0.131,Productivity anomaly,Rhinoceros auklet,5
2017,0.071,Productivity anomaly,Rhinoceros auklet,5
2018,0.151,Productivity anomaly,Rhinoceros auklet,5
2019,-0.159,Productivity anomaly,Rhinoceros auklet,5
2020,-0.048,Productivity anomaly,Rhinoceros auklet,5
