year,index,SEup,SElo,timeseries,metric,population
2003,0.0530750619,0.0600217855,0.0461283383,Crab:Finfish ratio - Coastwide,Ratio,Coastwide
2004,0.0558761333,0.0625338327,0.049218434,Crab:Finfish ratio - Coastwide,Ratio,Coastwide
2005,0.127516619,0.1538656284,0.1011676097,Crab:Finfish ratio - Coastwide,Ratio,Coastwide
2006,0.088051517,0.1009480616,0.0751549724,Crab:Finfish ratio - Coastwide,Ratio,Coastwide
2007,0.0793587305,0.0889068462,0.0698106148,Crab:Finfish ratio - Coastwide,Ratio,Coastwide
2008,0.0951302548,0.1043988426,0.0858616669,Crab:Finfish ratio - Coastwide,Ratio,Coastwide
2009,0.18906839,0.2207833752,0.1573534049,Crab:Finfish ratio - Coastwide,Ratio,Coastwide
2010,0.2905046215,0.322592645,0.2584165979,Crab:Finfish ratio - Coastwide,Ratio,Coastwide
2011,0.2521266708,0.3067365316,0.1975168099,Crab:Finfish ratio - Coastwide,Ratio,Coastwide
2012,0.1520742871,0.1669173221,0.1372312522,Crab:Finfish ratio - Coastwide,Ratio,Coastwide
2013,0.1023151239,0.1143043459,0.090325902,Crab:Finfish ratio - Coastwide,Ratio,Coastwide
2014,0.1291176625,0.1472627325,0.1109725924,Crab:Finfish ratio - Coastwide,Ratio,Coastwide
2015,0.1931517981,0.2357349125,0.1505686838,Crab:Finfish ratio - Coastwide,Ratio,Coastwide
2016,0.1762284133,0.1934654687,0.1589913579,Crab:Finfish ratio - Coastwide,Ratio,Coastwide
2017,0.2050826931,0.2217529932,0.188412393,Crab:Finfish ratio - Coastwide,Ratio,Coastwide
2018,0.1461709951,0.1662180555,0.1261239347,Crab:Finfish ratio - Coastwide,Ratio,Coastwide
2003,0.0488503916,0.0562562297,0.0414445534,Crab:Finfish ratio - North,Ratio,North
2004,0.0546845021,0.0636719311,0.045697073,Crab:Finfish ratio - North,Ratio,North
2005,0.1735596899,0.2165391186,0.1305802613,Crab:Finfish ratio - North,Ratio,North
2006,0.1158807421,0.1379336329,0.0938278514,Crab:Finfish ratio - North,Ratio,North
2007,0.1011360815,0.11642089,0.085851273,Crab:Finfish ratio - North,Ratio,North
2008,0.0983291694,0.1103087013,0.0863496375,Crab:Finfish ratio - North,Ratio,North
2009,0.1525041786,0.1797074867,0.1253008705,Crab:Finfish ratio - North,Ratio,North
2010,0.3054334566,0.3527728503,0.258094063,Crab:Finfish ratio - North,Ratio,North
2011,0.3129660396,0.4040344245,0.2218976546,Crab:Finfish ratio - North,Ratio,North
2012,0.1730528885,0.1911901699,0.1549156072,Crab:Finfish ratio - North,Ratio,North
2013,0.1243576007,0.1411544667,0.1075607346,Crab:Finfish ratio - North,Ratio,North
2014,0.1636482356,0.1933282131,0.1339682581,Crab:Finfish ratio - North,Ratio,North
2015,0.2159229688,0.2784305299,0.1534154078,Crab:Finfish ratio - North,Ratio,North
2016,0.214419492,0.2402190643,0.1886199196,Crab:Finfish ratio - North,Ratio,North
2017,0.2654612149,0.2918120206,0.2391104092,Crab:Finfish ratio - North,Ratio,North
2018,0.1746015483,0.2062298333,0.1429732632,Crab:Finfish ratio - North,Ratio,North
2003,0.0621874124,0.0765509711,0.0478238537,Crab:Finfish ratio - South,Ratio,South
2004,0.0580195133,0.0680276325,0.0480113941,Crab:Finfish ratio - South,Ratio,South
2005,0.0412854594,0.053404372,0.0291665468,Crab:Finfish ratio - South,Ratio,South
2006,0.0396993872,0.044323726,0.0350750484,Crab:Finfish ratio - South,Ratio,South
2007,0.0359838146,0.0405889771,0.031378652,Crab:Finfish ratio - South,Ratio,South
2008,0.0899169504,0.1046923274,0.0751415735,Crab:Finfish ratio - South,Ratio,South
2009,0.2488657417,0.3135032669,0.1842282166,Crab:Finfish ratio - South,Ratio,South
2010,0.266268417,0.3075407595,0.2249960745,Crab:Finfish ratio - South,Ratio,South
2011,0.149583094,0.1865549833,0.1126112046,Crab:Finfish ratio - South,Ratio,South
2012,0.1187802892,0.1436942389,0.0938663395,Crab:Finfish ratio - South,Ratio,South
2013,0.0574985446,0.0727131638,0.0422839254,Crab:Finfish ratio - South,Ratio,South
2014,0.0664890057,0.0796822943,0.053295717,Crab:Finfish ratio - South,Ratio,South
2015,0.1568943187,0.213384732,0.1004039054,Crab:Finfish ratio - South,Ratio,South
2016,0.1115573957,0.1320985526,0.0910162387,Crab:Finfish ratio - South,Ratio,South
2017,0.0978651045,0.1115872935,0.0841429155,Crab:Finfish ratio - South,Ratio,South
2018,0.0990479058,0.1201953613,0.0779004504,Crab:Finfish ratio - South,Ratio,South
