"Location","Species","Date2","DA"
"WA Coast","Razor clam",1989-11-15,20
"WA Coast","Dungeness crab",1990-01-15,1
"WA Coast","Razor clam",1990-04-15,13
"WA Coast","Razor clam",1990-10-15,16
"WA Coast","Razor clam",1991-04-15,1
"WA Coast","Razor clam",1991-05-15,3
"WA Coast","Razor clam",1991-06-15,5
"WA Coast","Razor clam",1991-10-15,66
"WA Coast","Dungeness crab",1991-11-15,22
"WA Coast","Razor clam",1991-11-15,100
"WA Coast","Dungeness crab",1991-12-15,39
"WA Coast","Razor clam",1991-12-15,61
"WA Coast","Dungeness crab",1992-01-15,38
"WA Coast","Razor clam",1992-01-15,47
"WA Coast","Dungeness crab",1992-02-15,35
"WA Coast","Razor clam",1992-02-15,63
"WA Coast","Razor clam",1992-03-15,66
"WA Coast","Razor clam",1992-04-15,47
"WA Coast","Razor clam",1992-05-15,14
"WA Coast","Razor clam",1992-06-15,11
"WA Coast","Dungeness crab",1992-07-15,2
"WA Coast","Razor clam",1992-07-15,8
"WA Coast","Razor clam",1992-08-15,14
"WA Coast","Razor clam",1992-09-15,22
"WA Coast","Dungeness crab",1992-10-15,2
"WA Coast","Razor clam",1992-10-15,25
"WA Coast","Dungeness crab",1992-11-15,11
"WA Coast","Razor clam",1992-11-15,20
"WA Coast","Razor clam",1992-12-15,14
"WA Coast","Razor clam",1993-01-15,13
"WA Coast","Razor clam",1993-02-15,22
"WA Coast","Dungeness crab",1993-03-15,5
"WA Coast","Razor clam",1993-03-15,12
"WA Coast","Razor clam",1993-04-15,17
"WA Coast","Razor clam",1993-05-15,12
"WA Coast","Razor clam",1993-06-15,6
"WA Coast","Razor clam",1993-07-15,3
"WA Coast","Razor clam",1993-08-15,3
"WA Coast","Razor clam",1993-09-15,2
"WA Coast","Dungeness crab",1993-10-15,2
"WA Coast","Razor clam",1993-10-15,6
"WA Coast","Dungeness crab",1993-11-15,6
"WA Coast","Razor clam",1993-11-15,23
"WA Coast","Dungeness crab",1993-12-15,13
"WA Coast","Razor clam",1993-12-15,19
"WA Coast","Dungeness crab",1994-01-15,7
"WA Coast","Razor clam",1994-01-15,28
"WA Coast","Dungeness crab",1994-02-15,10
"WA Coast","Razor clam",1994-02-15,22
"WA Coast","Razor clam",1994-03-15,23
"WA Coast","Razor clam",1994-04-15,10
