year,data,metric,timeseries
1978,3.425579561,ln abundance,Engraulis.mordax
1981,4.285273144,ln abundance,Engraulis.mordax
1983,2.525768424,ln abundance,Engraulis.mordax
1984,3.256248913,ln abundance,Engraulis.mordax
1985,1.887539972,ln abundance,Engraulis.mordax
1986,3.304821918,ln abundance,Engraulis.mordax
1987,3.118548722,ln abundance,Engraulis.mordax
1988,2.533206827,ln abundance,Engraulis.mordax
1989,1.498804874,ln abundance,Engraulis.mordax
1990,4.133512519,ln abundance,Engraulis.mordax
1991,3.232829714,ln abundance,Engraulis.mordax
1992,2.160248728,ln abundance,Engraulis.mordax
1993,1.962740656,ln abundance,Engraulis.mordax
1994,2.414246127,ln abundance,Engraulis.mordax
1995,2.08699065,ln abundance,Engraulis.mordax
1996,2.192948263,ln abundance,Engraulis.mordax
1997,1.285792962,ln abundance,Engraulis.mordax
1998,2.288534463,ln abundance,Engraulis.mordax
1999,1.65786071,ln abundance,Engraulis.mordax
2000,1.878933265,ln abundance,Engraulis.mordax
2001,1.489813205,ln abundance,Engraulis.mordax
2002,2.008764419,ln abundance,Engraulis.mordax
2003,0.734220192,ln abundance,Engraulis.mordax
2004,1.380541319,ln abundance,Engraulis.mordax
2005,3.719707073,ln abundance,Engraulis.mordax
2006,1.637328888,ln abundance,Engraulis.mordax
2007,1.08086585,ln abundance,Engraulis.mordax
2008,0.850528773,ln abundance,Engraulis.mordax
2009,0.487780494,ln abundance,Engraulis.mordax
2010,0.038373056,ln abundance,Engraulis.mordax
2011,0.139717325,ln abundance,Engraulis.mordax
2012,0.076310202,ln abundance,Engraulis.mordax
2013,0.104908279,ln abundance,Engraulis.mordax
2014,1.973657817,ln abundance,Engraulis.mordax
2015,0.697656867,ln abundance,Engraulis.mordax
2016,1.793442944,ln abundance,Engraulis.mordax
2017,3.071075992,ln abundance,Engraulis.mordax
2018,3.338475734,ln abundance,Engraulis.mordax
2019,4.627174821,ln abundance,Engraulis.mordax
1978,0.062803066,ln abundance,Sardinops.sagax
1981,0.069771951,ln abundance,Sardinops.sagax
1983,0,ln abundance,Sardinops.sagax
1984,0,ln abundance,Sardinops.sagax
1985,0.173957818,ln abundance,Sardinops.sagax
1986,0.431574122,ln abundance,Sardinops.sagax
1987,0.253025684,ln abundance,Sardinops.sagax
1988,0.583060191,ln abundance,Sardinops.sagax
1989,0.656656803,ln abundance,Sardinops.sagax
1990,0.175247381,ln abundance,Sardinops.sagax
1991,1.877140027,ln abundance,Sardinops.sagax
1992,0.46370361,ln abundance,Sardinops.sagax
1993,0.882700316,ln abundance,Sardinops.sagax
1994,1.658327613,ln abundance,Sardinops.sagax
1995,1.807888001,ln abundance,Sardinops.sagax
1996,2.019497836,ln abundance,Sardinops.sagax
1997,3.332337893,ln abundance,Sardinops.sagax
1998,2.779046465,ln abundance,Sardinops.sagax
1999,2.774142641,ln abundance,Sardinops.sagax
2000,2.02684275,ln abundance,Sardinops.sagax
2001,2.191151509,ln abundance,Sardinops.sagax
2002,2.500230806,ln abundance,Sardinops.sagax
2003,2.447780961,ln abundance,Sardinops.sagax
2004,0.633380528,ln abundance,Sardinops.sagax
2005,2.791571834,ln abundance,Sardinops.sagax
2006,1.760845074,ln abundance,Sardinops.sagax
2007,2.325803968,ln abundance,Sardinops.sagax
2008,2.153825895,ln abundance,Sardinops.sagax
2009,2.1752894,ln abundance,Sardinops.sagax
2010,0.636378941,ln abundance,Sardinops.sagax
2011,1.904551332,ln abundance,Sardinops.sagax
2012,0.039455545,ln abundance,Sardinops.sagax
2013,0.504854444,ln abundance,Sardinops.sagax
2014,0.305589385,ln abundance,Sardinops.sagax
2015,0.081301723,ln abundance,Sardinops.sagax
2016,0,ln abundance,Sardinops.sagax
2017,0.417452371,ln abundance,Sardinops.sagax
2018,0.483340281,ln abundance,Sardinops.sagax
2019,0.261867194,ln abundance,Sardinops.sagax
1978,3.424698668,ln abundance,Merluccius.productus
1981,2.98361481,ln abundance,Merluccius.productus
1983,0.95732705,ln abundance,Merluccius.productus
1984,1.170803033,ln abundance,Merluccius.productus
1985,0.381206349,ln abundance,Merluccius.productus
1986,0.495663327,ln abundance,Merluccius.productus
1987,0.646202606,ln abundance,Merluccius.productus
1988,0.280230261,ln abundance,Merluccius.productus
1989,0.493440395,ln abundance,Merluccius.productus
1990,3.345792205,ln abundance,Merluccius.productus
1991,2.526576377,ln abundance,Merluccius.productus
1992,0.767360762,ln abundance,Merluccius.productus
1993,0.970650461,ln abundance,Merluccius.productus
1994,2.089775837,ln abundance,Merluccius.productus
1995,1.322000348,ln abundance,Merluccius.productus
1996,1.428280311,ln abundance,Merluccius.productus
1997,1.490768257,ln abundance,Merluccius.productus
1998,0.970700504,ln abundance,Merluccius.productus
1999,1.715127396,ln abundance,Merluccius.productus
2000,2.156256742,ln abundance,Merluccius.productus
2001,1.474975106,ln abundance,Merluccius.productus
2002,2.325421704,ln abundance,Merluccius.productus
2003,1.093528524,ln abundance,Merluccius.productus
2004,1.752996961,ln abundance,Merluccius.productus
2005,2.046633045,ln abundance,Merluccius.productus
2006,1.145342947,ln abundance,Merluccius.productus
2007,0.47605596,ln abundance,Merluccius.productus
