year,index,SD,timeseries,metric
2007-11-08,14.32658893,1.439682741,Krill length,Carapace length (mm)
2007-12-11,15.1760092,1.480589161,Krill length,Carapace length (mm)
2008-02-17,14.07384146,1.59619486,Krill length,Carapace length (mm)
2008-03-05,14.10253697,1.47984724,Krill length,Carapace length (mm)
2008-04-22,NA,NA,Krill length,Carapace length (mm)
2008-05-16,16.0810623,2.033698055,Krill length,Carapace length (mm)
2008-06-20,17.27011113,2.139386191,Krill length,Carapace length (mm)
2008-09-16,13.32185124,1.809027464,Krill length,Carapace length (mm)
2008-10-28,15.2819526,1.673498773,Krill length,Carapace length (mm)
2009-01-14,14.44075982,1.584571163,Krill length,Carapace length (mm)
2009-02-17,13.02909312,1.42643453,Krill length,Carapace length (mm)
2009-03-19,13.12167806,1.231786509,Krill length,Carapace length (mm)
2009-04-12,15.15071694,1.375030448,Krill length,Carapace length (mm)
2009-04-21,16.28428074,1.428478858,Krill length,Carapace length (mm)
2009-06-01,15.93157006,1.646381054,Krill length,Carapace length (mm)
2009-08-04,16.39230658,1.981170767,Krill length,Carapace length (mm)
2009-09-14,12.45387146,2.661832444,Krill length,Carapace length (mm)
2009-10-29,11.30176983,1.466976238,Krill length,Carapace length (mm)
2010-01-31,12.78873246,1.076305917,Krill length,Carapace length (mm)
2010-02-18,12.55878016,1.655386751,Krill length,Carapace length (mm)
2010-04-13,10.11933333,1.184404641,Krill length,Carapace length (mm)
2010-07-14,NA,NA,Krill length,Carapace length (mm)
2010-12-10,10.75909114,1.852111753,Krill length,Carapace length (mm)
2011-01-29,NA,NA,Krill length,Carapace length (mm)
2011-02-20,10.88991202,1.272546454,Krill length,Carapace length (mm)
2011-04-16,11.56411765,2.715464731,Krill length,Carapace length (mm)
2011-05-27,14.98610558,2.470508778,Krill length,Carapace length (mm)
2011-06-28,15.30820018,2.562534553,Krill length,Carapace length (mm)
2011-07-14,14.1338182,2.571249615,Krill length,Carapace length (mm)
2011-08-02,15.7513065,1.543301469,Krill length,Carapace length (mm)
2011-09-12,11.56438548,1.562177312,Krill length,Carapace length (mm)
2011-09-29,11.86,0,Krill length,Carapace length (mm)
2011-10-10,10.26812108,1.290378648,Krill length,Carapace length (mm)
2011-10-30,NA,NA,Krill length,Carapace length (mm)
2011-11-15,10.51827247,1.176313565,Krill length,Carapace length (mm)
2011-12-06,10.28692907,1.104534407,Krill length,Carapace length (mm)
2012-01-29,11.10403923,1.011924828,Krill length,Carapace length (mm)
2012-02-21,12.44246901,1.057380728,Krill length,Carapace length (mm)
2012-03-08,13.16092188,1.232556072,Krill length,Carapace length (mm)
2012-04-05,13.29207488,1.107671288,Krill length,Carapace length (mm)
2012-04-19,12.09101093,1.570048668,Krill length,Carapace length (mm)
2012-05-22,14.71104352,0.997159504,Krill length,Carapace length (mm)
2012-06-05,14.35065328,2.389939619,Krill length,Carapace length (mm)
2012-06-24,11.63647341,1.415944535,Krill length,Carapace length (mm)
2012-08-04,14.53742607,1.987235764,Krill length,Carapace length (mm)
2012-09-06,11.59852981,1.574803414,Krill length,Carapace length (mm)
2012-09-21,12.62247603,1.601590364,Krill length,Carapace length (mm)
2012-10-22,12.968125,2.590313285,Krill length,Carapace length (mm)
2012-11-26,11.17889906,1.748240107,Krill length,Carapace length (mm)
2012-12-14,9.572058824,1.35395667,Krill length,Carapace length (mm)
2013-01-16,11.36442088,2.287031897,Krill length,Carapace length (mm)
2013-02-15,11.02495418,2.12278455,Krill length,Carapace length (mm)
2013-03-11,11.95359447,0.931609971,Krill length,Carapace length (mm)
2013-05-02,16.90714286,1.655513156,Krill length,Carapace length (mm)
2013-05-06,14.86292001,2.22194345,Krill length,Carapace length (mm)
2013-05-13,14.44764938,2.778175807,Krill length,Carapace length (mm)
2013-05-29,14.60929301,1.730573593,Krill length,Carapace length (mm)
2013-06-18,15.94451416,2.090364198,Krill length,Carapace length (mm)
2013-06-26,15.862101,2.525066907,Krill length,Carapace length (mm)
2013-07-17,15.86815965,1.902222043,Krill length,Carapace length (mm)
2013-07-23,13.51793626,2.301997563,Krill length,Carapace length (mm)
2013-08-05,14.23926349,2.266858677,Krill length,Carapace length (mm)
2013-08-26,13.9135848,2.115524377,Krill length,Carapace length (mm)
2013-09-12,14.63727769,1.63341869,Krill length,Carapace length (mm)
2013-10-15,14.85477953,1.598229089,Krill length,Carapace length (mm)
2013-10-24,12.61388823,2.235173672,Krill length,Carapace length (mm)
2013-11-12,14.27285714,1.711478058,Krill length,Carapace length (mm)
2014-01-02,11.22842588,2.110294922,Krill length,Carapace length (mm)
2014-01-16,11.47939832,1.779736418,Krill length,Carapace length (mm)
2014-02-24,11.63969336,1.003478685,Krill length,Carapace length (mm)
2014-04-02,14.19475788,1.591218517,Krill length,Carapace length (mm)
2014-04-28,15.57625536,1.300157645,Krill length,Carapace length (mm)
2014-06-12,15.33681013,2.000453904,Krill length,Carapace length (mm)
2014-07-15,13.11929313,3.478716391,Krill length,Carapace length (mm)
2014-08-28,10.20625,3.87445457,Krill length,Carapace length (mm)
2014-09-16,8.455313178,1.801259416,Krill length,Carapace length (mm)
2014-10-27,9.182406046,1.012706108,Krill length,Carapace length (mm)
2014-12-03,9.33,0,Krill length,Carapace length (mm)
2015-01-05,8.652745461,0.825510599,Krill length,Carapace length (mm)
2015-01-13,9.035608864,0.820680242,Krill length,Carapace length (mm)
2015-02-13,10.95423188,0.5080545,Krill length,Carapace length (mm)
2015-03-10,12.86777159,0.920328944,Krill length,Carapace length (mm)
2015-04-27,11.62449393,2.124867305,Krill length,Carapace length (mm)
2015-05-13,12.42628715,3.095777361,Krill length,Carapace length (mm)
2015-07-02,10.62969674,2.221573143,Krill length,Carapace length (mm)
2015-08-02,8.956254839,1.104833432,Krill length,Carapace length (mm)
2015-08-11,10.26127141,2.163423527,Krill length,Carapace length (mm)
2015-09-15,8.917614719,1.590637166,Krill length,Carapace length (mm)
2015-10-19,10.70504575,1.605489023,Krill length,Carapace length (mm)
2015-11-22,9.762885256,1.227477167,Krill length,Carapace length (mm)
2016-01-24,9.654615385,1.268593649,Krill length,Carapace length (mm)
2016-02-09,9.626,1.694481445,Krill length,Carapace length (mm)
2016-03-18,10.18867347,2.04131608,Krill length,Carapace length (mm)
2016-04-19,11.03789314,2.481594289,Krill length,Carapace length (mm)
2016-05-12,10.02503753,2.22972171,Krill length,Carapace length (mm)
2016-06-14,11.16757436,1.832593648,Krill length,Carapace length (mm)
2016-07-18,11.44786056,2.586941487,Krill length,Carapace length (mm)
2016-08-29,10.25747012,1.99031329,Krill length,Carapace length (mm)
2016-09-14,10.38557722,1.514672109,Krill length,Carapace length (mm)
2016-11-21,9.851384821,1.491524098,Krill length,Carapace length (mm)
2016-12-13,10.19903869,1.421496236,Krill length,Carapace length (mm)
2017-01-27,11.18984624,1.414575429,Krill length,Carapace length (mm)
2017-02-13,12.1473124,1.105186924,Krill length,Carapace length (mm)
2017-04-04,9.67951844,1.847956603,Krill length,Carapace length (mm)
2017-04-25,11.99957516,2.777088478,Krill length,Carapace length (mm)
2017-05-30,12.57749141,1.992088576,Krill length,Carapace length (mm)
2017-07-05,12.68082697,1.402226096,Krill length,Carapace length (mm)
2017-09-05,13.33616316,2.023953609,Krill length,Carapace length (mm)
2017-10-04,13.38202425,2.558428267,Krill length,Carapace length (mm)
2017-12-05,10.7802,1.727695752,Krill length,Carapace length (mm)
2018-02-08,11.63640149,1.532400401,Krill length,Carapace length (mm)
2018-03-06,12.76790275,1.143767337,Krill length,Carapace length (mm)
2018-04-25,15.14781943,1.508957252,Krill length,Carapace length (mm)
2018-06-19,14.68495007,2.822466592,Krill length,Carapace length (mm)
2018-07-23,14.12004707,2.418494193,Krill length,Carapace length (mm)
2018-08-30,14.45405455,1.618463912,Krill length,Carapace length (mm)
2018-09-26,12.85399594,2.049134049,Krill length,Carapace length (mm)
2018-10-23,11.43648918,2.236442705,Krill length,Carapace length (mm)
