year,index,sd.w,n,SDup,SDlo,se,SEup,SElo,CLup,CLlo,timeseries,metric
2003,0.222888132,0.305039984,546,0.527928116,0.527928116,0.013054506,0.235942638,0.209833626,0.248474964,0.1973013,Scavenger ratio - Coastwide,Ratio
2004,0.196227426,0.265525412,474,0.461752838,0.461752838,0.012195986,0.208423412,0.18403144,0.220131559,0.172323293,Scavenger ratio - Coastwide,Ratio
2005,0.218525998,0.274037971,636,0.49256397,0.49256397,0.010866312,0.229392311,0.207659686,0.23982397,0.197228026,Scavenger ratio - Coastwide,Ratio
2006,0.217768855,0.284581548,643,0.502350403,0.502350403,0.011222801,0.228991656,0.206546054,0.239765544,0.195772166,Scavenger ratio - Coastwide,Ratio
2007,0.215276566,0.281426653,688,0.496703219,0.496703219,0.010729291,0.226005856,0.204547275,0.236305975,0.194247156,Scavenger ratio - Coastwide,Ratio
2008,0.216709656,0.281911279,676,0.498620936,0.498620936,0.010842742,0.227552398,0.205866915,0.23796143,0.195457883,Scavenger ratio - Coastwide,Ratio
2009,0.238129385,0.27885668,682,0.516986065,0.516986065,0.010677974,0.248807359,0.227451411,0.259058214,0.217200556,Scavenger ratio - Coastwide,Ratio
2010,0.273198465,0.290722541,713,0.563921007,0.563921007,0.010887645,0.28408611,0.262310821,0.294538249,0.251858682,Scavenger ratio - Coastwide,Ratio
2011,0.257828583,0.274271266,694,0.532099849,0.532099849,0.010411195,0.268239778,0.247417388,0.278234525,0.237422641,Scavenger ratio - Coastwide,Ratio
2012,0.247458568,0.275749993,695,0.523208561,0.523208561,0.010459793,0.257918361,0.236998774,0.267959763,0.226957373,Scavenger ratio - Coastwide,Ratio
2013,0.208467619,0.267589231,469,0.47605685,0.47605685,0.012356123,0.220823741,0.196111496,0.232685619,0.184249618,Scavenger ratio - Coastwide,Ratio
2014,0.215424877,0.279595329,684,0.495020206,0.495020206,0.010690595,0.226115472,0.204734282,0.236378442,0.194471312,Scavenger ratio - Coastwide,Ratio
2015,0.225617602,0.282164218,672,0.507781819,0.507781819,0.010884721,0.236502323,0.214732881,0.246951655,0.204283548,Scavenger ratio - Coastwide,Ratio
2016,0.257163417,0.28608496,673,0.543248377,0.543248377,0.011027765,0.268191182,0.246135652,0.278777836,0.235548998,Scavenger ratio - Coastwide,Ratio
2003,0.209713119,0.302769816,334,0.512482935,0.512482935,0.016566827,0.226279946,0.193146292,0.242184101,0.177242138,Scavenger ratio - North,Ratio
2004,0.151697622,0.235277132,254,0.386974754,0.386974754,0.0147626,0.166460222,0.136935021,0.180632318,0.122762925,Scavenger ratio - North,Ratio
2005,0.190397736,0.259647597,352,0.450045332,0.450045332,0.013839263,0.204236999,0.176558472,0.217522692,0.163272779,Scavenger ratio - North,Ratio
2006,0.174915274,0.256030871,335,0.430946145,0.430946145,0.013988461,0.188903735,0.160926813,0.202332657,0.147497891,Scavenger ratio - North,Ratio
