"year","index","SEup","SElo","timeseries","metric"
2003,31.8444667942104,34.266557560914,29.4223760275067,"Spp Richness Coastwide","No spp per 5020 indiv"
2004,32.6241729691121,33.9807896445504,31.2675562936738,"Spp Richness Coastwide","No spp per 5020 indiv"
2005,33.576113480627,35.77528111249,31.3769458487639,"Spp Richness Coastwide","No spp per 5020 indiv"
2006,35.3912861820437,37.4569033902131,33.3256689738744,"Spp Richness Coastwide","No spp per 5020 indiv"
2007,35.2792151181823,36.8481421275714,33.7102881087931,"Spp Richness Coastwide","No spp per 5020 indiv"
2008,35.1621372937666,37.1731794910771,33.1510950964561,"Spp Richness Coastwide","No spp per 5020 indiv"
2009,36.9757803232257,38.787200028372,35.1643606180793,"Spp Richness Coastwide","No spp per 5020 indiv"
2010,36.7625501560891,38.540172503057,34.9849278091211,"Spp Richness Coastwide","No spp per 5020 indiv"
2011,35.7290418961754,37.8346922393786,33.6233915529722,"Spp Richness Coastwide","No spp per 5020 indiv"
2012,33.2306372833754,34.9973758501397,31.4638987166111,"Spp Richness Coastwide","No spp per 5020 indiv"
2013,33.0279036865088,34.6061291213615,31.4496782516562,"Spp Richness Coastwide","No spp per 5020 indiv"
2014,34.61513680737,36.0197544079321,33.210519206808,"Spp Richness Coastwide","No spp per 5020 indiv"
2015,37.2578452449159,39.3713500267841,35.1443404630476,"Spp Richness Coastwide","No spp per 5020 indiv"
2016,34.1566241985256,35.5601700085497,32.7530783885015,"Spp Richness Coastwide","No spp per 5020 indiv"
2017,34.823802540177,36.6933153765523,32.9542897038017,"Spp Richness Coastwide","No spp per 5020 indiv"
2018,33.9063006351349,35.608632348558,32.2039689217118,"Spp Richness Coastwide","No spp per 5020 indiv"
2003,44.6679333256327,47.7004659959417,41.6354006553236,"Spp Density Coastwide","No spp per  11 trawls"
2004,43.670916973237,46.1246306928774,41.2172032535966,"Spp Density Coastwide","No spp per  11 trawls"
2005,44.2393123284757,46.3728437369428,42.1057809200086,"Spp Density Coastwide","No spp per  11 trawls"
2006,44.3857278262802,46.4885610032064,42.282894649354,"Spp Density Coastwide","No spp per  11 trawls"
2007,42.6000253978266,44.701599534291,40.4984512613621,"Spp Density Coastwide","No spp per  11 trawls"
2008,42.674390033281,45.2090832146864,40.1396968518757,"Spp Density Coastwide","No spp per  11 trawls"
