year,index,metric,CV,series_name
2003,29980.13565,Abundance index,0.235801137,Spotted ratfish
2004,22119.27567,Abundance index,0.199244733,Spotted ratfish
2005,39347.05969,Abundance index,0.381424873,Spotted ratfish
2006,20958.86296,Abundance index,0.203242027,Spotted ratfish
2007,26108.34037,Abundance index,0.185632005,Spotted ratfish
2008,24047.2674,Abundance index,0.138499735,Spotted ratfish
2009,18172.98102,Abundance index,0.127149901,Spotted ratfish
2010,17014.17923,Abundance index,0.126325853,Spotted ratfish
2011,24490.08332,Abundance index,0.195865984,Spotted ratfish
2012,72155.76725,Abundance index,0.355325101,Spotted ratfish
2013,25001.40983,Abundance index,0.123718199,Spotted ratfish
2014,40445.56142,Abundance index,0.325241171,Spotted ratfish
2015,32493.12142,Abundance index,0.304884032,Spotted ratfish
2003,47995.61036,Abundance index,0.079237842,Longnose skate
2004,54672.88199,Abundance index,0.071887947,Longnose skate
2005,48744.46321,Abundance index,0.061548927,Longnose skate
2006,53898.49562,Abundance index,0.083271581,Longnose skate
2007,51019.16485,Abundance index,0.052318259,Longnose skate
2008,54702.62178,Abundance index,0.063040226,Longnose skate
2009,48511.63431,Abundance index,0.070158993,Longnose skate
2010,55865.38637,Abundance index,0.071824143,Longnose skate
2011,52281.20491,Abundance index,0.062900734,Longnose skate
2012,55690.94867,Abundance index,0.061903789,Longnose skate
2013,60361.57575,Abundance index,0.103956565,Longnose skate
2014,54410.3709,Abundance index,0.056255922,Longnose skate
2015,54060.87728,Abundance index,0.05982265,Longnose skate
