year,index,metric,CV,series_name
2003,44127.14081,Abundance index,0.245854851,Arrowtooth flounder
2004,35960.46386,Abundance index,0.209976576,Arrowtooth flounder
2005,42154.89522,Abundance index,0.123870822,Arrowtooth flounder
2006,44570.08593,Abundance index,0.337978963,Arrowtooth flounder
2007,34006.77516,Abundance index,0.11174728,Arrowtooth flounder
2008,37056.45755,Abundance index,0.101694756,Arrowtooth flounder
2009,51416.22001,Abundance index,0.124374038,Arrowtooth flounder
2010,52163.88681,Abundance index,0.122933698,Arrowtooth flounder
2011,56857.84316,Abundance index,0.103085937,Arrowtooth flounder
2012,55239.45851,Abundance index,0.199419265,Arrowtooth flounder
2013,60916.85599,Abundance index,0.253302983,Arrowtooth flounder
2014,69198.41175,Abundance index,0.187479249,Arrowtooth flounder
2015,39054.86724,Abundance index,0.118689083,Arrowtooth flounder
2003,17967.57042,Abundance index,0.120979958,English sole
2004,23527.22001,Abundance index,0.112372084,English sole
2005,15806.49304,Abundance index,0.091396923,English sole
2006,10468.27386,Abundance index,0.199352195,English sole
2007,8928.11697,Abundance index,0.107265937,English sole
2008,7494.67427,Abundance index,0.126701209,English sole
2009,8018.63772,Abundance index,0.114442051,English sole
2010,9214.12844,Abundance index,0.101050303,English sole
2011,9298.57659,Abundance index,0.081699882,English sole
2012,10563.26248,Abundance index,0.106804373,English sole
2013,13768.06299,Abundance index,0.104620754,English sole
2014,17249.9961,Abundance index,0.09377048,English sole
2015,16994.92376,Abundance index,0.097701435,English sole
2003,4126.92822,Abundance index,0.26814943,Flathead sole
2004,1813.6117,Abundance index,0.232832828,Flathead sole
2005,1830.74418,Abundance index,0.34475774,Flathead sole
2006,1255.52516,Abundance index,0.384617106,Flathead sole
2007,297.12262,Abundance index,0.262237415,Flathead sole
2008,323.04073,Abundance index,0.482397831,Flathead sole
2009,435.01052,Abundance index,0.241537759,Flathead sole
2010,740.3053,Abundance index,0.20779998,Flathead sole
2011,1334.88124,Abundance index,0.253777698,Flathead sole
2012,611.51844,Abundance index,0.2512262,Flathead sole
2013,1218.56812,Abundance index,0.352135454,Flathead sole
2014,2046.58708,Abundance index,0.180324228,Flathead sole
2015,4469.30763,Abundance index,0.173002708,Flathead sole
2003,138590.0216,Abundance index,0.493309932,Pacific sanddab
2004,63270.4959,Abundance index,0.214506709,Pacific sanddab
2005,45748.22063,Abundance index,0.105783557,Pacific sanddab
2006,48453.0195,Abundance index,0.245945166,Pacific sanddab
2007,31536.83084,Abundance index,0.163357798,Pacific sanddab
2008,50190.2585,Abundance index,0.115914193,Pacific sanddab
2009,75157.14241,Abundance index,0.196487361,Pacific sanddab
2010,77437.56618,Abundance index,0.173991581,Pacific sanddab
2011,69274.47858,Abundance index,0.176026509,Pacific sanddab
2012,85023.36557,Abundance index,0.124566102,Pacific sanddab
2013,118139.1095,Abundance index,0.180095736,Pacific sanddab
2014,108359.6032,Abundance index,0.186685121,Pacific sanddab
2015,67003.54791,Abundance index,0.132239155,Pacific sanddab
