year,index,metric,CV,series_name,,,,
2003,107301.2103,Abundance index,0.381856998,Chilipepper,,,,
2004,80667.69539,Abundance index,0.34941951,Chilipepper,,,,
2005,117788.5499,Abundance index,0.581313123,Chilipepper,,,,
2006,70161.64798,Abundance index,0.436996264,Chilipepper,,,,
2007,61660.1194,Abundance index,0.355232526,Chilipepper,,,,
2008,29389.97312,Abundance index,0.321532253,Chilipepper,,,,
2009,19788.75697,Abundance index,0.384741853,Chilipepper,,,,
2010,10936.42739,Abundance index,0.252807287,Chilipepper,,,,
2011,42831.93552,Abundance index,0.489839754,Chilipepper,,,,
2012,36303.23763,Abundance index,0.371034503,Chilipepper,,,,
2013,41741.66122,Abundance index,0.289096535,Chilipepper,,,,
2014,74922.07805,Abundance index,0.614380035,Chilipepper,,,,
2015,31245.35532,Abundance index,0.300638591,Chilipepper,,,,
2003,54677.0589,Abundance index,0.573916609,Shortbelly rockfish,,,,
2004,45867.1561,Abundance index,0.367593715,Shortbelly rockfish,,,,
2005,65874.3436,Abundance index,0.415784727,Shortbelly rockfish,,,,
2006,11316.90314,Abundance index,0.466349014,Shortbelly rockfish,,,,
2007,3155.30234,Abundance index,0.414213757,Shortbelly rockfish,,,,
2008,13973.14308,Abundance index,0.874527268,Shortbelly rockfish,,,,
2009,14460.60076,Abundance index,0.795255,Shortbelly rockfish,,,,
2010,12402.49884,Abundance index,0.474447822,Shortbelly rockfish,,,,
2011,13107.25528,Abundance index,0.643584048,Shortbelly rockfish,,,,
2012,11151.51676,Abundance index,0.39289593,Shortbelly rockfish,,,,
2013,6398.22336,Abundance index,0.410845179,Shortbelly rockfish,,,,
2014,5961.80638,Abundance index,0.385442818,Shortbelly rockfish,,,,
2015,21546.30994,Abundance index,0.528304102,Shortbelly rockfish,,,,
2003,,Abundance index,,Redstripe rockfish,,,,
2004,,Abundance index,,Redstripe rockfish,,,,
2005,,Abundance index,,Redstripe rockfish,,,,
2006,,Abundance index,,Redstripe rockfish,,,,
2007,,Abundance index,,Redstripe rockfish,,,,
2008,,Abundance index,,Redstripe rockfish,,,,
2009,,Abundance index,,Redstripe rockfish,,,,
2010,,Abundance index,,Redstripe rockfish,,,,
2011,,Abundance index,,Redstripe rockfish,,,,
2012,,Abundance index,,Redstripe rockfish,,,,
2013,,Abundance index,,Redstripe rockfish,,,,
2014,,Abundance index,,Redstripe rockfish,,,,
2015,,Abundance index,,Redstripe rockfish,,,,
2003,17289.10629,Abundance index,0.198828355,Stripetail rockfish,,,,
2004,30334.92306,Abundance index,0.268072616,Stripetail rockfish,,,,
2005,27696.30392,Abundance index,0.264738037,Stripetail rockfish,,,,
2006,16106.54021,Abundance index,0.219948265,Stripetail rockfish,,,,
2007,14415.95458,Abundance index,0.276705745,Stripetail rockfish,,,,
2008,21845.83327,Abundance index,0.29903582,Stripetail rockfish,,,,
2009,19531.20655,Abundance index,0.271527271,Stripetail rockfish,,,,
2010,9602.28582,Abundance index,0.235502863,Stripetail rockfish,,,,
2011,16141.34111,Abundance index,0.234466776,Stripetail rockfish,,,,
2012,20330.86614,Abundance index,0.228539777,Stripetail rockfish,,,,
2013,26787.34559,Abundance index,0.256281218,Stripetail rockfish,,,,
2014,28493.22516,Abundance index,0.257443421,Stripetail rockfish,,,,
2015,23623.86339,Abundance index,0.265434809,Stripetail rockfish,,,,
