year,index,metric,series_name,ass_year,CV
1900,1,Depletion,Sablefish,2011,0
1901,0.998545894,Depletion,Sablefish,2011,0
1902,0.99695197,Depletion,Sablefish,2011,0
1903,0.995184671,Depletion,Sablefish,2011,0
1904,0.993238406,Depletion,Sablefish,2011,0
1905,0.991113174,Depletion,Sablefish,2011,0
1906,0.988937608,Depletion,Sablefish,2011,0
1907,0.986711707,Depletion,Sablefish,2011,0
1908,0.984452249,Depletion,Sablefish,2011,0
1909,0.982153643,Depletion,Sablefish,2011,0
1910,0.979653699,Depletion,Sablefish,2011,0
1911,0.976952417,Depletion,Sablefish,2011,0
1912,0.974044205,Depletion,Sablefish,2011,0
1913,0.970917877,Depletion,Sablefish,2011,0
1914,0.967584618,Depletion,Sablefish,2011,0
1915,0.964033243,Depletion,Sablefish,2011,0
1916,0.960269345,Depletion,Sablefish,2011,0
1917,0.953994318,Depletion,Sablefish,2011,0
1918,0.945622022,Depletion,Sablefish,2011,0
1919,0.934503702,Depletion,Sablefish,2011,0
1920,0.928038523,Depletion,Sablefish,2011,0
1921,0.922624773,Depletion,Sablefish,2011,0
1922,0.916181965,Depletion,Sablefish,2011,0
1923,0.911444934,Depletion,Sablefish,2011,0
1924,0.90441489,Depletion,Sablefish,2011,0
1925,0.897284177,Depletion,Sablefish,2011,0
1926,0.889510302,Depletion,Sablefish,2011,0
1927,0.882614483,Depletion,Sablefish,2011,0
1928,0.874370819,Depletion,Sablefish,2011,0
1929,0.866915729,Depletion,Sablefish,2011,0
1930,0.859080334,Depletion,Sablefish,2011,0
1931,0.850422809,Depletion,Sablefish,2011,0
1932,0.844153375,Depletion,Sablefish,2011,0
1933,0.837453301,Depletion,Sablefish,2011,0
1934,0.83082034,Depletion,Sablefish,2011,0
1935,0.822498378,Depletion,Sablefish,2011,0
1936,0.812711125,Depletion,Sablefish,2011,0
1937,0.804254938,Depletion,Sablefish,2011,0
1938,0.795854679,Depletion,Sablefish,2011,0
1939,0.787829131,Depletion,Sablefish,2011,0
1940,0.778864008,Depletion,Sablefish,2011,0
1941,0.771386546,Depletion,Sablefish,2011,0
1942,0.763601485,Depletion,Sablefish,2011,0
1943,0.753322073,Depletion,Sablefish,2011,0
1944,0.741890562,Depletion,Sablefish,2011,0
1945,0.729888593,Depletion,Sablefish,2011,0
1946,0.716773674,Depletion,Sablefish,2011,0
1947,0.703300821,Depletion,Sablefish,2011,0
1948,0.693843538,Depletion,Sablefish,2011,0
1949,0.683631239,Depletion,Sablefish,2011,0
1950,0.674526297,Depletion,Sablefish,2011,0
1951,0.66643923,Depletion,Sablefish,2011,0
1952,0.656137447,Depletion,Sablefish,2011,0
1953,0.649230442,Depletion,Sablefish,2011,0
1954,0.643883806,Depletion,Sablefish,2011,0
1955,0.638100937,Depletion,Sablefish,2011,0
1956,0.633788953,Depletion,Sablefish,2011,0
1957,0.62898481,Depletion,Sablefish,2011,0
1958,0.627178363,Depletion,Sablefish,2011,0
1959,0.630310284,Depletion,Sablefish,2011,0
1960,0.635131205,Depletion,Sablefish,2011,0
1961,0.642189213,Depletion,Sablefish,2011,0
1962,0.655846625,Depletion,Sablefish,2011,0
1963,0.673038634,Depletion,Sablefish,2011,0
1964,0.696992237,Depletion,Sablefish,2011,0
1965,0.726102324,Depletion,Sablefish,2011,0
1966,0.761163061,Depletion,Sablefish,2011,0
1967,0.802045816,Depletion,Sablefish,2011,0
1968,0.834930986,Depletion,Sablefish,2011,0
1969,0.867480593,Depletion,Sablefish,2011,0
