year,index,metric,series_name,ass_year,CV
1916,1,Depletion,Aurora rockfish,2013,0
1917,0.999985,Depletion,Aurora rockfish,2013,0
1918,0.999962,Depletion,Aurora rockfish,2013,0
1919,0.999936,Depletion,Aurora rockfish,2013,0
1920,0.999919,Depletion,Aurora rockfish,2013,0
1921,0.999902,Depletion,Aurora rockfish,2013,0
1922,0.999889,Depletion,Aurora rockfish,2013,0
1923,0.999881,Depletion,Aurora rockfish,2013,0
1924,0.999879,Depletion,Aurora rockfish,2013,0
1925,0.999892,Depletion,Aurora rockfish,2013,0
1926,0.999921,Depletion,Aurora rockfish,2013,0
1927,0.999965,Depletion,Aurora rockfish,2013,0
1928,1.00004,Depletion,Aurora rockfish,2013,0
1929,1.00014,Depletion,Aurora rockfish,2013,0
1930,1.00027,Depletion,Aurora rockfish,2013,0
1931,1.00043,Depletion,Aurora rockfish,2013,0
1932,1.00062,Depletion,Aurora rockfish,2013,0
1933,1.00084,Depletion,Aurora rockfish,2013,0
1934,1.00107,Depletion,Aurora rockfish,2013,0
1935,1.00133,Depletion,Aurora rockfish,2013,0
1936,1.00163,Depletion,Aurora rockfish,2013,0
1937,1.00195,Depletion,Aurora rockfish,2013,0
1938,1.00227,Depletion,Aurora rockfish,2013,0
1939,1.00258,Depletion,Aurora rockfish,2013,0
1940,1.00288,Depletion,Aurora rockfish,2013,0
1941,1.00319,Depletion,Aurora rockfish,2013,0
1942,1.00342,Depletion,Aurora rockfish,2013,0
1943,1.00377,Depletion,Aurora rockfish,2013,0
1944,1.00403,Depletion,Aurora rockfish,2013,0
1945,1.00418,Depletion,Aurora rockfish,2013,0
1946,1.00404,Depletion,Aurora rockfish,2013,0
1947,1.00403,Depletion,Aurora rockfish,2013,0
1948,1.00407,Depletion,Aurora rockfish,2013,0
1949,1.00418,Depletion,Aurora rockfish,2013,0
1950,1.00449,Depletion,Aurora rockfish,2013,0
1951,1.00474,Depletion,Aurora rockfish,2013,0
1952,1.00484,Depletion,Aurora rockfish,2013,0
1953,1.00496,Depletion,Aurora rockfish,2013,0
1954,1.00511,Depletion,Aurora rockfish,2013,0
1955,1.00563,Depletion,Aurora rockfish,2013,0
1956,1.00633,Depletion,Aurora rockfish,2013,0
1957,1.00704,Depletion,Aurora rockfish,2013,0
1958,1.00785,Depletion,Aurora rockfish,2013,0
1959,1.00853,Depletion,Aurora rockfish,2013,0
1960,1.00925,Depletion,Aurora rockfish,2013,0
1961,1.01032,Depletion,Aurora rockfish,2013,0
1962,1.01177,Depletion,Aurora rockfish,2013,0
1963,1.01346,Depletion,Aurora rockfish,2013,0
1964,1.0153,Depletion,Aurora rockfish,2013,0
1965,1.01747,Depletion,Aurora rockfish,2013,0
1966,1.01986,Depletion,Aurora rockfish,2013,0
1967,1.02232,Depletion,Aurora rockfish,2013,0
1968,1.02535,Depletion,Aurora rockfish,2013,0
1969,1.02864,Depletion,Aurora rockfish,2013,0
1970,1.03222,Depletion,Aurora rockfish,2013,0
1971,1.03585,Depletion,Aurora rockfish,2013,0
1972,1.03887,Depletion,Aurora rockfish,2013,0
1973,1.04179,Depletion,Aurora rockfish,2013,0
