"","NAME","TERM","ID","mean","sd","ZEROTWOFIVEquant","FIVEquant","NINESEVENFIVEquant","mode","kld","TYPE","RESPONSE","REGION","Ecoregion","Year"
"01","TS.MM.CG","Year",1,20.4785882890092,0.50977668500994,19.4726748554324,20.4799040683444,21.4761042464122,20.4825502170216,0,"Time Series","AugMeanMax","CG","Columbia Glaciated",1998
"02","TS.MM.CG","Year",2,19.7679881419621,0.473893150744897,18.8332829633607,19.7689629778096,20.696212599308,19.7708950377122,0,"Time Series","AugMeanMax","CG","Columbia Glaciated",1999
"03","TS.MM.CG","Year",3,20.7253191715853,0.463447715181233,19.8108831170099,20.7261296500243,21.634090983209,20.7277089376807,0,"Time Series","AugMeanMax","CG","Columbia Glaciated",2000
"04","TS.MM.CG","Year",4,21.2155956091039,0.46403839468127,20.302004381096,21.2157355322635,22.127251483334,21.2159947669875,0,"Time Series","AugMeanMax","CG","Columbia Glaciated",2001
"05","TS.MM.CG","Year",5,19.4228227196646,0.41348171988995,18.6035480566093,19.4247959551617,20.2302233352925,19.4286847827304,0,"Time Series","AugMeanMax","CG","Columbia Glaciated",2002
"06","TS.MM.CG","Year",6,21.0858351397645,0.447520592248005,20.1986558056771,21.0881212487596,21.9593553413311,21.0926760796927,0,"Time Series","AugMeanMax","CG","Columbia Glaciated",2003
"07","TS.MM.CG","Year",7,20.6840367467403,0.419140856939987,19.8579906141361,20.6845173424857,21.5063690865643,20.685409410756,0,"Time Series","AugMeanMax","CG","Columbia Glaciated",2004
"08","TS.MM.CG","Year",8,20.7405648303253,0.385985706710221,19.9743647488194,20.7428324624029,21.4933810488894,20.7473392248446,0,"Time Series","AugMeanMax","CG","Columbia Glaciated",2005
"09","TS.MM.CG","Year",9,19.911157867498,0.363657561662509,19.19411631466,19.9115581019715,20.625120565745,19.912329155257,0,"Time Series","AugMeanMax","CG","Columbia Glaciated",2006
"10","TS.MM.CG","Year",10,20.1902976182773,0.416543169896701,19.3693159813735,20.1908545235245,21.0072229481228,20.1919237427629,0,"Time Series","AugMeanMax","CG","Columbia Glaciated",2007
"11","TS.MM.CG","Year",11,19.6498770304026,0.401526327377269,18.8581248949606,19.6505001767043,20.4372174950968,19.6516884915172,0,"Time Series","AugMeanMax","CG","Columbia Glaciated",2008
"12","TS.MM.CG","Year",12,20.5974403093463,0.407359779030263,19.7959405045086,20.5974590300312,21.3978368840626,20.5974390037845,0,"Time Series","AugMeanMax","CG","Columbia Glaciated",2009
"13","TS.MM.CG","Year",13,20.3003565173923,0.395973205205154,19.520588892799,20.3005721627184,21.0779554742502,20.3009434818044,0,"Time Series","AugMeanMax","CG","Columbia Glaciated",2010
"14","TS.MM.CG","Year",14,19.5127112775466,0.394102960370935,18.7341111944763,19.5137955058353,20.2843589665972,19.5159022477154,0,"Time Series","AugMeanMax","CG","Columbia Glaciated",2011
"15","TS.MM.CG","Year",15,20.1533210673934,0.386884200034994,19.3900342462991,20.1539811367946,20.9120017984946,20.15523918281,0,"Time Series","AugMeanMax","CG","Columbia Glaciated",2012
"16","TS.MM.CG","Year",16,20.6100384058692,0.383576099167836,19.8524479260681,20.6109661533811,21.3615612863048,20.6127609746025,0,"Time Series","AugMeanMax","CG","Columbia Glaciated",2013
"17","TS.MM.CG","Year",17,20.4548610699932,0.382932575170853,19.6975075237599,20.456146870193,21.2041960304255,20.458662917839,0,"Time Series","AugMeanMax","CG","Columbia Glaciated",2014
"18","TS.MM.CG","Year",18,20.2173111704688,0.383655470837727,19.4592063247923,20.2183665801928,20.9686537058458,20.2204183140622,0,"Time Series","AugMeanMax","CG","Columbia Glaciated",2015
"19","TS.MM.CG","Year",19,20.2389393844351,0.386935466348002,19.4744832154695,20.2399749176762,20.9967268674165,20.2419842171034,0,"Time Series","AugMeanMax","CG","Columbia Glaciated",2016
"20","TS.MM.CG","Year",20,20.9025904556974,0.387522389125516,20.1378115472811,20.9033377800153,21.6622533438015,20.904757607319,0,"Time Series","AugMeanMax","CG","Columbia Glaciated",2017
"21","TS.MM.CG","Year",21,20.0827183928859,0.38889685442802,19.3154226640056,20.083411545498,20.8451942293152,20.0847232771796,0,"Time Series","AugMeanMax","CG","Columbia Glaciated",2018
"22","TS.MM.CG","Year",22,20.6990610299773,0.392758116085259,19.9232268609843,20.7000977368655,21.468227910916,20.7021195618279,0,"Time Series","AugMeanMax","CG","Columbia Glaciated",2019
"23","TS.MM.CG","Year",23,20.3807533075336,0.389591512437248,19.6123573254822,20.3813473425742,21.1448941090895,20.3824700288958,0,"Time Series","AugMeanMax","CG","Columbia Glaciated",2020
"011","TS.MM.CU","Year",1,19.4309774855442,0.468376521262606,18.5105795121936,19.4310681721605,20.3501146021583,19.4312870598364,0,"Time Series","AugMeanMax","CU","Columbia Unglaciated",1981
"021","TS.MM.CU","Year",2,18.2578855580498,0.481739869074481,17.3113476382746,18.2579419628819,19.2033293886358,18.2580891339992,0,"Time Series","AugMeanMax","CU","Columbia Unglaciated",1982
"031","TS.MM.CU","Year",3,18.5666516205889,0.494991258781822,17.5955300933704,18.5662068731906,19.5394558389029,18.5653556507193,0,"Time Series","AugMeanMax","CU","Columbia Unglaciated",1983
