order,VARIABLE,GROUP,Site or Season,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,AVERAGE ESI,Annual ESI: vessels w/ avg. rev>$5K,West Coast and Alaska,1.86,1.86,1.84,1.94,1.82,1.79,1.83,1.94,1.72,1.85,1.88,1.87,1.89,1.9,1.85,1.75,1.81,1.82,1.72,1.79,1.82,1.77,1.72,1.74,1.73,1.76,1.73,1.77,1.76,1.79,1.74,1.74,1.72,1.71,1.72,1.72,1.75,1.77,1.75
2,AVERAGE ESI,Annual ESI: vessels w/ avg. rev>$5K fishing in 2019,West Coast and Alaska,2.12,2.11,2.01,2.2,2.07,2.09,2.12,2.26,1.9,2.09,2.17,2.11,2.17,2.18,2.09,1.95,2.01,2.02,1.89,1.97,2,1.93,1.88,1.89,1.88,1.9,1.85,1.87,1.86,1.9,1.84,1.83,1.81,1.79,1.79,1.79,1.8,1.8,1.75
3,AVERAGE ESI,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981 and 2019,West Coast and Alaska,2.12,2.14,2.05,2.23,2.11,2.15,2.21,2.35,2,2.2,2.27,2.23,2.3,2.29,2.18,2.06,2.15,2.14,2,2.08,2.12,2.01,1.96,1.98,1.97,1.98,1.95,1.93,1.96,2,1.95,1.95,1.89,1.91,1.93,1.89,1.87,1.88,1.86
4,AVERAGE ESI,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981,West Coast and Alaska,1.86,1.87,1.84,1.97,1.86,1.86,1.91,2.02,1.79,1.95,1.98,1.97,2.01,2.01,1.94,1.86,1.94,1.93,1.81,1.88,1.93,1.85,1.8,1.82,1.82,1.85,1.82,1.83,1.84,1.89,1.85,1.84,1.8,1.82,1.84,1.82,1.82,1.84,1.86
5,AVERAGE ESI,Annual ESI: vessels w/ avg. rev $5K-$25K,West Coast and Alaska,1.5,1.52,1.63,1.52,1.41,1.35,1.43,1.44,1.44,1.4,1.39,1.44,1.39,1.4,1.41,1.36,1.42,1.39,1.36,1.37,1.39,1.35,1.34,1.36,1.36,1.39,1.39,1.37,1.35,1.36,1.39,1.39,1.35,1.37,1.43,1.39,1.4,1.41,1.41
6,AVERAGE ESI,Annual ESI: vessels w/ avg. rev $25K-$100K,West Coast and Alaska,2.04,1.99,1.95,2.12,1.96,1.91,1.88,2.04,1.81,1.91,1.9,1.81,1.85,1.86,1.83,1.65,1.69,1.75,1.62,1.72,1.72,1.7,1.62,1.66,1.68,1.69,1.63,1.68,1.66,1.74,1.65,1.65,1.68,1.6,1.62,1.63,1.68,1.71,1.63
7,AVERAGE ESI,Annual ESI: vessels w/ avg. rev >$100K,West Coast and Alaska,2.14,2.25,2.02,2.24,2.2,2.29,2.39,2.54,2.01,2.35,2.44,2.44,2.48,2.47,2.29,2.25,2.3,2.23,2.11,2.19,2.26,2.15,2.11,2.14,2.06,2.1,2.08,2.1,2.11,2.11,2.06,2.06,1.99,2.03,2,1.99,2,1.99,2.01
8,AVERAGE ESI,Annual ESI: vessels w/ avg. rev <41,West Coast and Alaska,1.8,1.79,1.8,1.88,1.72,1.66,1.67,1.77,1.6,1.67,1.66,1.63,1.63,1.66,1.65,1.53,1.56,1.62,1.51,1.58,1.59,1.56,1.52,1.54,1.56,1.57,1.52,1.58,1.56,1.62,1.55,1.55,1.57,1.52,1.54,1.54,1.59,1.6,1.55
9,AVERAGE ESI,Annual ESI: vessels w/ avg. rev >$5k 41-80 Feet,West Coast and Alaska,2.07,2.1,1.99,2.17,2.14,2.21,2.39,2.5,2.07,2.34,2.48,2.5,2.56,2.57,2.37,2.25,2.4,2.32,2.22,2.27,2.37,2.18,2.12,2.19,2.16,2.2,2.19,2.18,2.21,2.19,2.18,2.19,2.08,2.15,2.15,2.11,2.11,2.12,2.18
10,AVERAGE ESI,Annual ESI: vessels w/ avg. rev >$5k 81-125 Feet,West Coast and Alaska,2,2.03,1.84,1.83,2.08,2.13,2.07,2.21,2.19,2.49,2.56,2.7,2.68,2.39,2.33,2.75,2.54,2.29,2.25,2.46,2.28,2.3,2.43,2.38,2.08,2.27,2.29,2.25,2.22,2.33,2.21,2.15,2,2.14,2.1,2.18,2.13,2.17,2.2
11,AVERAGE ESI,Annual ESI vessels w/ 2019 WA rev>$5K,Washington,1.89,1.92,1.86,2.1,2.05,2.12,2.28,2.24,1.88,2.08,2.19,2.3,2.23,2.3,2.11,2.08,2.13,2.15,2,2.03,2.08,1.94,1.88,1.97,1.89,1.91,1.93,1.83,1.92,1.86,1.78,1.82,1.7,1.79,1.79,1.77,1.71,1.66,1.74
12,AVERAGE ESI,Annual ESI vessels w/ 2019 OR rev>$5K,Oregon,1.85,1.78,1.84,1.83,1.81,1.87,2.01,1.93,1.83,1.88,1.96,2.11,2.12,2.04,1.99,2.1,2.16,2.09,2.01,2,2.03,1.99,2.01,1.95,1.95,1.88,1.94,1.87,1.87,1.87,1.83,1.86,1.72,1.77,1.81,1.73,1.7,1.65,1.74
