year,index,sd.w,n,SDup,SDlo,se,SEup,SElo,CLup,CLlo,timeseries,metric
1981, 1.863 ,,,,,,,,,,VESSELS WITH AVERAGE REV>$5K,AVERAGE ESI
1982, 1.860 ,,,,,,,,,,VESSELS WITH AVERAGE REV>$5K,AVERAGE ESI
1983, 1.838 ,,,,,,,,,,VESSELS WITH AVERAGE REV>$5K,AVERAGE ESI
1984, 1.943 ,,,,,,,,,,VESSELS WITH AVERAGE REV>$5K,AVERAGE ESI
1985, 1.819 ,,,,,,,,,,VESSELS WITH AVERAGE REV>$5K,AVERAGE ESI
1986, 1.793 ,,,,,,,,,,VESSELS WITH AVERAGE REV>$5K,AVERAGE ESI
1987, 1.831 ,,,,,,,,,,VESSELS WITH AVERAGE REV>$5K,AVERAGE ESI
1988, 1.936 ,,,,,,,,,,VESSELS WITH AVERAGE REV>$5K,AVERAGE ESI
1989, 1.723 ,,,,,,,,,,VESSELS WITH AVERAGE REV>$5K,AVERAGE ESI
1990, 1.847 ,,,,,,,,,,VESSELS WITH AVERAGE REV>$5K,AVERAGE ESI
1991, 1.879 ,,,,,,,,,,VESSELS WITH AVERAGE REV>$5K,AVERAGE ESI
1992, 1.872 ,,,,,,,,,,VESSELS WITH AVERAGE REV>$5K,AVERAGE ESI
1993, 1.888 ,,,,,,,,,,VESSELS WITH AVERAGE REV>$5K,AVERAGE ESI
1994, 1.904 ,,,,,,,,,,VESSELS WITH AVERAGE REV>$5K,AVERAGE ESI
1995, 1.846 ,,,,,,,,,,VESSELS WITH AVERAGE REV>$5K,AVERAGE ESI
1996, 1.752 ,,,,,,,,,,VESSELS WITH AVERAGE REV>$5K,AVERAGE ESI
1997, 1.806 ,,,,,,,,,,VESSELS WITH AVERAGE REV>$5K,AVERAGE ESI
1998, 1.823 ,,,,,,,,,,VESSELS WITH AVERAGE REV>$5K,AVERAGE ESI
1999, 1.722 ,,,,,,,,,,VESSELS WITH AVERAGE REV>$5K,AVERAGE ESI
2000, 1.789 ,,,,,,,,,,VESSELS WITH AVERAGE REV>$5K,AVERAGE ESI
2001, 1.819 ,,,,,,,,,,VESSELS WITH AVERAGE REV>$5K,AVERAGE ESI
2002, 1.765 ,,,,,,,,,,VESSELS WITH AVERAGE REV>$5K,AVERAGE ESI
2003, 1.720 ,,,,,,,,,,VESSELS WITH AVERAGE REV>$5K,AVERAGE ESI
2004, 1.744 ,,,,,,,,,,VESSELS WITH AVERAGE REV>$5K,AVERAGE ESI
2005, 1.735 ,,,,,,,,,,VESSELS WITH AVERAGE REV>$5K,AVERAGE ESI
2006, 1.762 ,,,,,,,,,,VESSELS WITH AVERAGE REV>$5K,AVERAGE ESI
2007, 1.726 ,,,,,,,,,,VESSELS WITH AVERAGE REV>$5K,AVERAGE ESI
2008, 1.767 ,,,,,,,,,,VESSELS WITH AVERAGE REV>$5K,AVERAGE ESI
2009, 1.757 ,,,,,,,,,,VESSELS WITH AVERAGE REV>$5K,AVERAGE ESI
2010, 1.794 ,,,,,,,,,,VESSELS WITH AVERAGE REV>$5K,AVERAGE ESI
2011, 1.741 ,,,,,,,,,,VESSELS WITH AVERAGE REV>$5K,AVERAGE ESI
2012, 1.742 ,,,,,,,,,,VESSELS WITH AVERAGE REV>$5K,AVERAGE ESI
2013, 1.722 ,,,,,,,,,,VESSELS WITH AVERAGE REV>$5K,AVERAGE ESI
2014, 1.709 ,,,,,,,,,,VESSELS WITH AVERAGE REV>$5K,AVERAGE ESI
2015, 1.724 ,,,,,,,,,,VESSELS WITH AVERAGE REV>$5K,AVERAGE ESI
2016, 1.723 ,,,,,,,,,,VESSELS WITH AVERAGE REV>$5K,AVERAGE ESI
2017, 1.753 ,,,,,,,,,,VESSELS WITH AVERAGE REV>$5K,AVERAGE ESI
2018, 1.773 ,,,,,,,,,,VESSELS WITH AVERAGE REV>$5K,AVERAGE ESI
1981, 1.50 ,,,,,,,,,,VESSELS WITH AVERAGE REV $5K-$25K,AVERAGE ESI
1982, 1.52 ,,,,,,,,,,VESSELS WITH AVERAGE REV $5K-$25K,AVERAGE ESI
1983, 1.63 ,,,,,,,,,,VESSELS WITH AVERAGE REV $5K-$25K,AVERAGE ESI
1984, 1.52 ,,,,,,,,,,VESSELS WITH AVERAGE REV $5K-$25K,AVERAGE ESI
1985, 1.41 ,,,,,,,,,,VESSELS WITH AVERAGE REV $5K-$25K,AVERAGE ESI
1986, 1.35 ,,,,,,,,,,VESSELS WITH AVERAGE REV $5K-$25K,AVERAGE ESI
