Year,index,sd,SE,metric,timeseries,data.type,data.type2,SElo,SEup,Notes,SE_type
1994,81740.1,26720.7,,Spawning biomass (mt),Albacore,biomass,,55019.4,108460.8,,SD
1995,80589.5,23673,,Spawning biomass (mt),Albacore,biomass,,56916.5,104262.5,,SD
1996,86714.6,22167.8,,Spawning biomass (mt),Albacore,biomass,,64546.8,108882.4,,SD
1997,83222.3,20564.7,,Spawning biomass (mt),Albacore,biomass,,62657.6,103787,,SD
1998,82165.9,19832.4,,Spawning biomass (mt),Albacore,biomass,,62333.5,101998.3,,SD
1999,81894.8,19287.8,,Spawning biomass (mt),Albacore,biomass,,62607,101182.6,,SD
2000,67892.6,17574.1,,Spawning biomass (mt),Albacore,biomass,,50318.5,85466.7,,SD
2001,61535.8,16330.3,,Spawning biomass (mt),Albacore,biomass,,45205.5,77866.1,,SD
2002,55029.6,15527.9,,Spawning biomass (mt),Albacore,biomass,,39501.7,70557.5,,SD
2003,54970.6,14722.2,,Spawning biomass (mt),Albacore,biomass,,40248.4,69692.8,,SD
2004,62895.7,16092.5,,Spawning biomass (mt),Albacore,biomass,,46803.2,78988.2,,SD
2005,59876.2,16268.9,,Spawning biomass (mt),Albacore,biomass,,43607.3,76145.1,,SD
2006,59583.7,16037.3,,Spawning biomass (mt),Albacore,biomass,,43546.4,75621,,SD
2007,58027.1,15906.6,,Spawning biomass (mt),Albacore,biomass,,42120.5,73933.7,,SD
2008,57404.4,15841.7,,Spawning biomass (mt),Albacore,biomass,,41562.7,73246.1,,SD
2009,71946.5,17540.2,,Spawning biomass (mt),Albacore,biomass,,54406.3,89486.7,,SD
2010,71887.2,18012,,Spawning biomass (mt),Albacore,biomass,,53875.2,89899.2,,SD
2011,68171.5,17352.4,,Spawning biomass (mt),Albacore,biomass,,50819.1,85523.9,,SD
2012,64753.7,16563.7,,Spawning biomass (mt),Albacore,biomass,,48190,81317.4,,SD
2013,59903.6,16019.5,,Spawning biomass (mt),Albacore,biomass,,43884.1,75923.1,,SD
2014,57602,15299.8,,Spawning biomass (mt),Albacore,biomass,,42302.2,72901.8,,SD
2015,55929.8,14915.4,,Spawning biomass (mt),Albacore,biomass,,41014.4,70845.2,,SD
2016,54312.6,14737.6,,Spawning biomass (mt),Albacore,biomass,,39575,69050.2,,SD
2017,52465.5,14341.8,,Spawning biomass (mt),Albacore,biomass,,38123.7,66807.3,,SD
2018,58858.2,15871.2,,Spawning biomass (mt),Albacore,biomass,,42987,74729.4,,SD
2019,60134.1,16806.1,,Spawning biomass (mt),Albacore,biomass,,43328,76940.2,,SD
1994,189594,36467.4,,Recruits (x1000),Albacore,recruitment,,153126.6,226061.4,,SD
1995,163714,32548.3,,Recruits (x1000),Albacore,recruitment,,131165.7,196262.3,,SD
1996,170831,34654.2,,Recruits (x1000),Albacore,recruitment,,136176.8,205485.2,,SD
1997,153239,31997.2,,Recruits (x1000),Albacore,recruitment,,121241.8,185236.2,,SD
1998,156442,31083,,Recruits (x1000),Albacore,recruitment,,125359,187525,,SD
1999,256880,38891.1,,Recruits (x1000),Albacore,recruitment,,217988.9,295771.1,,SD
2000,156185,27068.6,,Recruits (x1000),Albacore,recruitment,,129116.4,183253.6,,SD
2001,199342,31883.2,,Recruits (x1000),Albacore,recruitment,,167458.8,231225.2,,SD
2002,139882,24759.9,,Recruits (x1000),Albacore,recruitment,,115122.1,164641.9,,SD
2003,186757,33527.7,,Recruits (x1000),Albacore,recruitment,,153229.3,220284.7,,SD
2004,249480,38967.2,,Recruits (x1000),Albacore,recruitment,,210512.8,288447.2,,SD
2005,170586,27513.6,,Recruits (x1000),Albacore,recruitment,,143072.4,198099.6,,SD
2006,173815,29245.8,,Recruits (x1000),Albacore,recruitment,,144569.2,203060.8,,SD
2007,149597,25504.2,,Recruits (x1000),Albacore,recruitment,,124092.8,175101.2,,SD
2008,187181,29419.7,,Recruits (x1000),Albacore,recruitment,,157761.3,216600.7,,SD
2009,164899,27852.9,,Recruits (x1000),Albacore,recruitment,,137046.1,192751.9,,SD
2010,180860,30003.5,,Recruits (x1000),Albacore,recruitment,,150856.5,210863.5,,SD
2011,137925,23985.5,,Recruits (x1000),Albacore,recruitment,,113939.5,161910.5,,SD
2012,139635,26826.4,,Recruits (x1000),Albacore,recruitment,,112808.6,166461.4,,SD
2013,197952,39321.2,,Recruits (x1000),Albacore,recruitment,,158630.8,237273.2,,SD
2014,124520,28383.4,,Recruits (x1000),Albacore,recruitment,,96136.6,152903.4,,SD
2015,112811,29131.1,,Recruits (x1000),Albacore,recruitment,,83679.9,141942.1,,SD
2016,169108,48441.4,,Recruits (x1000),Albacore,recruitment,,120666.6,217549.4,,SD
2017,175497,57350.5,,Recruits (x1000),Albacore,recruitment,,118146.5,232847.5,,SD
2018,173719,57100.9,,Recruits (x1000),Albacore,recruitment,,116618.1,230819.9,,SD
2019,173949,57187.1,,Recruits (x1000),Albacore,recruitment,,116761.9,231136.1,,SD
2000,322132.6639,,,Spawning biomass (mt),Bigeye tuna,biomass,optimistic,97059,587351,,CI
2001,340780.1896,,,Spawning biomass (mt),Bigeye tuna,biomass,optimistic,104019,622352,,CI
2002,365255.968,,,Spawning biomass (mt),Bigeye tuna,biomass,optimistic,112185,668900,,CI
2003,319472.5798,,,Spawning biomass (mt),Bigeye tuna,biomass,optimistic,88140,591637,,CI
2004,261827.4861,,,Spawning biomass (mt),Bigeye tuna,biomass,optimistic,65786,487789,,CI
2005,245515.1074,,,Spawning biomass (mt),Bigeye tuna,biomass,optimistic,63202,457518,,CI
2006,281294.8907,,,Spawning biomass (mt),Bigeye tuna,biomass,optimistic,79019,523666,,CI
2007,290669.2852,,,Spawning biomass (mt),Bigeye tuna,biomass,optimistic,83379,538413,,CI
2008,295494.8846,,,Spawning biomass (mt),Bigeye tuna,biomass,optimistic,87453,542043,,CI
2009,311799.0348,,,Spawning biomass (mt),Bigeye tuna,biomass,optimistic,95099,569206,,CI
2010,325639.3487,,,Spawning biomass (mt),Bigeye tuna,biomass,optimistic,100429,592935,,CI
2011,299456.9967,,,Spawning biomass (mt),Bigeye tuna,biomass,optimistic,89164,544576,,CI
2012,266288.0139,,,Spawning biomass (mt),Bigeye tuna,biomass,optimistic,78015,482898,,CI
2013,239142.2557,,,Spawning biomass (mt),Bigeye tuna,biomass,optimistic,69533,433763,,CI
2014,226997.6393,,,Spawning biomass (mt),Bigeye tuna,biomass,optimistic,66973,412043,,CI
2015,224016.1643,,,Spawning biomass (mt),Bigeye tuna,biomass,optimistic,67900,405962,,CI
2016,234987.0331,,,Spawning biomass (mt),Bigeye tuna,biomass,optimistic,70547,429269,,CI
2017,241144.9643,,,Spawning biomass (mt),Bigeye tuna,biomass,optimistic,71646,441864,,CI
2018,234321.412,,,Spawning biomass (mt),Bigeye tuna,biomass,optimistic,67434,431237,,CI
2019,223595.2776,,,Spawning biomass (mt),Bigeye tuna,biomass,optimistic,62773,412822,,CI
2000,73358.20182,,,Spawning biomass (mt),Bigeye tuna,biomass,pessimistic,44332,107910,,CI
2001,87855.46845,,,Spawning biomass (mt),Bigeye tuna,biomass,pessimistic,54249,126889,,CI
2002,101975.1128,,,Spawning biomass (mt),Bigeye tuna,biomass,pessimistic,64157,147028,,CI
2003,82769.73012,,,Spawning biomass (mt),Bigeye tuna,biomass,pessimistic,47806,128445,,CI
2004,63068.99136,,,Spawning biomass (mt),Bigeye tuna,biomass,pessimistic,33371,104706,,CI
2005,59567.00756,,,Spawning biomass (mt),Bigeye tuna,biomass,pessimistic,31691,97979,,CI
2006,72595.16249,,,Spawning biomass (mt),Bigeye tuna,biomass,pessimistic,40371,114147,,CI
2007,77302.58513,,,Spawning biomass (mt),Bigeye tuna,biomass,pessimistic,42623,121287,,CI
