Common name,Scientific name,Year,index,SE,lower95%CI,upper95%CI,CV,source,Citation
Southern Resident Killer whale,Orcinus orca,1974,71,,,,,Brad Hanson; NMFS NWFSC,http://www.nmfs.noaa.gov/pr/sars/pdf/stocks/pacific/2016/po2016_kiw-enpsr.pdf
Southern Resident Killer whale,Orcinus orca,1975,71,,,,,Brad Hanson; NMFS NWFSC,http://www.nmfs.noaa.gov/pr/sars/pdf/stocks/pacific/2016/po2016_kiw-enpsr.pdf
Southern Resident Killer whale,Orcinus orca,1976,71,,,,,Brad Hanson; NMFS NWFSC,http://www.nmfs.noaa.gov/pr/sars/pdf/stocks/pacific/2016/po2016_kiw-enpsr.pdf
Southern Resident Killer whale,Orcinus orca,1977,79,,,,,Brad Hanson; NMFS NWFSC,http://www.nmfs.noaa.gov/pr/sars/pdf/stocks/pacific/2016/po2016_kiw-enpsr.pdf
Southern Resident Killer whale,Orcinus orca,1978,79,,,,,Brad Hanson; NMFS NWFSC,http://www.nmfs.noaa.gov/pr/sars/pdf/stocks/pacific/2016/po2016_kiw-enpsr.pdf
Southern Resident Killer whale,Orcinus orca,1979,81,,,,,Brad Hanson; NMFS NWFSC,http://www.nmfs.noaa.gov/pr/sars/pdf/stocks/pacific/2016/po2016_kiw-enpsr.pdf
Southern Resident Killer whale,Orcinus orca,1980,83,,,,,Brad Hanson; NMFS NWFSC,http://www.nmfs.noaa.gov/pr/sars/pdf/stocks/pacific/2016/po2016_kiw-enpsr.pdf
Southern Resident Killer whale,Orcinus orca,1981,81,,,,,Brad Hanson; NMFS NWFSC,http://www.nmfs.noaa.gov/pr/sars/pdf/stocks/pacific/2016/po2016_kiw-enpsr.pdf
Southern Resident Killer whale,Orcinus orca,1982,78,,,,,Brad Hanson; NMFS NWFSC,http://www.nmfs.noaa.gov/pr/sars/pdf/stocks/pacific/2016/po2016_kiw-enpsr.pdf
Southern Resident Killer whale,Orcinus orca,1983,76,,,,,Brad Hanson; NMFS NWFSC,http://www.nmfs.noaa.gov/pr/sars/pdf/stocks/pacific/2016/po2016_kiw-enpsr.pdf
Southern Resident Killer whale,Orcinus orca,1984,74,,,,,Brad Hanson; NMFS NWFSC,http://www.nmfs.noaa.gov/pr/sars/pdf/stocks/pacific/2016/po2016_kiw-enpsr.pdf
Southern Resident Killer whale,Orcinus orca,1985,77,,,,,Brad Hanson; NMFS NWFSC,http://www.nmfs.noaa.gov/pr/sars/pdf/stocks/pacific/2016/po2016_kiw-enpsr.pdf
Southern Resident Killer whale,Orcinus orca,1986,81,,,,,Brad Hanson; NMFS NWFSC,http://www.nmfs.noaa.gov/pr/sars/pdf/stocks/pacific/2016/po2016_kiw-enpsr.pdf
Southern Resident Killer whale,Orcinus orca,1987,84,,,,,Brad Hanson; NMFS NWFSC,http://www.nmfs.noaa.gov/pr/sars/pdf/stocks/pacific/2016/po2016_kiw-enpsr.pdf
Southern Resident Killer whale,Orcinus orca,1988,85,,,,,Brad Hanson; NMFS NWFSC,http://www.nmfs.noaa.gov/pr/sars/pdf/stocks/pacific/2016/po2016_kiw-enpsr.pdf
Southern Resident Killer whale,Orcinus orca,1989,85,,,,,Brad Hanson; NMFS NWFSC,http://www.nmfs.noaa.gov/pr/sars/pdf/stocks/pacific/2016/po2016_kiw-enpsr.pdf
Southern Resident Killer whale,Orcinus orca,1990,89,,,,,Brad Hanson; NMFS NWFSC,http://www.nmfs.noaa.gov/pr/sars/pdf/stocks/pacific/2016/po2016_kiw-enpsr.pdf
Southern Resident Killer whale,Orcinus orca,1991,92,,,,,Brad Hanson; NMFS NWFSC,http://www.nmfs.noaa.gov/pr/sars/pdf/stocks/pacific/2016/po2016_kiw-enpsr.pdf
Southern Resident Killer whale,Orcinus orca,1992,91,,,,,Brad Hanson; NMFS NWFSC,http://www.nmfs.noaa.gov/pr/sars/pdf/stocks/pacific/2016/po2016_kiw-enpsr.pdf
Southern Resident Killer whale,Orcinus orca,1993,97,,,,,Brad Hanson; NMFS NWFSC,http://www.nmfs.noaa.gov/pr/sars/pdf/stocks/pacific/2016/po2016_kiw-enpsr.pdf
Southern Resident Killer whale,Orcinus orca,1994,96,,,,,Brad Hanson; NMFS NWFSC,http://www.nmfs.noaa.gov/pr/sars/pdf/stocks/pacific/2016/po2016_kiw-enpsr.pdf
Southern Resident Killer whale,Orcinus orca,1995,99,,,,,Brad Hanson; NMFS NWFSC,http://www.nmfs.noaa.gov/pr/sars/pdf/stocks/pacific/2016/po2016_kiw-enpsr.pdf
Southern Resident Killer whale,Orcinus orca,1996,97,,,,,Brad Hanson; NMFS NWFSC,http://www.nmfs.noaa.gov/pr/sars/pdf/stocks/pacific/2016/po2016_kiw-enpsr.pdf
Southern Resident Killer whale,Orcinus orca,1997,92,,,,,Brad Hanson; NMFS NWFSC,http://www.nmfs.noaa.gov/pr/sars/pdf/stocks/pacific/2016/po2016_kiw-enpsr.pdf
Southern Resident Killer whale,Orcinus orca,1998,89,,,,,Brad Hanson; NMFS NWFSC,http://www.nmfs.noaa.gov/pr/sars/pdf/stocks/pacific/2016/po2016_kiw-enpsr.pdf
Southern Resident Killer whale,Orcinus orca,1999,85,,,,,Brad Hanson; NMFS NWFSC,http://www.nmfs.noaa.gov/pr/sars/pdf/stocks/pacific/2016/po2016_kiw-enpsr.pdf
Southern Resident Killer whale,Orcinus orca,2000,82,,,,,Brad Hanson; NMFS NWFSC,http://www.nmfs.noaa.gov/pr/sars/pdf/stocks/pacific/2016/po2016_kiw-enpsr.pdf
Southern Resident Killer whale,Orcinus orca,2001,79,,,,,Brad Hanson; NMFS NWFSC,http://www.nmfs.noaa.gov/pr/sars/pdf/stocks/pacific/2016/po2016_kiw-enpsr.pdf
Southern Resident Killer whale,Orcinus orca,2002,80,,,,,Brad Hanson; NMFS NWFSC,http://www.nmfs.noaa.gov/pr/sars/pdf/stocks/pacific/2016/po2016_kiw-enpsr.pdf
Southern Resident Killer whale,Orcinus orca,2003,83,,,,,Brad Hanson; NMFS NWFSC,http://www.nmfs.noaa.gov/pr/sars/pdf/stocks/pacific/2016/po2016_kiw-enpsr.pdf
Southern Resident Killer whale,Orcinus orca,2004,84,,,,,Brad Hanson; NMFS NWFSC,http://www.nmfs.noaa.gov/pr/sars/pdf/stocks/pacific/2016/po2016_kiw-enpsr.pdf
Southern Resident Killer whale,Orcinus orca,2005,91,,,,,Brad Hanson; NMFS NWFSC,http://www.nmfs.noaa.gov/pr/sars/pdf/stocks/pacific/2016/po2016_kiw-enpsr.pdf
Southern Resident Killer whale,Orcinus orca,2006,89,,,,,Brad Hanson; NMFS NWFSC,http://www.nmfs.noaa.gov/pr/sars/pdf/stocks/pacific/2016/po2016_kiw-enpsr.pdf
Southern Resident Killer whale,Orcinus orca,2007,86,,,,,Brad Hanson; NMFS NWFSC,http://www.nmfs.noaa.gov/pr/sars/pdf/stocks/pacific/2016/po2016_kiw-enpsr.pdf
Southern Resident Killer whale,Orcinus orca,2008,85,,,,,Brad Hanson; NMFS NWFSC,http://www.nmfs.noaa.gov/pr/sars/pdf/stocks/pacific/2016/po2016_kiw-enpsr.pdf
Southern Resident Killer whale,Orcinus orca,2009,85,,,,,Brad Hanson; NMFS NWFSC,http://www.nmfs.noaa.gov/pr/sars/pdf/stocks/pacific/2016/po2016_kiw-enpsr.pdf
Southern Resident Killer whale,Orcinus orca,2010,86,,,,,Brad Hanson; NMFS NWFSC,http://www.nmfs.noaa.gov/pr/sars/pdf/stocks/pacific/2016/po2016_kiw-enpsr.pdf
Southern Resident Killer whale,Orcinus orca,2011,87,,,,,Brad Hanson; NMFS NWFSC,http://www.nmfs.noaa.gov/pr/sars/pdf/stocks/pacific/2016/po2016_kiw-enpsr.pdf
Southern Resident Killer whale,Orcinus orca,2012,85,,,,,Brad Hanson; NMFS NWFSC,http://www.nmfs.noaa.gov/pr/sars/pdf/stocks/pacific/2016/po2016_kiw-enpsr.pdf
Southern Resident Killer whale,Orcinus orca,2013,82,,,,,Brad Hanson; NMFS NWFSC,http://www.nmfs.noaa.gov/pr/sars/pdf/stocks/pacific/2016/po2016_kiw-enpsr.pdf
Southern Resident Killer whale,Orcinus orca,2014,78,,,,,Brad Hanson; NMFS NWFSC,http://www.nmfs.noaa.gov/pr/sars/pdf/stocks/pacific/2016/po2016_kiw-enpsr.pdf
Southern Resident Killer whale,Orcinus orca,2015,81,,,,,Brad Hanson; NMFS NWFSC,http://www.nmfs.noaa.gov/pr/sars/pdf/stocks/pacific/2016/po2016_kiw-enpsr.pdf
Southern Resident Killer whale,Orcinus orca,2016,83,,,,,Brad Hanson; NMFS NWFSC,http://www.nmfs.noaa.gov/pr/sars/pdf/stocks/pacific/2016/po2016_kiw-enpsr.pdf
Southern Resident Killer whale,Orcinus orca,2017,77,,,,,Brad Hanson; NMFS NWFSC,http://www.nmfs.noaa.gov/pr/sars/pdf/stocks/pacific/2016/po2016_kiw-enpsr.pdf
Eastern North Pacific Gray whale,Eschrichtius robustus,1967,13426,1262.044,10952.39376,15899.60624,,John Durban,Durban et al. 2015
Eastern North Pacific Gray whale,Eschrichtius robustus,1968,14548,1163.84,12266.8736,16829.1264,,John Durban,Durban et al. 2015
Eastern North Pacific Gray whale,Eschrichtius robustus,1969,14553,1207.899,12185.51796,16920.48204,,John Durban,Durban et al. 2015
Eastern North Pacific Gray whale,Eschrichtius robustus,1970,12771,1034.451,10743.47604,14798.52396,,John Durban,Durban et al. 2015
Eastern North Pacific Gray whale,Eschrichtius robustus,1971,11079,1030.347,9059.51988,13098.48012,,John Durban,Durban et al. 2015
Eastern North Pacific Gray whale,Eschrichtius robustus,1972,17365,1389.2,14642.168,20087.832,,John Durban,Durban et al. 2015
Eastern North Pacific Gray whale,Eschrichtius robustus,1973,17375,1424.75,14582.49,20167.51,,John Durban,Durban et al. 2015
Eastern North Pacific Gray whale,Eschrichtius robustus,1974,15290,1284.36,12772.6544,17807.3456,,John Durban,Durban et al. 2015
Eastern North Pacific Gray whale,Eschrichtius robustus,1975,17564,1510.504,14603.41216,20524.58784,,John Durban,Durban et al. 2015
Eastern North Pacific Gray whale,Eschrichtius robustus,1976,18377,1470.16,15495.4864,21258.5136,,John Durban,Durban et al. 2015
Eastern North Pacific Gray whale,Eschrichtius robustus,1977,19538,1719.344,16168.08576,22907.91424,,John Durban,Durban et al. 2015
Eastern North Pacific Gray whale,Eschrichtius robustus,1978,15384,1230.72,12971.7888,17796.2112,,John Durban,Durban et al. 2015
Eastern North Pacific Gray whale,Eschrichtius robustus,1979,19763,1640.329,16547.95516,22978.04484,,John Durban,Durban et al. 2015
Eastern North Pacific Gray whale,Eschrichtius robustus,1984,23499,2091.411,19399.83444,27598.16556,,John Durban,Durban et al. 2015
Eastern North Pacific Gray whale,Eschrichtius robustus,1985,22921,1879.522,19237.13688,26604.86312,,John Durban,Durban et al. 2015
Eastern North Pacific Gray whale,Eschrichtius robustus,1987,26916,1561.128,23856.18912,29975.81088,,John Durban,Durban et al. 2015
Eastern North Pacific Gray whale,Eschrichtius robustus,1992,15762,1071.816,13661.24064,17862.75936,,John Durban,Durban et al. 2015
Eastern North Pacific Gray whale,Eschrichtius robustus,1993,20103,1105.665,17935.8966,22270.1034,,John Durban,Durban et al. 2015
Eastern North Pacific Gray whale,Eschrichtius robustus,1995,20944,1277.584,18439.93536,23448.06464,,John Durban,Durban et al. 2015
Eastern North Pacific Gray whale,Eschrichtius robustus,1997,21135,1437.18,18318.1272,23951.8728,,John Durban,Durban et al. 2015
Eastern North Pacific Gray whale,Eschrichtius robustus,2000,16369,998.509,14411.92236,18326.07764,,John Durban,Durban et al. 2015
Eastern North Pacific Gray whale,Eschrichtius robustus,2001,16033,1106.277,13864.69708,18201.30292,,John Durban,Durban et al. 2015
Eastern North Pacific Gray whale,Eschrichtius robustus,2006,19126,1357.946,16464.42584,21787.57416,,John Durban,Durban et al. 2015
