year,index,se,metric,timeseries
1997,19506,84.02083075,Number,Pup count
1998,9428,55.56977596,Number,Pup count
1999,20071,140.0624861,Number,Pup count
2000,19880,83.6361166,Number,Pup count
2001,19806,84.05950273,Number,Pup count
2002,21447,77.48548251,Number,Pup count
2003,16302,104.6860385,Number,Pup count
2004,18961,121.472219,Number,Pup count
2005,21486,51.99038373,Number,Pup count
2006,20477,88.29212875,Number,Pup count
2007,25290,215.0302304,Number,Pup count
2008,25733,644.069872,Number,Pup count
2009,12807,192.9520666,Number,Pup count
2010,13422,216.0462913,Number,Pup count
2011,27148,705.1677105,Number,Pup count
2012,26244,296.9452812,Number,Pup count
2013,19282,305.1688057,Number,Pup count
2014,22362,719.5550709,Number,Pup count
2015,16544,436.5501117,Number,Pup count
2016,16987,416.3094,Number,Pup count
2017,25735,564.6038,Number,Pup count
2018,25212,708.7634,Number,Pup count
2019,23268,266.3306,Number,Pup count
2020,25149,NA,Number,Pup count
