Monthly Aragonite Saturation at 150 m: NH25 (44.7N 124.7W)
"Time","data","error","SElo","SEup","lat","lon","depth","order"
1998-01-15T00:00:00-00:00,NaN,    0.0000,NaN,NaN,   44.7000,  124.7000,  150.0000, 1
1998-02-15T00:00:00-00:00,NaN,    0.0000,NaN,NaN,   44.7000,  124.7000,  150.0000, 1
1998-03-15T00:00:00-00:00,NaN,    0.0000,NaN,NaN,   44.7000,  124.7000,  150.0000, 1
1998-04-15T00:00:00-00:00,NaN,    0.0000,NaN,NaN,   44.7000,  124.7000,  150.0000, 1
1998-05-15T00:00:00-00:00,NaN,    0.0000,NaN,NaN,   44.7000,  124.7000,  150.0000, 1
1998-06-15T00:00:00-00:00,NaN,    0.0000,NaN,NaN,   44.7000,  124.7000,  150.0000, 1
1998-07-15T00:00:00-00:00,NaN,    0.0000,NaN,NaN,   44.7000,  124.7000,  150.0000, 1
1998-08-15T00:00:00-00:00,    0.7666,    0.0000,    0.7666,    0.7666,   44.7000,  124.7000,  150.0000, 1
1998-09-15T00:00:00-00:00,    0.7537,    0.0000,    0.7537,    0.7537,   44.7000,  124.7000,  150.0000, 1
1998-10-15T00:00:00-00:00,NaN,    0.0000,NaN,NaN,   44.7000,  124.7000,  150.0000, 1
1998-11-15T00:00:00-00:00,    0.7112,    0.0000,    0.7112,    0.7112,   44.7000,  124.7000,  150.0000, 1
1998-12-15T00:00:00-00:00,NaN,    0.0000,NaN,NaN,   44.7000,  124.7000,  150.0000, 1
1999-01-15T00:00:00-00:00,NaN,    0.0000,NaN,NaN,   44.7000,  124.7000,  150.0000, 1
1999-02-15T00:00:00-00:00,    0.8568,    0.0000,    0.8568,    0.8568,   44.7000,  124.7000,  150.0000, 1
1999-03-15T00:00:00-00:00,NaN,    0.0000,NaN,NaN,   44.7000,  124.7000,  150.0000, 1
1999-04-15T00:00:00-00:00,    0.8067,    0.0000,    0.8067,    0.8067,   44.7000,  124.7000,  150.0000, 1
1999-05-15T00:00:00-00:00,NaN,    0.0000,NaN,NaN,   44.7000,  124.7000,  150.0000, 1
1999-06-15T00:00:00-00:00,NaN,    0.0000,NaN,NaN,   44.7000,  124.7000,  150.0000, 1
1999-07-15T00:00:00-00:00,    0.7485,    0.0000,    0.7485,    0.7485,   44.7000,  124.7000,  150.0000, 1
1999-08-15T00:00:00-00:00,NaN,    0.0000,NaN,NaN,   44.7000,  124.7000,  150.0000, 1
1999-09-15T00:00:00-00:00,    0.8093,    0.0000,    0.8093,    0.8093,   44.7000,  124.7000,  150.0000, 1
1999-10-15T00:00:00-00:00,NaN,    0.0000,NaN,NaN,   44.7000,  124.7000,  150.0000, 1
1999-11-15T00:00:00-00:00,    0.7767,    0.0000,    0.7767,    0.7767,   44.7000,  124.7000,  150.0000, 1
1999-12-15T00:00:00-00:00,NaN,    0.0000,NaN,NaN,   44.7000,  124.7000,  150.0000, 1
2000-01-15T00:00:00-00:00,NaN,    0.0000,NaN,NaN,   44.7000,  124.7000,  150.0000, 1
2000-02-15T00:00:00-00:00,    0.8442,    0.0000,    0.8442,    0.8442,   44.7000,  124.7000,  150.0000, 1
2000-03-15T00:00:00-00:00,NaN,    0.0000,NaN,NaN,   44.7000,  124.7000,  150.0000, 1
2000-04-15T00:00:00-00:00,    0.7624,    0.0000,    0.7624,    0.7624,   44.7000,  124.7000,  150.0000, 1
2000-05-15T00:00:00-00:00,NaN,    0.0000,NaN,NaN,   44.7000,  124.7000,  150.0000, 1
2000-06-15T00:00:00-00:00,NaN,    0.0000,NaN,NaN,   44.7000,  124.7000,  150.0000, 1
2000-07-15T00:00:00-00:00,    0.7216,    0.0000,    0.7216,    0.7216,   44.7000,  124.7000,  150.0000, 1
2000-08-15T00:00:00-00:00,NaN,    0.0000,NaN,NaN,   44.7000,  124.7000,  150.0000, 1
2000-09-15T00:00:00-00:00,    0.6926,    0.0000,    0.6926,    0.6926,   44.7000,  124.7000,  150.0000, 1
2000-10-15T00:00:00-00:00,NaN,    0.0000,NaN,NaN,   44.7000,  124.7000,  150.0000, 1
2000-11-15T00:00:00-00:00,NaN,    0.0000,NaN,NaN,   44.7000,  124.7000,  150.0000, 1
2000-12-15T00:00:00-00:00,NaN,    0.0000,NaN,NaN,   44.7000,  124.7000,  150.0000, 1
2001-01-15T00:00:00-00:00,    0.9170,    0.0000,    0.9170,    0.9170,   44.7000,  124.7000,  150.0000, 1
2001-02-15T00:00:00-00:00,NaN,    0.0000,NaN,NaN,   44.7000,  124.7000,  150.0000, 1
2001-03-15T00:00:00-00:00,    0.9109,    0.0000,    0.9109,    0.9109,   44.7000,  124.7000,  150.0000, 1
2001-04-15T00:00:00-00:00,NaN,    0.0000,NaN,NaN,   44.7000,  124.7000,  150.0000, 1
2001-05-15T00:00:00-00:00,NaN,    0.0000,NaN,NaN,   44.7000,  124.7000,  150.0000, 1
2001-06-15T00:00:00-00:00,NaN,    0.0000,NaN,NaN,   44.7000,  124.7000,  150.0000, 1
2001-07-15T00:00:00-00:00,    0.7706,    0.0000,    0.7706,    0.7706,   44.7000,  124.7000,  150.0000, 1
2001-08-15T00:00:00-00:00,NaN,    0.0000,NaN,NaN,   44.7000,  124.7000,  150.0000, 1
2001-09-15T00:00:00-00:00,    0.7335,    0.0000,    0.7335,    0.7335,   44.7000,  124.7000,  150.0000, 1
2001-10-15T00:00:00-00:00,NaN,    0.0000,NaN,NaN,   44.7000,  124.7000,  150.0000, 1
2001-11-15T00:00:00-00:00,    0.9146,    0.0000,    0.9146,    0.9146,   44.7000,  124.7000,  150.0000, 1
2001-12-15T00:00:00-00:00,NaN,    0.0000,NaN,NaN,   44.7000,  124.7000,  150.0000, 1
2002-01-15T00:00:00-00:00,NaN,    0.0000,NaN,NaN,   44.7000,  124.7000,  150.0000, 1
2002-02-15T00:00:00-00:00,    0.7515,    0.0000,    0.7515,    0.7515,   44.7000,  124.7000,  150.0000, 1
2002-03-15T00:00:00-00:00,NaN,    0.0000,NaN,NaN,   44.7000,  124.7000,  150.0000, 1
2002-04-15T00:00:00-00:00,    0.7244,    0.0000,    0.7244,    0.7244,   44.7000,  124.7000,  150.0000, 1
2002-05-15T00:00:00-00:00,    0.6816,    0.0000,    0.6816,    0.6816,   44.7000,  124.7000,  150.0000, 1
2002-06-15T00:00:00-00:00,    0.6816,    0.0000,    0.6816,    0.6816,   44.7000,  124.7000,  150.0000, 1
2002-07-15T00:00:00-00:00,    0.6120,    0.0000,    0.6120,    0.6120,   44.7000,  124.7000,  150.0000, 1
2002-08-15T00:00:00-00:00,NaN,    0.0000,NaN,NaN,   44.7000,  124.7000,  150.0000, 1
2002-09-15T00:00:00-00:00,    0.7187,    0.0000,    0.7187,    0.7187,   44.7000,  124.7000,  150.0000, 1
2002-10-15T00:00:00-00:00,NaN,    0.0000,NaN,NaN,   44.7000,  124.7000,  150.0000, 1
2002-11-15T00:00:00-00:00,NaN,    0.0000,NaN,NaN,   44.7000,  124.7000,  150.0000, 1
2002-12-15T00:00:00-00:00,    1.0761,    0.0000,    1.0761,    1.0761,   44.7000,  124.7000,  150.0000, 1
2003-01-15T00:00:00-00:00,NaN,    0.0000,NaN,NaN,   44.7000,  124.7000,  150.0000, 1
2003-02-15T00:00:00-00:00,    0.8309,    0.0000,    0.8309,    0.8309,   44.7000,  124.7000,  150.0000, 1
2003-03-15T00:00:00-00:00,NaN,    0.0000,NaN,NaN,   44.7000,  124.7000,  150.0000, 1
2003-04-15T00:00:00-00:00,    0.8585,    0.0000,    0.8585,    0.8585,   44.7000,  124.7000,  150.0000, 1
2003-05-15T00:00:00-00:00,NaN,    0.0000,NaN,NaN,   44.7000,  124.7000,  150.0000, 1
2003-06-15T00:00:00-00:00,NaN,    0.0000,NaN,NaN,   44.7000,  124.7000,  150.0000, 1
2003-07-15T00:00:00-00:00,    0.7473,    0.0000,    0.7473,    0.7473,   44.7000,  124.7000,  150.0000, 1
2003-08-15T00:00:00-00:00,NaN,    0.0000,NaN,NaN,   44.7000,  124.7000,  150.0000, 1
2003-09-15T00:00:00-00:00,    0.7467,    0.0000,    0.7467,    0.7467,   44.7000,  124.7000,  150.0000, 1
2003-10-15T00:00:00-00:00,NaN,    0.0000,NaN,NaN,   44.7000,  124.7000,  150.0000, 1
2003-11-15T00:00:00-00:00,NaN,    0.0000,NaN,NaN,   44.7000,  124.7000,  150.0000, 1
2003-12-15T00:00:00-00:00,NaN,    0.0000,NaN,NaN,   44.7000,  124.7000,  150.0000, 1
2004-01-15T00:00:00-00:00,NaN,    0.0000,NaN,NaN,   44.7000,  124.7000,  150.0000, 1
2004-02-15T00:00:00-00:00,NaN,    0.0000,NaN,NaN,   44.7000,  124.7000,  150.0000, 1
2004-03-15T00:00:00-00:00,NaN,    0.0000,NaN,NaN,   44.7000,  124.7000,  150.0000, 1
2004-04-15T00:00:00-00:00,NaN,    0.0000,NaN,NaN,   44.7000,  124.7000,  150.0000, 1
2004-05-15T00:00:00-00:00,NaN,    0.0000,NaN,NaN,   44.7000,  124.7000,  150.0000, 1
2004-06-15T00:00:00-00:00,    0.7101,    0.0000,    0.7101,    0.7101,   44.7000,  124.7000,  150.0000, 1
2004-07-15T00:00:00-00:00,    0.7175,    0.0000,    0.7175,    0.7175,   44.7000,  124.7000,  150.0000, 1
2004-08-15T00:00:00-00:00,    0.7465,    0.0000,    0.7465,    0.7465,   44.7000,  124.7000,  150.0000, 1
2004-09-15T00:00:00-00:00,    0.7088,    0.0000,    0.7088,    0.7088,   44.7000,  124.7000,  150.0000, 1
2004-10-15T00:00:00-00:00,NaN,    0.0000,NaN,NaN,   44.7000,  124.7000,  150.0000, 1
2004-11-15T00:00:00-00:00,NaN,    0.0000,NaN,NaN,   44.7000,  124.7000,  150.0000, 1
2004-12-15T00:00:00-00:00,NaN,    0.0000,NaN,NaN,   44.7000,  124.7000,  150.0000, 1
2005-01-15T00:00:00-00:00,NaN,    0.0000,NaN,NaN,   44.7000,  124.7000,  150.0000, 1
2005-02-15T00:00:00-00:00,NaN,    0.0000,NaN,NaN,   44.7000,  124.7000,  150.0000, 1
