time,latitude,BEUTI
UTC,degrees_north,mmol m-1 s-1
1988-01-15T00:00:00Z,33.0,0.614
1988-01-15T00:00:00Z,39.0,2.16
1988-01-15T00:00:00Z,45.0,-0.442
1988-02-15T00:00:00Z,33.0,0.596
1988-02-15T00:00:00Z,39.0,9.58
1988-02-15T00:00:00Z,45.0,3.258
1988-03-15T00:00:00Z,33.0,0.579
1988-03-15T00:00:00Z,39.0,25.179
1988-03-15T00:00:00Z,45.0,0.762
1988-04-15T00:00:00Z,33.0,0.17
1988-04-15T00:00:00Z,39.0,10.962
1988-04-15T00:00:00Z,45.0,0.902
1988-05-15T00:00:00Z,33.0,0.735
1988-05-15T00:00:00Z,39.0,19.798
1988-05-15T00:00:00Z,45.0,0.068
1988-06-15T00:00:00Z,33.0,0.288
1988-06-15T00:00:00Z,39.0,21.401
1988-06-15T00:00:00Z,45.0,0.297
1988-07-15T00:00:00Z,33.0,0.03
1988-07-15T00:00:00Z,39.0,19.794
1988-07-15T00:00:00Z,45.0,1.198
1988-08-15T00:00:00Z,33.0,0.008
1988-08-15T00:00:00Z,39.0,9.025
1988-08-15T00:00:00Z,45.0,1.712
1988-09-15T00:00:00Z,33.0,0.003
1988-09-15T00:00:00Z,39.0,12.575
1988-09-15T00:00:00Z,45.0,1.252
1988-10-15T00:00:00Z,33.0,0.01
1988-10-15T00:00:00Z,39.0,4.547
1988-10-15T00:00:00Z,45.0,0.462
1988-11-15T00:00:00Z,33.0,0.207
1988-11-15T00:00:00Z,39.0,3.881
1988-11-15T00:00:00Z,45.0,-0.401
1988-12-15T00:00:00Z,33.0,0.912
1988-12-15T00:00:00Z,39.0,12.411
1988-12-15T00:00:00Z,45.0,1.051
1989-01-15T00:00:00Z,33.0,1.434
1989-01-15T00:00:00Z,39.0,13.414
1989-01-15T00:00:00Z,45.0,0.949
1989-02-15T00:00:00Z,33.0,1.679
1989-02-15T00:00:00Z,39.0,19.26
1989-02-15T00:00:00Z,45.0,-1.359
1989-03-15T00:00:00Z,33.0,2.018
1989-03-15T00:00:00Z,39.0,-0.148
1989-03-15T00:00:00Z,45.0,-10.264
1989-04-15T00:00:00Z,33.0,0.286
1989-04-15T00:00:00Z,39.0,9.998
1989-04-15T00:00:00Z,45.0,2.079
1989-05-15T00:00:00Z,33.0,0.328
1989-05-15T00:00:00Z,39.0,25.379
1989-05-15T00:00:00Z,45.0,1.16
1989-06-15T00:00:00Z,33.0,0.163
1989-06-15T00:00:00Z,39.0,18.102
1989-06-15T00:00:00Z,45.0,0.739
1989-07-15T00:00:00Z,33.0,0.04
1989-07-15T00:00:00Z,39.0,24.146
1989-07-15T00:00:00Z,45.0,0.125
1989-08-15T00:00:00Z,33.0,0.009
1989-08-15T00:00:00Z,39.0,11.219
1989-08-15T00:00:00Z,45.0,0.726
1989-09-15T00:00:00Z,33.0,0.005
1989-09-15T00:00:00Z,39.0,3.538
1989-09-15T00:00:00Z,45.0,1.485
1989-10-15T00:00:00Z,33.0,0.015
1989-10-15T00:00:00Z,39.0,4.236
1989-10-15T00:00:00Z,45.0,0.31
1989-11-15T00:00:00Z,33.0,0.008
1989-11-15T00:00:00Z,39.0,3.162
1989-11-15T00:00:00Z,45.0,0.222
1989-12-15T00:00:00Z,33.0,0.093
1989-12-15T00:00:00Z,39.0,4.571
1989-12-15T00:00:00Z,45.0,1.228
1990-01-15T00:00:00Z,33.0,0.444
1990-01-15T00:00:00Z,39.0,8.789
1990-01-15T00:00:00Z,45.0,-4.569
1990-02-15T00:00:00Z,33.0,1.925
1990-02-15T00:00:00Z,39.0,16.87
1990-02-15T00:00:00Z,45.0,-1.89
1990-03-15T00:00:00Z,33.0,1.588
1990-03-15T00:00:00Z,39.0,21.018
1990-03-15T00:00:00Z,45.0,1.17
1990-04-15T00:00:00Z,33.0,0.35
1990-04-15T00:00:00Z,39.0,21.164
1990-04-15T00:00:00Z,45.0,3.576
1990-05-15T00:00:00Z,33.0,0.197
1990-05-15T00:00:00Z,39.0,28.566
1990-05-15T00:00:00Z,45.0,2.684
1990-06-15T00:00:00Z,33.0,0.063
1990-06-15T00:00:00Z,39.0,13.908
1990-06-15T00:00:00Z,45.0,0.115
