year,data,error,SElo,SEup,metric,timeseries,lat,lon,depth,order,time
1967,19.0,0.0,19.0,19.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0,1967
1968,24.0,0.0,24.0,24.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0,1968
1969,7.0,0.0,7.0,7.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0,1969
1970,10.0,0.0,10.0,10.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0,1970
1971,1.0,0.0,1.0,1.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0,1971
1972,16.0,0.0,16.0,16.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0,1972
1973,1.0,0.0,1.0,1.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0,1973
1974,16.0,0.0,16.0,16.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0,1974
1975,3.0,0.0,3.0,3.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0,1975
1976,22.0,0.0,22.0,22.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0,1976
1977,2.0,0.0,2.0,2.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0,1977
1978,16.0,0.0,16.0,16.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0,1978
1979,8.0,0.0,8.0,8.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0,1979
1980,48.0,0.0,48.0,48.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0,1980
1981,23.0,0.0,23.0,23.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0,1981
1982,11.0,0.0,11.0,11.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0,1982
1983,35.0,0.0,35.0,35.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0,1983
1984,5.0,0.0,5.0,5.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0,1984
1985,7.0,0.0,7.0,7.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0,1985
1986,13.0,0.0,13.0,13.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0,1986
1987,1.0,0.0,1.0,1.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0,1987
1988,5.0,0.0,5.0,5.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0,1988
