time,vwnd,nobs,stdev
1981-04-01T00:00:00Z,-6.61724,696,3.43372
1981-05-01T00:00:00Z,-6.64568,740,3.99298
1981-06-01T00:00:00Z,-6.25411,717,4.07579
1981-07-01T00:00:00Z,-5.74057,705,3.98955
1981-08-01T00:00:00Z,-5.24544,735,3.49514
1981-09-01T00:00:00Z,-4.50389,592,5.01900
1981-10-01T00:00:00Z,-1.00879,717,5.03916
1981-11-01T00:00:00Z, 2.20139,719,5.91950
1981-12-01T00:00:00Z, 1.41293,735,6.63301
1982-01-01T00:00:00Z,-2.17326,733,6.13777
1982-02-01T00:00:00Z,-3.64665,403,6.93374
1982-03-01T00:00:00Z,-0.14681,705,6.40443
1982-04-01T00:00:00Z,-1.44103,719,6.80765
1982-05-01T00:00:00Z,-7.22959,740,4.80015
1982-06-01T00:00:00Z,-2.72312,718,5.03837
1982-07-01T00:00:00Z,-5.67540,744,3.54493
1982-08-01T00:00:00Z,-3.57314,741,2.68921
1982-09-01T00:00:00Z,-4.75251,718,4.82108
1982-10-01T00:00:00Z,-0.48452,743,6.07383
1982-11-01T00:00:00Z, 0.46011,717,5.36882
1982-12-01T00:00:00Z, 1.67160,743,6.70880
1983-01-01T00:00:00Z, 2.41570,739,6.76394
1983-02-01T00:00:00Z, 5.34209,670,5.58894
1983-03-01T00:00:00Z, 3.98954,736,6.19381
1983-04-01T00:00:00Z,-2.04437,710,6.29428
1983-05-01T00:00:00Z,-4.76151,595,4.86024
1983-06-01T00:00:00Z,-6.57372,487,2.09905
1983-07-01T00:00:00Z,-6.93117,738,3.98127
1983-08-01T00:00:00Z,-2.96934,737,4.75954
1983-09-01T00:00:00Z,-3.84595,716,4.69307
1983-10-01T00:00:00Z,-2.10352,738,4.27775
1983-11-01T00:00:00Z, 1.22065,712,6.09405
1983-12-01T00:00:00Z, 0.54520,635,5.52027
1984-01-01T00:00:00Z,-1.15828,731,4.03171
1984-02-01T00:00:00Z, 0.66190,693,4.32761
1984-03-01T00:00:00Z,-1.75413,739,4.63234
1984-04-01T00:00:00Z,-4.08328,634,4.38671
1984-07-01T00:00:00Z,-4.48677,741,4.16420
1984-08-01T00:00:00Z,-5.24709,739,3.38656
1984-09-01T00:00:00Z,-5.02176,717,3.62719
1984-10-01T00:00:00Z,-2.05680,743,5.52991
1984-11-01T00:00:00Z, 2.08174,712,5.92473
1984-12-01T00:00:00Z,-1.07131,739,4.86474
1985-01-01T00:00:00Z,-0.74973,738,4.06063
1985-02-01T00:00:00Z,-4.68465,671,5.69662
1985-03-01T00:00:00Z,-2.72168,738,6.21506
1985-04-01T00:00:00Z,-4.21492,717,5.33458
1985-05-01T00:00:00Z,-4.32238,621,4.58047
1985-06-01T00:00:00Z,-4.07193,716,4.73897
1985-07-01T00:00:00Z,-3.09202,739,3.73250
1985-09-01T00:00:00Z,-1.41611,602,3.39061
1985-10-01T00:00:00Z,-2.79717,743,4.51280
1985-11-01T00:00:00Z,-2.71683,719,4.56577
1985-12-01T00:00:00Z, 0.07285,744,3.96018
1986-01-01T00:00:00Z, 3.45930,742,4.18346
1986-02-01T00:00:00Z, 2.21366,666,5.71242
1986-03-01T00:00:00Z,-0.89946,737,5.21805
1986-04-01T00:00:00Z,-4.57169,717,4.45629
1986-05-01T00:00:00Z,-3.99005,734,5.00500
1986-06-01T00:00:00Z,-2.17614,700,4.04408
1986-07-01T00:00:00Z,-4.40553,742,3.36727
1986-08-01T00:00:00Z,-2.52786,743,3.03824
1986-09-01T00:00:00Z,-0.81822,719,3.69678
1986-10-01T00:00:00Z,-0.88471,739,4.05716
1986-11-01T00:00:00Z,-2.45829,700,3.38469
1986-12-01T00:00:00Z, 1.29433,741,3.60328
1987-01-01T00:00:00Z, 0.36408,735,5.40658
1987-02-01T00:00:00Z,-1.37753,663,6.11883
1987-03-01T00:00:00Z,-0.11713,712,6.15886
1987-04-01T00:00:00Z,-3.37732,710,3.93957
1987-05-01T00:00:00Z,-4.67661,744,3.65110
1987-06-01T00:00:00Z,-3.59234,718,4.52709
1987-07-01T00:00:00Z,-3.92222,738,3.84829
1987-08-01T00:00:00Z,-1.30688,669,3.56684
1987-09-01T00:00:00Z,-3.37809,680,3.88161
1987-10-01T00:00:00Z,-1.48704,741,3.20674
1987-11-01T00:00:00Z,-0.94576,719,4.58358
1987-12-01T00:00:00Z, 0.76312,743,6.84187
1988-01-01T00:00:00Z, 0.68441,744,4.66903
1988-06-01T00:00:00Z,-4.86958,720,5.66994
1988-07-01T00:00:00Z,-4.47588,742,4.39615
1988-08-01T00:00:00Z,-3.57483,739,4.04090
1988-09-01T00:00:00Z,-3.19430,684,5.44385
1989-01-01T00:00:00Z,-3.30744,457,4.44093
1989-02-01T00:00:00Z,-1.80299,670,5.65658
1989-03-01T00:00:00Z, 2.08643,737,6.61216
1989-04-01T00:00:00Z,-1.14184,717,4.87574
1989-06-01T00:00:00Z,-2.82957,328,5.64025
1989-07-01T00:00:00Z,-6.55351,740,3.15109
1989-08-01T00:00:00Z,-3.51004,737,3.85998
1989-09-01T00:00:00Z,-1.51636,715,3.58568
