year,data,anomaly,Seup,Selo,metric,timeseries,order
1983,110200,-0.763520985,NA,NA,Escapement,Central Valley Fall,1
1984,159000,-0.466347122,NA,NA,Escapement,Central Valley Fall,1
1985,239400,0.023258997,NA,NA,Escapement,Central Valley Fall,1
1986,240100,0.027521737,NA,NA,Escapement,Central Valley Fall,1
1987,195100,-0.246511538,NA,NA,Escapement,Central Valley Fall,1
1988,227500,-0.04920758,NA,NA,Escapement,Central Valley Fall,1
1989,152600,-0.505320743,NA,NA,Escapement,Central Valley Fall,1
1990,105100,-0.794578089,NA,NA,Escapement,Central Valley Fall,1
1991,118500,-0.712977069,NA,NA,Escapement,Central Valley Fall,1
1992,80400,-0.944991909,NA,NA,Escapement,Central Valley Fall,1
1993,137400,-0.597883094,NA,NA,Escapement,Central Valley Fall,1
1994,165600,-0.426155574,NA,NA,Escapement,Central Valley Fall,1
1995,295300,0.363669221,NA,NA,Escapement,Central Valley Fall,1
1996,301700,0.402642843,NA,NA,Escapement,Central Valley Fall,1
1997,344800,0.665105824,NA,NA,Escapement,Central Valley Fall,1
1998,245900,0.062841581,NA,NA,Escapement,Central Valley Fall,1
1999,399800,1.000035383,NA,NA,Escapement,Central Valley Fall,1
2000,417500,1.107821805,NA,NA,Escapement,Central Valley Fall,1
2001,596800,2.199692166,NA,NA,Escapement,Central Valley Fall,1
2002,769900,3.253806832,NA,NA,Escapement,Central Valley Fall,1
2003,523000,1.750277595,NA,NA,Escapement,Central Valley Fall,1
2004,286900,0.312516343,NA,NA,Escapement,Central Valley Fall,1
2005,396000,0.976894795,NA,NA,Escapement,Central Valley Fall,1
2006,275000,0.240049766,NA,NA,Escapement,Central Valley Fall,1
2007,91400,-0.878005997,NA,NA,Escapement,Central Valley Fall,1
2008,65400,-1.036336334,NA,NA,Escapement,Central Valley Fall,1
2009,41000,-1.184923266,NA,NA,Escapement,Central Valley Fall,1
2010,124000,-0.679484113,NA,NA,Escapement,Central Valley Fall,1
2011,119300,-0.708105367,NA,NA,Escapement,Central Valley Fall,1
2012,285400,0.303381901,NA,NA,Escapement,Central Valley Fall,1
2013,406200,1.039009004,NA,NA,Escapement,Central Valley Fall,1
2014,212500,-0.140552005,NA,NA,Escapement,Central Valley Fall,1
2015,113500,-0.743425211,NA,NA,Escapement,Central Valley Fall,1
2016,89700,-0.888358366,NA,NA,Escapement,Central Valley Fall,1
2017,43500,-1.169699195,NA,NA,Escapement,Central Valley Fall,1
2018,105500,-0.792142238,NA,NA,Escapement,Central Valley Fall,1
2019,162500,-0.445033422,NA,NA,Escapement,Central Valley Fall,1
1995,14812,0.571859053,NA,NA,Escapement,Central Valley Spr,2
1996,8705,-0.379765522,NA,NA,Escapement,Central Valley Spr,2
1997,5065,-0.946969296,NA,NA,Escapement,Central Valley Spr,2
1998,30533,3.021587222,NA,NA,Escapement,Central Valley Spr,2
1999,9838,-0.203215556,NA,NA,Escapement,Central Valley Spr,2
2000,9201,-0.302476216,NA,NA,Escapement,Central Valley Spr,2
