year,data,metric,timeseries,order,species
1970,0,Condition,LowerCR-PctNatural,1,Chinook
1971,0,Condition,LowerCR-PctNatural,1,Chinook
1972,0,Condition,LowerCR-PctNatural,1,Chinook
1973,0,Condition,LowerCR-PctNatural,1,Chinook
1974,0,Condition,LowerCR-PctNatural,1,Chinook
1975,0,Condition,LowerCR-PctNatural,1,Chinook
1976,15.63280352,Condition,LowerCR-PctNatural,1,Chinook
1977,25.43079963,Condition,LowerCR-PctNatural,1,Chinook
1978,21.56656258,Condition,LowerCR-PctNatural,1,Chinook
1979,21.55689946,Condition,LowerCR-PctNatural,1,Chinook
1980,29.7134184,Condition,LowerCR-PctNatural,1,Chinook
1981,23.0129996,Condition,LowerCR-PctNatural,1,Chinook
1982,37.61879047,Condition,LowerCR-PctNatural,1,Chinook
1983,29.61824426,Condition,LowerCR-PctNatural,1,Chinook
1984,37.53698212,Condition,LowerCR-PctNatural,1,Chinook
1985,34.87768354,Condition,LowerCR-PctNatural,1,Chinook
1986,71.57288728,Condition,LowerCR-PctNatural,1,Chinook
1987,63.23215279,Condition,LowerCR-PctNatural,1,Chinook
1988,59.75715427,Condition,LowerCR-PctNatural,1,Chinook
1989,66.31463909,Condition,LowerCR-PctNatural,1,Chinook
1990,76.97673457,Condition,LowerCR-PctNatural,1,Chinook
1991,67.44521721,Condition,LowerCR-PctNatural,1,Chinook
1992,64.37949721,Condition,LowerCR-PctNatural,1,Chinook
1993,66.29996279,Condition,LowerCR-PctNatural,1,Chinook
1994,69.06138045,Condition,LowerCR-PctNatural,1,Chinook
1995,69.51555819,Condition,LowerCR-PctNatural,1,Chinook
1996,63.70672348,Condition,LowerCR-PctNatural,1,Chinook
1997,58.44271523,Condition,LowerCR-PctNatural,1,Chinook
1998,57.82159509,Condition,LowerCR-PctNatural,1,Chinook
1999,48.93461255,Condition,LowerCR-PctNatural,1,Chinook
2000,63.7886527,Condition,LowerCR-PctNatural,1,Chinook
2001,49.65226029,Condition,LowerCR-PctNatural,1,Chinook
2002,38.58202438,Condition,LowerCR-PctNatural,1,Chinook
2003,33.24457617,Condition,LowerCR-PctNatural,1,Chinook
2004,31.58048907,Condition,LowerCR-PctNatural,1,Chinook
2005,34.57157674,Condition,LowerCR-PctNatural,1,Chinook
2006,28.87536872,Condition,LowerCR-PctNatural,1,Chinook
2007,33.81371912,Condition,LowerCR-PctNatural,1,Chinook
2008,40.92239727,Condition,LowerCR-PctNatural,1,Chinook
2009,26.54354691,Condition,LowerCR-PctNatural,1,Chinook
2010,31.03267822,Condition,LowerCR-PctNatural,1,Chinook
2011,30.87760886,Condition,LowerCR-PctNatural,1,Chinook
2012,41.54377686,Condition,LowerCR-PctNatural,1,Chinook
2013,48.51054304,Condition,LowerCR-PctNatural,1,Chinook
2014,32.54229487,Condition,LowerCR-PctNatural,1,Chinook
1980,1.471189388,Condition,LowerCR-PopGR,2,Chinook
1981,0.911366637,Condition,LowerCR-PopGR,2,Chinook
1982,1.000588792,Condition,LowerCR-PopGR,2,Chinook
