var_id,var_label,var_units
abundance,Abundance,Total abundance
abundance,Abundance,NA
abundance_anomaly,Abundance anomaly,Abundance anomaly
abundance_index,NA,abundance index
abundance_index,NA,biomass
albacore_tuna_recruitment,Recruitment,thousands of fish
albacore_tuna_spawning_stock_biomass,Spawning Stock Biomass,metric tonnes
aragonite_saturation,NA,relative to 1
area_1,NA,km^2
aug_mean_max,Columbia Glaciated,Temp (deg. C)
aug_mean_max,Columbia Unglaciated,Temp (deg. C)
aug_mean_max,Oregon and Northern California Coastal,Temp (deg. C)
aug_mean_max,Sacramento - San Joaquin & southern California Bight,Temp (deg. C)
aug_mean_max,Salish Sea,Temp (deg. C)
average_ESI,Average Effective Shannon Index,Effective Shannon Index
beuti,BEUTI,mmol s^-1 m^-1
bigeye_tuna_recruitment_optimistic,Recruitment,thousands of fish
bigeye_tuna_recruitment_pessimistic,Recruitment,thousands of fish
bigeye_tuna_spawning_stock_biomass_optimistic,Spawning Stock Biomass,metric tonnes
bigeye_tuna_spawning_stock_biomass_pessimistic,Spawning Stock Biomass,metric tonnes
biomass_ratio,NA,Ratio
blue_marlin_recruitment,Recruitment,thousands of fish
blue_marlin_spawning_stock_biomass,Spawning Stock Biomass,metric tonnes
blue_marlin_total_biomass,Total Biomass,metric tonnes
bluefin_tuna_recruitment,Recruitment,thousands of fish
bluefin_tuna_spawning_stock_biomass,Spawning Stock Biomass,metric tonnes
bluefin_tuna_total_biomass,Total Biomass,metric tonnes
cond_age_div,NA,Shannon-Weaver
cond_pct_nat,NA,Percent natural fish returning
cond_pop_gr,NA,Population growth rate
condition,Condition,Percent natural fish returning
condition,Condition,Population growth rate
condition,Condition,Shannon-Weaver
consumption_fish,Millions of metric tons,Millions of metric tons
consumption_per_cap,Per capita utilization(kg),kg
copepod_species_richness_anomaly,NA,anomaly
cps_landings_ca,Landings (1000s mt),1000s metric tons
cps_landings_coastwide,Landings (1000s mt),1000s metric tons
cps_landings_or,Landings (1000s mt),1000s metric tons
cps_landings_wa,Landings (1000s mt),1000s metric tons
cps_revenue_ca,Revenue (millions $),Millions $ (year 2015)
cps_revenue_coastwide,Revenue (millions $),Millions $ (year 2015)
cps_revenue_or,Revenue (millions $),Millions $ (year 2015)
cps_revenue_wa,Revenue (millions $),Millions $ (year 2015)
crab_landings,Landings (weight),tons
crab_landings_ca,Landings (1000s mt),1000s metric tons
crab_landings_coastwide,Landings (1000s mt),1000s metric tons
crab_landings_or,Landings (1000s mt),1000s metric tons
crab_landings_wa,Landings (1000s mt),1000s metric tons
crab_revenue_ca,Revenue (millions $),Millions $ (year 2015)
crab_revenue_coastwide,Revenue (millions $),Millions $ (year 2015)
crab_revenue_or,Revenue (millions $),Millions $ (year 2015)
crab_revenue_wa,Revenue (millions $),Millions $ (year 2015)
cuti,CUTI,m^2 s^(-1)
demoic_acid_concentration,Maximum Demoic Acid Concentration,Monthly max (ppm)
density_anomaly,Density anomaly,anomaly
dissolved_oxygen,NA,ml/L
domoic_acid_concentration,Maximum Domoic Acid Concentration,Monthly max (ppm)
encounter_rate,Encounter Rate,Mean carcasses/km
fertilizer_applications,Normalized sum of N & P,Normalized index
finfish_production,Production (1000s mt),1000s mt
fish_tickets,Landings (tickets),tickets
fishing_dependence,Fishing dependence composite index,Index
fishing_engagement,Commercial fishing engagement index,Index
fishing_reliance,Commercial fishing reliance index,Index
flow_anomaly_1_day_max,California Coast,1-day max flow anomaly
flow_anomaly_1_day_max,Central Valley Fall late Fall,1-day max flow anomaly
